regime_field,regime_value,rows,accumulation_risk_count,surviving_unrepaid_count,B3_balance_min,B3_margin_min,zero_crossing_count_total,finite_certified_count,failures
post_P0_flag,False,1327,0,0,-0.0,-0.0,1,1327,0
post_P0_flag,True,142,142,0,-0.0,-0.0,0,0,0
finite_certified_flag,False,142,142,0,-0.0,-0.0,0,0,0
finite_certified_flag,True,1327,0,0,-0.0,-0.0,1,1327,0
row_class,F_finite,1327,0,0,-0.0,-0.0,1,1327,0
row_class,N_negative_subthreshold,21,21,0,-0.0,-0.0,0,0,0
row_class,P_positive_harmless,120,120,0,-0.0,-0.0,0,0,0
row_class,T_threshold_negative,1,1,0,-0.0,-0.0,0,0,0
row_regime,primitive_full_verified,146,22,0,-0.0,-0.0,0,124,0
row_regime,primitive_negative_transfer_verified,2,0,0,-0.0,-0.0,0,2,0
row_regime,sign_inconsistent_positive_harmless,1320,120,0,-0.0,-0.0,0,1200,0
row_regime,,1,0,0,-0.0,-0.0,1,1,0
threshold_relevant_flag,False,1466,141,0,-0.0,-0.0,1,1325,0
threshold_relevant_flag,True,3,1,0,-0.0,-0.0,0,2,0
forbidden_flag,False,1468,142,0,-0.0,-0.0,1,1326,0
forbidden_flag,True,1,0,0,-0.0,-0.0,0,1,0
O2_safe_flag,False,1,0,0,-0.0,-0.0,1,1,0
O2_safe_flag,True,1468,142,0,-0.0,-0.0,0,1326,0
accumulation_risk_flag,False,1327,0,0,-0.0,-0.0,1,1327,0
accumulation_risk_flag,True,142,142,0,-0.0,-0.0,0,0,0
