block_family_id,block_id,y,h,right_endpoint,p_star,E_theta,E_theta_sign,Q_R2Q,B2_active_flag,repayment_compatible_flag,endpoint_orientation,partial_interval_allowed,post_P0_block_flag
theta_local:1:179845447:684790,1,179845447.0,684790.0,180530237.0,180530237.0,-3089.9881332697114,negative,1.8193520399038576,True,True,negative,False,False
theta_local:2:24178:3,2,24178.0,3.0,24181.0,24317.0,17.186562246627208,positive,0.1157979799474991,True,True,positive,False,False
theta_local:3:30910184:64413,3,30910184.0,64413.0,30974597.0,30974597.0,-1027.9446158131832,negative,0.6812241515207513,True,True,negative,False,False
theta_local:4:59920:1,4,59920.0,1.0,59921.0,59921.0,10.0007823069704,positive,0.0921982535693211,True,True,positive,False,False
theta_local:5:355293:784,5,355293.0,784.0,356077.0,356077.0,-4.315460261267276,negative,0.1566810093663226,True,True,negative,False,False
theta_local:6:3446024:2483,6,3446024.0,2483.0,3448507.0,3448507.0,-285.247239607314,negative,0.1786966438467436,True,True,negative,False,False
theta_local:7:30670319:104130,7,30670319.0,104130.0,30774449.0,30774449.0,-928.3530182520336,negative,0.862526348366495,True,True,negative,False,False
theta_local:8:3451296:1451,8,3451296.0,1451.0,3452747.0,3452747.0,-246.6432758578178,negative,0.1383470038914393,True,True,negative,False,False
theta_local:9:12871995:11482,9,12871995.0,11482.0,12883477.0,12883477.0,-480.68150179983786,negative,0.3212949859833325,True,True,negative,False,False
theta_local:10:178254856:43765,10,178254856.0,43765.0,178298621.0,178298621.0,-1758.548029879923,negative,0.4625799992422776,True,True,negative,False,False
theta_local:11:210:1,11,210.0,1.0,211.0,211.0,4.351858133476067,positive,0.1912764152417241,True,True,positive,False,False
theta_local:12:3278912:797,12,3278912.0,797.0,3279709.0,3279709.0,-166.86828088206357,negative,0.1060058846880691,True,True,negative,False,False
theta_local:13:42898:1,13,42898.0,1.0,42899.0,42899.0,9.666603794621116,positive,0.0968247715409328,True,True,positive,False,False
theta_local:14:1195386:205,14,1195386.0,205.0,1195591.0,1195669.0,18.90523282037472,positive,0.0899443884131837,True,True,positive,False,False
theta_local:15:43132:1,15,43132.0,1.0,43133.0,43133.0,9.672043644375696,positive,0.0943896668138165,True,True,positive,False,False
theta_local:16:58308:1,16,58308.0,1.0,58309.0,58309.0,9.973511734352114,positive,0.0939517191622745,True,True,positive,False,False
theta_local:17:59332:1,17,59332.0,1.0,59333.0,59333.0,9.990920922612805,positive,0.0929815072257821,True,True,positive,False,False
theta_local:18:3239129:1964,18,3239129.0,1964.0,3241093.0,3241093.0,-165.06704136906455,negative,0.159654089699117,True,True,negative,False,False
theta_local:19:1513853:1344,19,1513853.0,1344.0,1515197.0,1515197.0,-63.24655312102391,negative,0.1510851987794436,True,True,negative,False,False
theta_local:20:58510:1,20,58510.0,1.0,58511.0,58511.0,9.97697004973177,positive,0.0923670994574258,True,True,positive,False,False
theta_local:21:30831334:15789,21,30831334.0,15789.0,30847123.0,30847123.0,-424.33160930738086,negative,0.338124053326903,True,True,negative,False,False
theta_local:22:60208:1,22,60208.0,1.0,60209.0,60209.0,10.005577121783782,positive,0.0940510554686493,True,True,positive,False,False
theta_local:23:354550:3,23,354550.0,3.0,354553.0,354619.0,22.55722059933116,positive,0.0920232096308952,True,True,positive,False,False
theta_local:24:180557417:61662,24,180557417.0,61662.0,180619079.0,180619079.0,-1166.673386312199,negative,0.5459231094474968,True,True,negative,False,False
theta_local:25:109790208:23159,25,109790208.0,23159.0,109813367.0,109813367.0,-719.8064293124298,negative,0.3557665519303423,True,True,negative,False,False
theta_local:26:230560:3,26,230560.0,3.0,230563.0,230647.0,21.69655017143579,positive,0.0944180902326222,True,True,positive,False,False
theta_local:27:1192323:458,27,1192323.0,458.0,1192781.0,1192781.0,-38.252494546276125,negative,0.0967472985369818,True,True,negative,False,False
theta_local:28:109660803:9994,28,109660803.0,9994.0,109670797.0,109670797.0,-700.5003791113922,negative,0.2345732370876761,True,True,negative,False,False
theta_local:29:3455716:1261,29,3455716.0,1261.0,3456977.0,3456977.0,-56.54292508843059,negative,0.1341559286414388,True,True,negative,False,False
theta_local:30:4991760:3029,30,4991760.0,3029.0,4994789.0,4994789.0,-113.94054074237602,negative,0.1879865387221068,True,True,negative,False,False
theta_local:31:7105465:2778,31,7105465.0,2778.0,7108243.0,7108243.0,-80.20709910296955,negative,0.1766899326140388,True,True,negative,False,False
theta_local:32:3292080:1033,32,3292080.0,1033.0,3293113.0,3293113.0,-117.56184933337444,negative,0.1154116378424172,True,True,negative,False,False
theta_local:33:1197615:4,33,1197615.0,4.0,1197619.0,1197697.0,23.99169028406876,positive,0.0726584885625681,True,True,positive,False,False
theta_local:34:126:1,34,126.0,1.0,127.0,127.0,3.844187086458591,positive,0.2157084836048593,True,True,positive,False,False
theta_local:35:354952:1,35,354952.0,1.0,354953.0,354953.0,11.779740665326448,positive,0.080127585396028,True,True,positive,False,False
theta_local:36:39704004:3847,36,39704004.0,3847.0,39707851.0,39707851.0,-452.5803398765943,negative,0.1623741874086595,True,True,negative,False,False
theta_local:37:1656:1,37,1656.0,1.0,1657.0,1657.0,6.412764017426562,positive,0.1389495863976313,True,True,positive,False,False
theta_local:38:155920:1,38,155920.0,1.0,155921.0,156007.0,10.957104747706284,positive,0.0868104441327406,True,True,positive,False,False
theta_local:39:39682692:7975,39,39682692.0,7975.0,39690667.0,39690667.0,-364.0109776889212,negative,0.2349256240499423,True,True,negative,False,False
theta_local:40:30409154:8327,40,30409154.0,8327.0,30417481.0,30417481.0,-228.7179970545885,negative,0.24963148266117,True,True,negative,False,False
theta_local:41:604520611:151650,41,604520611.0,151650.0,604672261.0,604672261.0,-1617.0683062109456,negative,0.7568596623500748,True,True,negative,False,True
theta_local:42:7115469:1948,42,7115469.0,1948.0,7117417.0,7117417.0,-117.76229972501552,negative,0.1460888226947264,True,True,negative,False,False
theta_local:43:12779528:1739,43,12779528.0,1739.0,12781267.0,12781267.0,-151.7480364006467,negative,0.1300675391522673,True,True,negative,False,False
theta_local:44:109577354:10737,44,109577354.0,10737.0,109588091.0,109588091.0,-629.3445955758762,negative,0.2415685632788372,True,True,negative,False,False
theta_local:45:12833438:3339,45,12833438.0,3339.0,12836777.0,12836777.0,-163.66723291570224,negative,0.1752468754780604,True,True,negative,False,False
theta_local:46:618028:1,46,618028.0,1.0,618029.0,618029.0,12.3342906609052,positive,0.0748436752518515,True,True,positive,False,False
theta_local:47:12805898:1515,47,12805898.0,1515.0,12807413.0,12807413.0,-205.7621329185172,negative,0.1184377830877646,True,True,negative,False,False
theta_local:48:3439819:811,48,3439819.0,811.0,3440630.0,3440807.0,46.90968440981942,positive,0.1225172337511368,True,True,positive,False,False
theta_local:49:33888759:13400,49,33888759.0,13400.0,33902159.0,33902159.0,-291.8733586694325,negative,0.3075518627750951,True,True,negative,False,False
theta_local:50:3457512:455,50,3457512.0,455.0,3457967.0,3457967.0,-93.6529697629686,negative,0.0793601948576568,True,True,negative,False,False
theta_local:51:12840082:2091,51,12840082.0,2091.0,12842173.0,12842173.0,-192.29332879440085,negative,0.1392439305539144,True,True,negative,False,False
theta_local:52:1512478:1,52,1512478.0,1.0,1512479.0,1512479.0,13.229260584493224,positive,0.0713499660129912,True,True,positive,False,False
theta_local:53:356170:3,53,356170.0,3.0,356173.0,356243.0,22.56633807844032,positive,0.0917954514179663,True,True,positive,False,False
theta_local:54:7110038:2259,54,7110038.0,2259.0,7112297.0,7112297.0,-113.30394854654696,negative,0.1547550134720171,True,True,negative,False,False
theta_local:55:12894136:1581,55,12894136.0,1581.0,12895717.0,12895717.0,-156.60587200935356,negative,0.1217247995908262,True,True,negative,False,False
theta_local:56:1511046:403,56,1511046.0,403.0,1511449.0,1511527.0,9.625130217388572,positive,0.0952884508457212,True,True,positive,False,False
theta_local:57:179616870:3983,57,179616870.0,3983.0,179620853.0,179620853.0,-637.8829200418768,negative,0.1434186712486546,True,True,negative,False,False
theta_local:58:1188358:3,58,1188358.0,3.0,1188361.0,1188511.0,24.97616952660599,positive,0.0833294497303515,True,True,positive,False,False
theta_local:59:292:1,59,292.0,1.0,293.0,293.0,4.680172609017068,positive,0.1707575979731007,True,True,positive,False,False
theta_local:60:3290975:8,60,3290975.0,8.0,3290983.0,3291137.0,37.02008815604045,positive,0.0730965487832678,True,True,positive,False,False
theta_local:61:1190068:3,61,1190068.0,3.0,1190071.0,1190143.0,24.97904537377347,positive,0.0832943901091022,True,True,positive,False,False
theta_local:62:113154493:11734,62,113154493.0,11734.0,113166227.0,113166227.0,-570.3217879884924,negative,0.2503069484559692,True,True,negative,False,False
theta_local:63:30813688:2319,63,30813688.0,2319.0,30816007.0,30816007.0,-215.2921471839013,negative,0.1321516982536188,True,True,negative,False,False
theta_local:64:604757400:53021,64,604757400.0,53021.0,604810421.0,604810421.0,-1034.3984432700745,negative,0.4494568065190746,True,True,negative,False,True
theta_local:65:3438886:3,65,3438886.0,3.0,3438889.0,3439001.0,27.10131744255433,positive,0.0792717980142518,True,True,positive,False,False
theta_local:66:1196076:1,66,1196076.0,1.0,1196077.0,1196077.0,12.994557592691232,positive,0.0711424243631883,True,True,positive,False,False
theta_local:67:39695992:3205,67,39695992.0,3205.0,39699197.0,39699197.0,-265.53724747196566,negative,0.1495716452263878,True,True,negative,False,False
theta_local:68:1192068:1,68,1192068.0,1.0,1192069.0,1192069.0,12.991201010838148,positive,0.0712244136304279,True,True,positive,False,False
theta_local:69:108578163:3824,69,108578163.0,3824.0,108581987.0,108581987.0,-400.9453068567673,negative,0.1469597990717331,True,True,negative,False,False
theta_local:70:12847029:892,70,12847029.0,892.0,12847921.0,12847921.0,-139.04176855224262,negative,0.0908608054490663,True,True,negative,False,False
theta_local:71:1191480:1,71,1191480.0,1.0,1191481.0,1191481.0,12.990707629107597,positive,0.0710316103925829,True,True,positive,False,False
theta_local:72:12843190:457,72,12843190.0,457.0,12843647.0,12843647.0,-113.26485440576494,negative,0.0679786634633438,True,True,negative,False,False
theta_local:73:40877269:4900,73,40877269.0,4900.0,40882169.0,40882169.0,-220.51959869872007,negative,0.1837301433813745,True,True,negative,False,False
theta_local:74:1186290:1,74,1186290.0,1.0,1186291.0,1186291.0,12.986342191006576,positive,0.0716803042452162,True,True,positive,False,False
theta_local:75:113182659:12848,75,113182659.0,12848.0,113195507.0,113195507.0,-330.4150379443963,negative,0.2647255241959858,True,True,negative,False,False
theta_local:76:2878:1,76,2878.0,1.0,2879.0,2879.0,6.965198290612176,positive,0.1282261417306278,True,True,positive,False,False
theta_local:77:39673239:1178,77,39673239.0,1178.0,39674417.0,39674417.0,-198.21267981504025,negative,0.0933658727593846,True,True,negative,False,False
theta_local:78:3441229:568,78,3441229.0,568.0,3441797.0,3441797.0,-56.25170384278789,negative,0.0865309897820664,True,True,negative,False,False
theta_local:79:109535495:10586,79,109535495.0,10586.0,109546081.0,109546081.0,-330.4584709322444,negative,0.2408302537232801,True,True,negative,False,False
theta_local:80:1198510:3,80,1198510.0,3.0,1198513.0,1198607.0,24.993182690643494,positive,0.0831464357639209,True,True,positive,False,False
theta_local:81:1512196:1,81,1512196.0,1.0,1512197.0,1512197.0,13.22907411823977,positive,0.0705955645536329,True,True,positive,False,False
theta_local:82:12782006:494,82,12782006.0,494.0,12782500.0,12782599.0,-68.54730774172731,negative,0.0796044258439215,True,True,negative,False,False
theta_local:83:42922:1,83,42922.0,1.0,42923.0,42923.0,9.66716309178561,positive,0.0952612074725035,True,True,positive,False,False
theta_local:84:617578:1,84,617578.0,1.0,617579.0,617579.0,12.33356227452393,positive,0.0752538383487422,True,True,positive,False,False
theta_local:85:10356:1,85,10356.0,1.0,10357.0,10357.0,8.24541789858888,positive,0.1086725867349362,True,True,positive,False,False
theta_local:86:15858:1,86,15858.0,1.0,15859.0,15859.0,8.6714924414986,positive,0.1069835705399953,True,True,positive,False,False
theta_local:87:109460158:7231,87,109460158.0,7231.0,109467389.0,109467389.0,-178.26963014023477,negative,0.2045445847739718,True,True,negative,False,False
theta_local:88:3290318:323,88,3290318.0,323.0,3290641.0,3290641.0,-37.87575835699317,negative,0.0705553720204413,True,True,negative,False,False
theta_local:89:1188148:1,89,1188148.0,1.0,1188149.0,1188149.0,12.987907191915609,positive,0.0739495641263946,True,True,positive,False,False
theta_local:90:179630689:10782,90,179630689.0,10782.0,179641471.0,179641471.0,-461.50121601656247,negative,0.2296201708973325,True,True,negative,False,False
theta_local:91:179595316:7407,91,179595316.0,7407.0,179602723.0,179602723.0,-450.7172966904154,negative,0.1917202756433797,True,True,negative,False,False
theta_local:92:3453942:1,92,3453942.0,1.0,3453943.0,3453943.0,14.055027034946916,positive,0.0687276505309807,True,True,positive,False,False
theta_local:93:1188838:1,93,1188838.0,1.0,1188839.0,1188839.0,12.988487758598636,positive,0.0717695715648134,True,True,positive,False,False
theta_local:94:618118:1,94,618118.0,1.0,618119.0,618119.0,12.334436274537484,positive,0.0765541684740735,True,True,positive,False,False
theta_local:95:178005997:5344,95,178005997.0,5344.0,178011341.0,178011341.0,-366.6962581891348,negative,0.1648839859416764,True,True,negative,False,False
theta_local:96:3438262:375,96,3438262.0,375.0,3438637.0,3438637.0,-28.83790962671685,negative,0.0753076301542394,True,True,negative,False,False
theta_local:97:30980149:1090,97,30980149.0,1090.0,30981239.0,30981239.0,-175.80966234322875,negative,0.0903727573504991,True,True,negative,False,False
theta_local:98:33842396:795,98,33842396.0,795.0,33843191.0,33843191.0,-188.19672853522707,negative,0.0761893412087709,True,True,negative,False,False
theta_local:99:4990677:357,99,4990677.0,357.0,4991034.0,4991101.0,-17.691366021948568,negative,0.076175182058325,True,True,negative,False,False
theta_local:100:6420:1,100,6420.0,1.0,6421.0,6421.0,7.767329147794049,positive,0.1159896775054861,True,True,positive,False,False
theta_local:101:1510642:1,101,1510642.0,1.0,1510643.0,1510643.0,13.228045945966745,positive,0.070535407834942,True,True,positive,False,False
theta_local:102:33476547:1246,102,33476547.0,1246.0,33477793.0,33477793.0,-154.43846648475437,negative,0.096662723146914,True,True,negative,False,False
theta_local:103:33823778:1001,103,33823778.0,1001.0,33824779.0,33824779.0,-12.808745615198404,negative,0.0986530057695944,True,True,negative,False,False
theta_local:104:30357034:1285,104,30357034.0,1285.0,30358319.0,30358319.0,-165.14358633355937,negative,0.097634505621578,True,True,negative,False,False
theta_local:105:604410439:22162,105,604410439.0,22162.0,604432601.0,604432601.0,-688.5913402072983,negative,0.2914811871626422,True,True,negative,False,True
theta_local:106:478:1,106,478.0,1.0,479.0,479.0,5.171700597410915,positive,0.1648068982246287,True,True,positive,False,False
theta_local:107:231700:1,107,231700.0,1.0,231701.0,231701.0,11.35320302633692,positive,0.0810551545684911,True,True,positive,False,False
theta_local:108:39633125:1622,108,39633125.0,1622.0,39634747.0,39634747.0,-169.89877765908955,negative,0.1078488246263689,True,True,negative,False,False
theta_local:109:33491912:935,109,33491912.0,935.0,33492847.0,33492847.0,-137.96589757999288,negative,0.0863386781827271,True,True,negative,False,False
theta_local:110:39654336:985,110,39654336.0,985.0,39655321.0,39655321.0,-127.70959529037896,negative,0.0882379519127139,True,True,negative,False,False
theta_local:111:30777698:2313,111,30777698.0,2313.0,30780011.0,30780011.0,-140.46546636399898,negative,0.1309387070981607,True,True,negative,False,False
theta_local:112:3459076:1,112,3459076.0,1.0,3459077.0,3459077.0,14.056512348440547,positive,0.067178289113327,True,True,positive,False,False
theta_local:113:30783029:1220,113,30783029.0,1220.0,30784249.0,30784249.0,-133.72293008495535,negative,0.0966458075650577,True,True,negative,False,False
theta_local:114:359416:3,114,359416.0,3.0,359419.0,359477.0,22.58448267109209,positive,0.0897827713986883,True,True,positive,False,False
theta_local:115:3453550:1,115,3453550.0,1.0,3453551.0,3453551.0,14.054913535029169,positive,0.0680235969848095,True,True,positive,False,False
theta_local:116:12829371:898,116,12829371.0,898.0,12830269.0,12830269.0,-46.90137454561159,negative,0.0962426881171498,True,True,negative,False,False
theta_local:117:17991472:705,117,17991472.0,705.0,17992177.0,17992327.0,-3.3720180676377822,negative,0.0927710098591296,True,True,negative,False,False
theta_local:118:179648340:1841,118,179648340.0,1841.0,179650181.0,179650181.0,-377.4982097341908,negative,0.0958698914280892,True,True,negative,False,False
theta_local:119:1513270:1,119,1513270.0,1.0,1513271.0,1513271.0,13.2297840910738,positive,0.0705260023814927,True,True,positive,False,False
theta_local:120:108557409:3872,120,108557409.0,3872.0,108561281.0,108561281.0,-263.9525918434665,negative,0.1470745643860575,True,True,negative,False,False
theta_local:121:108840439:1642,121,108840439.0,1642.0,108842081.0,108842081.0,-217.0841446013817,negative,0.0996639793175021,True,True,negative,False,False
theta_local:122:30418642:1,122,30418642.0,1.0,30418643.0,30418643.0,16.230566234990423,positive,0.0587452641225273,True,True,positive,False,False
theta_local:123:3277216:1,123,3277216.0,1.0,3277217.0,3277217.0,14.0025051445914,positive,0.0681011679331808,True,True,positive,False,False
theta_local:124:30340827:4,124,30340827.0,4.0,30340831.0,30340987.0,30.456009776270783,positive,0.0597199396392292,True,True,positive,False,False
