candidate_id,x,selected_block_id,p_star,h,pstar_over_x,h_over_x,scale_ratio,pstar_comparable_flag,h_short_flag,scale_positive_flag,geometry_pass_flag
cand_00000,180530237,theta_local:1:179845447:684790,180530237,684790.0,1.0,0.0037932149837038103,0.061589081692324424,True,True,True,True
cand_00001,24181,theta_local:2:24178:3,24317,3.0,1.0056242504445638,0.00012406434804185105,0.011150799532227373,True,True,True,True
cand_00002,30974597,theta_local:3:30910184:64413,30974597,64413.0,1.0,0.0020795427943743707,0.0456020042802328,True,True,True,True
cand_00003,59921,theta_local:4:59920:1,59921,1.0,1.0,1.668864004272292e-05,0.004085173196172094,True,True,True,True
cand_00004,356077,theta_local:5:355293:784,356077,784.0,1.0,0.002201770965268748,0.046923032353725275,True,True,True,True
cand_00005,3448507,theta_local:6:3446024:2483,3448507,2483.0,1.0,0.0007200217369429727,0.026833220770958018,True,True,True,True
cand_00006,30774449,theta_local:7:30670319:104130,30774449,104130.0,1.0,0.003383651158140963,0.05816915985417842,True,True,True,True
cand_00007,3452747,theta_local:8:3451296:1451,3452747,1451.0,1.0,0.00042024509759910005,0.020499880428897634,True,True,True,True
cand_00008,12883477,theta_local:9:12871995:11482,12883477,11482.0,1.0,0.0008912190397048871,0.029853291940837728,True,True,True,True
cand_00009,178298621,theta_local:10:178254856:43765,178298621,43765.0,1.0,0.0002454589932021964,0.0156671309818421,True,True,True,True
cand_00010,211,theta_local:11:210:1,211,1.0,1.0,0.004739336492890996,0.06884283908215143,True,True,True,True
cand_00011,3279709,theta_local:12:3278912:797,3279709,797.0,1.0,0.00024300936455033052,0.015588757633318009,True,True,True,True
cand_00012,42899,theta_local:13:42898:1,42899,1.0,1.0,2.3310566679875986e-05,0.004828101767762978,True,True,True,True
cand_00013,1195591,theta_local:14:1195386:205,1195669,205.0,1.0000652397015368,0.00017146331814140453,0.013094522345503177,True,True,True,True
cand_00014,43133,theta_local:15:43132:1,43133,1.0,1.0,2.318410497762734e-05,0.004814987536601454,True,True,True,True
cand_00015,58309,theta_local:16:58308:1,58309,1.0,1.0,1.7150011147507247e-05,0.004141257194078538,True,True,True,True
cand_00016,59333,theta_local:17:59332:1,59333,1.0,1.0,1.6854027269816123e-05,0.004105365668222031,True,True,True,True
cand_00017,3241093,theta_local:18:3239129:1964,3241093,1964.0,1.0,0.0006059684186785136,0.02461642579007996,True,True,True,True
cand_00018,1515197,theta_local:19:1513853:1344,1515197,1344.0,1.0,0.0008870133718585768,0.029782769714359624,True,True,True,True
cand_00019,58511,theta_local:20:58510:1,58511,1.0,1.0,1.7090803438669653e-05,0.004134102494940063,True,True,True,True
cand_00020,30847123,theta_local:21:30831334:15789,30847123,15789.0,1.0,0.0005118467612036299,0.022624030613567287,True,True,True,True
cand_00021,60209,theta_local:22:60208:1,60209,1.0,1.0,1.6608812635984655e-05,0.004075391102211499,True,True,True,True
cand_00022,354553,theta_local:23:354550:3,354619,3.0,1.0001861498845024,8.461358386475366e-06,0.0029089261571807316,True,True,True,True
cand_00023,180619079,theta_local:24:180557417:61662,180619079,61662.0,1.0,0.0003413925059378694,0.018476809950255735,True,True,True,True
cand_00024,109813367,theta_local:25:109790208:23159,109813367,23159.0,1.0,0.00021089418012289887,0.014522196119144612,True,True,True,True
cand_00025,230563,theta_local:26:230560:3,230647,3.0,1.0003643255856316,1.3011628058274744e-05,0.00360737625360393,True,True,True,True
cand_00026,1192781,theta_local:27:1192323:458,1192781,458.0,1.0,0.0003839766059318517,0.019595321021403343,True,True,True,True
cand_00027,109670797,theta_local:28:109660803:9994,109670797,9994.0,1.0,9.112726699706577e-05,0.009546060286687162,True,True,True,True
cand_00028,3456977,theta_local:29:3455716:1261,3456977,1261.0,1.0,0.0003647695660109975,0.019098941489281478,True,True,True,True
cand_00029,4994789,theta_local:30:4991760:3029,4994789,3029.0,1.0,0.0006064320234548447,0.02462584056341722,True,True,True,True
cand_00030,7108243,theta_local:31:7105465:2778,7108243,2778.0,1.0,0.000390813876227923,0.01976901303120424,True,True,True,True
cand_00031,3293113,theta_local:32:3292080:1033,3293113,1033.0,1.0,0.0003136849540237459,0.01771115337926206,True,True,True,True
cand_00032,1197619,theta_local:33:1197615:4,1197697,4.0,1.0000651292272418,3.3399603713701938e-06,0.0018275728547393424,True,True,True,True
cand_00033,127,theta_local:34:126:1,127,1.0,1.0,0.007874015748031496,0.08873565094161139,True,True,True,True
cand_00034,354953,theta_local:35:354952:1,354953,1.0,1.0,2.8172743997092572e-06,0.0016784738305106986,True,True,True,True
cand_00035,39707851,theta_local:36:39704004:3847,39707851,3847.0,1.0,9.688260389614134e-05,0.009842896113245398,True,True,True,True
cand_00036,1657,theta_local:37:1656:1,1657,1.0,1.0,0.0006035003017501509,0.024566243134638045,True,True,True,True
cand_00037,155921,theta_local:38:155920:1,156007,1.0,1.0005515613676157,6.4135042746005994e-06,0.0025327233183619464,True,True,True,True
cand_00038,39690667,theta_local:39:39682692:7975,39690667,7975.0,1.0,0.00020092884808411006,0.014174937322052258,True,True,True,True
cand_00039,30417481,theta_local:40:30409154:8327,30417481,8327.0,1.0,0.0002737570543727799,0.0165456052888004,True,True,True,True
cand_00040,604672261,theta_local:41:604520611:151650,604672261,151650.0,1.0,0.0002507970181221857,0.01583657217083879,True,True,True,True
cand_00041,7117417,theta_local:42:7115469:1948,7117417,1948.0,1.0,0.00027369479686240104,0.01654372379068271,True,True,True,True
cand_00042,12781267,theta_local:43:12779528:1739,12781267,1739.0,1.0,0.0001360584987388183,0.011664411632775068,True,True,True,True
