candidate_id,block_id,x,y,h,p_star,E_theta,E_theta_sign,Q_R2Q,near_forbidden_flag,forbidden_flag,negative_transfer_flag,positive_harmless_flag,channel_full,channel_inferred,O2_applicable_flag,B3_applicable_flag,B2_active_flag,finite_certificate_flag,coordinate_available_flag,valid_scale_flag,post_P0_flag,tail_flag,theta_negative_flag,theta_positive_flag,dangerous_coordinate_flag,finite_certificate_excluded_flag,negative_channel_flag,channel_compatible_flag,positive_channel_conflict_flag,finite_certificate_unresolved_flag,missing_channel_flag,failure_type,status
cand_00000,1.0,180530237,179845447.0,684790.0,180530237.0,-3089.9881332697114,negative,1.8193520399038576,True,True,True,False,negative_transferred_repaid,negative_transfer,True,True,True,True,True,True,False,False,True,False,True,False,True,True,False,False,False,,pass
cand_00001,2.0,24181,24178.0,3.0,24317.0,17.186562246627208,positive,0.1157979799474991,False,False,False,True,positive_harmless,positive_harmless,True,True,True,True,True,True,False,False,False,True,False,False,True,True,False,False,False,,pass
cand_00002,3.0,30974597,30910184.0,64413.0,30974597.0,-1027.9446158131832,negative,0.6812241515207513,False,False,True,False,negative_transferred_repaid,neutral,True,True,True,True,True,True,False,False,True,False,False,False,True,True,False,False,False,,pass
cand_00003,4.0,59921,59920.0,1.0,59921.0,10.0007823069704,positive,0.0921982535693211,False,False,False,True,positive_harmless,positive_harmless,True,True,True,True,True,True,False,False,False,True,False,False,True,True,False,False,False,,pass
cand_00004,5.0,356077,355293.0,784.0,356077.0,-4.315460261267276,negative,0.1566810093663226,False,False,True,False,negative_transferred_repaid,neutral,True,True,True,True,True,True,False,False,True,False,False,False,True,True,False,False,False,,pass
cand_00005,6.0,3448507,3446024.0,2483.0,3448507.0,-285.247239607314,negative,0.1786966438467436,False,False,True,False,negative_transferred_repaid,neutral,True,True,True,True,True,True,False,False,True,False,False,False,True,True,False,False,False,,pass
cand_00006,7.0,30774449,30670319.0,104130.0,30774449.0,-928.3530182520336,negative,0.862526348366495,True,False,True,False,negative_transferred_repaid,negative_transfer,True,True,True,True,True,True,False,False,True,False,True,False,True,True,False,False,False,,pass
cand_00007,8.0,3452747,3451296.0,1451.0,3452747.0,-246.6432758578178,negative,0.1383470038914393,False,False,True,False,negative_transferred_repaid,neutral,True,True,True,True,True,True,False,False,True,False,False,False,True,True,False,False,False,,pass
cand_00008,9.0,12883477,12871995.0,11482.0,12883477.0,-480.68150179983786,negative,0.3212949859833325,False,False,True,False,negative_transferred_repaid,neutral,True,True,True,True,True,True,False,False,True,False,False,False,True,True,False,False,False,,pass
cand_00009,10.0,178298621,178254856.0,43765.0,178298621.0,-1758.548029879923,negative,0.4625799992422776,False,False,True,False,negative_transferred_repaid,neutral,True,True,True,True,True,True,False,False,True,False,False,False,True,True,False,False,False,,pass
cand_00010,11.0,211,210.0,1.0,211.0,4.351858133476067,positive,0.1912764152417241,False,False,False,True,positive_harmless,positive_harmless,True,True,True,True,True,True,False,False,False,True,False,False,True,True,False,False,False,,pass
cand_00011,12.0,3279709,3278912.0,797.0,3279709.0,-166.86828088206357,negative,0.1060058846880691,False,False,True,False,negative_transferred_repaid,neutral,True,True,True,True,True,True,False,False,True,False,False,False,True,True,False,False,False,,pass
cand_00012,13.0,42899,42898.0,1.0,42899.0,9.666603794621116,positive,0.0968247715409328,False,False,False,True,positive_harmless,positive_harmless,True,True,True,True,True,True,False,False,False,True,False,False,True,True,False,False,False,,pass
