statement_id,file_name,file_path,line,statement_type,statement_text_or_paraphrase,scope,symbolic_or_conditional_or_certificate,v5_compatible,needs_repair
S0001,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Audit_v1.md,7,FullFCL completeness claim,Audit continuous all-x / FullFCL candidate selection after `P0`.,unspecified,unspecified,True,False
S0002,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Audit_v1.md,7,continuous candidate-selection claim,Audit continuous all-x / FullFCL candidate selection after `P0`.,unspecified,unspecified,True,False
S0003,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Audit_v1.md,11,certificate-backed candidate coverage statement,- Classification: `theta_window_certificate_conditional`.,conditional,conditional,True,False
S0004,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Audit_v1.md,12,certificate-backed candidate coverage statement,- Coverage mode: `theta_window_candidate_certificate_conditional`.,conditional,conditional,True,False
S0005,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Audit_v1.md,15,upper jump generation statement,- Upper jump unrepresented count: `0`.,unspecified,unspecified,True,False
S0006,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Audit_v1.md,16,lower drift bracketing statement,- Lower audited-candidate unbracketed count: `0`.,certificate,certificate,True,False
S0007,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Audit_v1.md,18,warning about sampled grid,- Full-grid H-Exc upgrade used: `False`.,unspecified,unspecified,True,False
S0008,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Audit_v1.md,25,FullFCL completeness claim,The available evidence supports audited theta/FullFCL candidate-window coverage plus finite continuous pre-`P0` coverage. It does not yet prove a post-`P0` continuous all-`x` selection theorem.,symbolic,symbolic,True,False
S0009,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Audit_v1.md,29,upper jump generation statement,"The proof-attack file correctly identifies the global processes as step-plus-drift: upper exits occur at jumps, while lower exits may occur by drift between jumps. The audited lower candidates are bracketed, but all possible lower drift intervals are not exhaustively enumerated in the available data.",certificate,certificate,True,False
S0010,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Audit_v1.md,29,lower drift bracketing statement,"The proof-attack file correctly identifies the global processes as step-plus-drift: upper exits occur at jumps, while lower exits may occur by drift between jumps. The audited lower candidates are bracketed, but all possible lower drift intervals are not exhaustively enumerated in the available data.",certificate,certificate,True,False
