field,value
rows,1468
primitive_full_rows,1468
missing_required_fields,0
positive_rows,1320
negative_rows,148
threshold_relevant_rows,3
forbidden_rows,1
Q_delta_D_positive_max,0.1926535586334653
positive_above_0p25_count,0
Q_delta_D_gt_0p75_rows,2
Q_delta_D_gt_0p75_violations,0
threshold_relevant_endpoint_dominant_frac,1.0
min_Q_delta_D_share_threshold_relevant,0.9865866873249447
sign_inconsistent_rows,1320
sign_inconsistent_positive_harmless_rows,1320
sign_inconsistent_threshold_relevant_rows,0
sign_inconsistent_forbidden_rows,0
best_model_name,B_positive_geometry_theta
best_model_R2,0.9742532675086427
best_model_max_abs_residual,0.026496238161577354
best_model_status,formula_candidate_strong
threshold_formula_supported,True
positive_cap_supported,True
sign_inconsistency_harmless_supported,True
pass_endpoint_motion_direct_formula_empirical,True
recommended_theorem_form,threshold_cap_endpoint_motion_theorem_with_positive_branch_formula_candidate
recommended_next_file,Prime_Mesh_R2Q_EndpointMotion_ThresholdCap_Theorem_Target_v1.md
