field,value
rows,1468
primitive_full_rows,1468
primitive_missing_rows,0
positive_rows,1320
negative_rows,148
zero_rows,0
unknown_sign_rows,0
post_P0_positive_rows,120
finite_positive_rows,1200
positive_Q_delta_D_min,0.0443239885397641
positive_Q_delta_D_max,0.1926535586334653
positive_Q_delta_D_mean,0.0578678295329825
positive_Q_delta_D_median,0.056101147540100246
positive_Q_delta_D_q95,0.07317313180348672
positive_Q_delta_D_q99,0.09993047017263122
positive_Q_R2Q_max,0.2157084836048593
positive_Q_exc_max,0.0205672364492246
positive_abs_epsilon_max,0.0230549249713939
positive_above_0p20_count,0
positive_above_0p225_count,0
positive_above_0p24_count,0
positive_above_0p25_count,0
positive_above_0p25_frac,0.0
positive_cap_margin_to_0p25,0.05734644136653469
positive_tail_Q_delta_D_max,0.0561928873996106
positive_finite_Q_delta_D_max,0.1926535586334653
sign_inconsistent_positive_rows,1320
sign_inconsistent_positive_Q_delta_D_max,0.1926535586334653
sign_inconsistent_threshold_relevant_rows,0
sign_inconsistent_forbidden_rows,0
positive_formula_model,B_positive_geometry_theta
positive_formula_R2,0.9742532675086426
positive_formula_max_abs_residual,0.026496238161576466
positive_cap_failures,0
pass_endpoint_motion_positive_cap_empirical,True
recommended_theorem_form,E_theta_positive_implies_Q_delta_D_le_1_over_4
recommended_next_file,Prime_Mesh_R2Q_EndpointMotion_PositiveCap_Theorem_Target_v1.md
