candidate_id,block_id,x,y,h,p_star,E_theta_sign,DeltaD_sign,post_P0_flag,finite_zone_flag,finite_certified_flag,E_theta,DeltaD,Q_delta_D,Q_R2Q,Q_exc,epsilon,near_forbidden_flag,forbidden_flag,threshold_relevant_flag,positive_harmless_flag,negative_transfer_flag,channel_compatible_flag,O2_repaid_flag,B3_no_accumulation_flag,endpoint_repaid_flag,E_theta_normalized,scale_ratio,h_over_x,pstar_over_x,log_pstar,sqrt_h,normalizer,Q_delta_D_share,Q_exc_share,epsilon_share,h_bin,p_star_bin,window_class,short_window_flag,single_step_flag,finite_short_flag,post_P0_tail_flag,sign_consistent,sign_inconsistent_flag,sign_consistency_class,row_regime,failure_type,endpoint_motion_pass_flag,status
hexc_00000,1,180530237,179845447,684790,180530237,negative,negative,False,True,True,-3089.9881332697114,-541095.7142812033,1.8091175489119344,1.8193520399038576,0.0022301154184481,0.0080043755734753,True,True,True,False,True,True,True,True,True,-0.22997563962597736,0.9943746505528067,0.0037932149837038103,1.0,19.011408839713177,827.5203924979734,299093.72920882725,0.9943746505528067,0.0012257745447472326,0.004399574902446195,h>65536,100M<=p<500M,h>65536,False,False,False,False,True,False,consistent,forbidden_negative,,True,pass
hexc_00001,2,24181,24178,3,24317,positive,negative,False,True,True,17.186562246627208,-19.53986210777775,0.1106139903704657,0.1157979799474991,0.0184358992034248,-0.0132519096263914,False,False,False,True,False,True,False,True,True,0.11021330297891396,0.9552324696908897,0.00012406434804185105,1.0056242504445638,10.09893097320806,1.7320508075688772,176.64910236341098,0.9552324696908897,0.15920743359930228,-0.11443990329019209,2<=h<=4,1K<=p<100K,2<=h<=4,True,False,True,False,False,True,positive_harmless_inconsistent,sign_inconsistent_positive_harmless,,True,pass
hexc_00002,3,30974597,30910184,64413,30974597,negative,negative,False,True,True,-1027.9446158131832,-50165.02240775837,0.6643586881865706,0.6812241515207513,0.0022416133345536,0.014623849999627,False,False,False,False,False,True,True,True,True,-0.18469999505398196,0.9752424172036024,0.0020795427943743707,1.0,17.24867797490251,253.7971631047124,75508.94313535435,0.9752424172036024,0.003290566445052582,0.021467016351344865,8193<=h<=65536,1M<=p<100M,8193<=h<=65536,False,False,False,False,True,False,consistent,finite_negative_repaid,,True,pass
hexc_00003,4,59921,59920,1,59921,positive,negative,False,True,True,10.0007823069704,-10.677432241970394,0.0882306914983774,0.0921982535693211,2.348567539256741e-16,0.0039675620709434,False,False,False,True,False,True,False,True,True,0.040854927821187596,0.9569670582972527,1.668864004272292e-05,1.0,11.0007823069704,1.0,121.017211365353,0.9569670582972527,2.547301546759694e-15,0.04303294170274396,h=1,1K<=p<100K,h=1,True,True,True,False,False,True,positive_harmless_inconsistent,sign_inconsistent_positive_harmless,,True,pass
hexc_00004,5,356077,355293,784,356077,negative,negative,False,True,True,-4.315460261267276,-618.4840667387305,0.1351797213221275,0.1566810093663226,0.0128661873649445,0.0086351006792505,False,False,False,False,False,True,True,True,True,-0.007231945766452147,0.8627702991501366,0.002201770965268748,1.0,12.782902278581227,28.0,4575.2725385852,0.8627702991501366,0.08211708245294205,0.05511261839692073,257<=h<=1024,100K<=p<1M,257<=h<=1024,False,False,False,False,True,False,consistent,finite_negative_repaid,,True,pass
hexc_00005,6,3448507,3446024,2483,3448507,negative,negative,False,True,True,-285.247239607314,-1687.5380821821711,0.1494490028165924,0.1786966438467436,0.0076387824505859,0.0216088585795651,False,False,False,False,False,True,True,True,True,-0.15360519161482614,0.8363279779600394,0.0007200217369429727,1.0,15.053451941719482,49.82971001320397,11291.73196460307,0.8363279779600394,0.04274720714473621,0.1209248148952232,1025<=h<=8192,1M<=p<100M,1025<=h<=8192,False,False,False,False,True,False,consistent,finite_negative_repaid,,True,pass
hexc_00006,7,30774449,30670319,104130,30774449,negative,negative,False,True,True,-928.3530182520336,-81816.70719328354,0.8528427097579773,0.862526348366495,0.0037875901851982,0.0058960484233194,True,False,True,False,True,True,True,True,True,-0.16734703065292056,0.9887729358913415,0.003383651158140963,1.0,17.242195325731537,322.69180342859653,95934.11101151556,0.9887729358913415,0.004391274762065378,0.006835789346592943,h>65536,1M<=p<100M,h>65536,False,False,False,False,True,False,consistent,threshold_relevant_negative,,True,pass
hexc_00007,8,3452747,3451296,1451,3452747,negative,negative,False,True,True,-246.6432758578178,-906.2861454643348,0.1049756413821095,0.1383470038914393,0.0076429115920426,0.0257284509172871,False,False,False,False,False,True,True,True,True,-0.13273544240534768,0.7587850725302568,0.00042024509759910005,1.0,15.05468070406716,38.09199390948182,8633.299435299174,0.7587850725302568,0.05524450387114984,0.18597042359859256,1025<=h<=8192,1M<=p<100M,1025<=h<=8192,False,False,False,False,True,False,consistent,finite_negative_repaid,,True,pass
hexc_00008,9,12883477,12871995,11482,12883477,negative,negative,False,True,True,-480.68150179983786,-8643.103225239702,0.3009444286825112,0.3212949859833325,0.0039191521021917,0.0164314051986295,False,False,False,False,False,True,True,True,True,-0.1339185893999252,0.9366608313586412,0.0008912190397048871,1.0,16.371456195625765,107.15409464878138,28719.930995492716,0.9366608313586412,0.012197987124501875,0.05114118151685659,8193<=h<=65536,1M<=p<100M,8193<=h<=65536,False,False,False,False,True,False,consistent,finite_negative_repaid,,True,pass
hexc_00009,10,178298621,178254856,43765,178298621,negative,negative,False,True,True,-1758.548029879923,-33018.34702990349,0.437251926315424,0.4625799992422776,0.0025143310542018,0.0228137418726517,False,False,False,False,False,True,True,True,True,-0.13169832220968516,0.9452460699374338,0.0002454589932021964,1.0,18.998970348647543,209.2008604188807,75513.32548295001,0.9452460699374338,0.005435451291280131,0.04931847877128587,8193<=h<=65536,100M<=p<500M,8193<=h<=65536,False,False,False,False,True,False,consistent,finite_negative_repaid,,True,pass
