candidate_id,block_id,x,y,h,right_endpoint,p_star,E_theta_sign,DeltaD_sign,post_P0_flag,finite_zone_flag,E_theta,Q_R2Q,Q_delta_D,Q_exc,epsilon,D_start,D_end,DeltaD,bridge_excursion_raw,bridge_excursion_argmax,threshold_relevant_flag,forbidden_flag,row_regime,scale_denominator,DeltaD_recomputed,DeltaD_recompute_error,Q_delta_D_recomputed,Q_delta_D_recompute_error,Q_exc_recomputed,Q_exc_recompute_error,line_slope_D,Q_R2Q_recomputed,formula_reconstruction_error,endpoint_path_valid_flag,endpoint_delta_valid_flag,normalization_valid_flag,bridge_excursion_valid_flag,formula_reconstruction_valid_flag,failure_type,status
hexc_00000,1,180530237,179845447,684790,180530237,180530237,negative,negative,False,True,-3089.9881332697114,1.8193520399038576,1.8091175489119344,0.0022301154184481,0.0080043755734753,-9765.168998323748,-550860.8832795271,-541095.7142812033,667.0135370697717,179860179,True,True,forbidden_negative,299093.72920882725,-541095.7142812033,0.0,1.8091175489119342,2.220446049250313e-16,0.0022301154184481845,-8.456776945386935e-17,-0.7901629905243992,1.8193520399038579,-2.220446049250313e-16,True,True,True,True,True,,pass
hexc_00001,2,24181,24178,3,24181,24317,positive,negative,False,True,17.186562246627208,0.1157979799474991,0.1106139903704657,0.0184358992034248,-0.0132519096263914,-123.17681954167884,-142.7166816494566,-19.53986210777775,3.2566850455473286,24180,False,False,positive_harmless,176.64910236341098,-19.539862107777765,1.4210854715202004e-14,0.1106139903704657,0.0,0.01843589920342488,-7.979727989493313e-17,-6.51328736925925,0.11579797994749909,1.3877787807814457e-17,True,True,True,True,True,,pass
hexc_00002,3,30974597,30910184,64413,30974597,30974597,negative,negative,False,True,-1027.9446158131832,0.6812241515207513,0.6643586881865706,0.0022416133345536,0.014623849999627,-4189.11794672998,-54354.14035448835,-50165.02240775837,169.26185381026153,30957127,False,False,subthreshold_negative,75508.94313535435,-50165.02240775837,0.0,0.6643586881865706,0.0,0.0022416133345536226,-2.2551405187698492e-17,-0.7788027635377699,0.6812241515207512,1.1102230246251565e-16,True,True,True,True,True,,pass
hexc_00003,4,59921,59920,1,59921,59921,positive,negative,False,True,10.0007823069704,0.0921982535693211,0.0882306914983774,2.348567539256741e-16,0.0039675620709434,-239.1624278487056,-249.839860090676,-10.677432241970394,2.8421709430404014e-14,59921,False,False,positive_harmless,121.017211365353,-10.677432241970422,2.842170943040401e-14,0.08823069149837741,-1.3877787807814457e-17,2.3485675392567417e-16,-4.930380657631324e-32,-10.677432241970394,0.09219825356932103,6.938893903907228e-17,True,True,True,True,True,,pass
hexc_00004,5,356077,355293,784,356077,356077,negative,negative,False,True,-4.315460261267276,0.1566810093663226,0.1351797213221275,0.0128661873649445,0.0086351006792505,-445.57865085028266,-1064.0627175890131,-618.4840667387305,58.86631372712248,355941,False,False,subthreshold_negative,4575.2725385852,-618.4840667387305,0.0,0.13517972132212755,-5.551115123125783e-17,0.012866187364944508,-8.673617379884035e-18,-0.7888827381871562,0.15668100936632248,1.1102230246251565e-16,True,True,True,True,True,,pass
hexc_00005,6,3448507,3446024,2483,3448507,3448507,negative,negative,False,True,-285.247239607314,0.1786966438467436,0.1494490028165924,0.0076387824505859,0.0216088585795651,-1269.9908564127795,-2957.528938594951,-1687.5380821821711,86.25508396793089,3447295,False,False,subthreshold_negative,11291.73196460307,-1687.5380821821714,2.2737367544323206e-13,0.14944900281659243,-2.7755575615628914e-17,0.007638782450585998,-9.80118763926896e-17,-0.6796367628603186,0.1786966438467434,1.942890293094024e-16,True,True,True,True,True,,pass
hexc_00006,7,30774449,30670319,104130,30774449,30774449,negative,negative,False,True,-928.3530182520336,0.862526348366495,0.8528427097579773,0.0037875901851982,0.0058960484233194,-3672.24244464055,-85488.94963792409,-81816.70719328354,363.3590972929378,30684688,True,False,threshold_relevant_negative,95934.11101151556,-81816.70719328354,0.0,0.8528427097579773,0.0,0.003787590185198272,-7.19910242530375e-17,-0.7857169614259439,0.8625263483664949,1.1102230246251565e-16,True,True,True,True,True,,pass
hexc_00007,8,3452747,3451296,1451,3452747,3452747,negative,negative,False,True,-246.6432758578178,0.1383470038914393,0.1049756413821095,0.0076429115920426,0.0257284509172871,-1239.2532286860674,-2145.539374150402,-906.2861454643348,65.98354433162308,3451634,False,False,subthreshold_negative,8633.299435299174,-906.2861454643348,0.0,0.10497564138210953,-2.7755575615628914e-17,0.007642911592042622,-2.168404344971009e-17,-0.6245941733041591,0.1383470038914392,1.1102230246251565e-16,True,True,True,True,True,,pass
hexc_00008,9,12883477,12871995,11482,12883477,12883477,negative,negative,False,True,-480.68150179983786,0.3212949859833325,0.3009444286825112,0.0039191521021917,0.0164314051986295,-2412.5263892811627,-11055.629614520863,-8643.103225239702,112.55777793578729,12878725,False,False,subthreshold_negative,28719.930995492716,-8643.103225239702,0.0,0.30094442868251126,-5.551115123125783e-17,0.00391915210219175,-5.0306980803327406e-17,-0.7527524146698922,0.3212949859833324,1.1102230246251565e-16,True,True,True,True,True,,pass
hexc_00009,10,178298621,178254856,43765,178298621,178298621,negative,negative,False,True,-1758.548029879923,0.4625799992422776,0.437251926315424,0.0025143310542018,0.0228137418726517,-8710.023780257156,-41728.370810160646,-33018.34702990349,189.86549926782936,178261863,False,False,subthreshold_negative,75513.32548295001,-33018.34702990349,0.0,0.43725192631542403,-5.551115123125783e-17,0.0025143310542018005,-4.336808689942018e-19,-0.7544464076294639,0.46257999924227744,1.6653345369377348e-16,True,True,True,True,True,,pass
