block_id,p_star,y,h,D_start,D_end,DeltaD,DeltaD_sign,Q_DeltaD,Q_exc,Q_delayed_proxy,theta_local_sign_if_available,R2Q_obstruction_sign,B2_repayment_sign,endpoint_favorable_flag,endpoint_already_counted_flag,endpoint_harmful_flag,endpoint_harmful_Q,endpoint_repayment_Q,double_count_risk_flag,delayed_risk_proxy,large_endpoint_flag,is_tail,h_bin,p_scale_bin,mu_bin_if_available,depth_bin,recovery_position
5,356077,355293,784,-445.57865085028266,-1064.0627175890131,-618.4840667387305,negative,0.1351797213221275,0.0128661873649445,0.148045908687072,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.1351797213221275,False,False,False,False,257<=h<=1024,p<100M,0.10-0.25,0.65-0.70,0.1884057971014492
27,1192781,1192323,458,-623.3057979417131,-948.8325897505176,-325.52679180880466,negative,0.0776974809855303,0.0120403626533005,0.0897378436388308,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.0776974809855303,False,False,False,False,257<=h<=1024,p<100M,0.25-0.50,0.55-0.60,0.1019607843137254
14,1195669,1195386,205,-686.8422426041038,-868.601622871141,-181.7593802670372,negative,0.0648220454203745,0.0127144572989962,0.0775365027193708,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.0648220454203745,False,False,False,False,65<=h<=256,p<100M,0.50-1.00,0.60-0.65,0.3293838862559242
56,1511527,1511046,403,-710.2584342675988,-1040.2049989253685,-329.9465646577695,negative,0.0811829553542681,0.007718928919738,0.0889018842740061,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.0811829553542681,False,False,False,False,257<=h<=1024,p<100M,0.10-0.25,0.55-0.60,0.1410714285714285
19,1515197,1513853,1344,-753.3241327486062,-1758.088336176791,-1004.7642034281848,negative,0.1353288100910507,0.0103425912084517,0.1456714012995024,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.1353288100910507,False,False,False,False,1025<=h<=8192,p<100M,0.10-0.25,0.55-0.60,0.0705394190871369
18,3241093,3239129,1964,-1080.182066429391,-2475.688277714416,-1395.5062112850246,negative,0.1401120285534746,0.0081749848918229,0.1482870134452975,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.1401120285534746,False,False,False,False,1025<=h<=8192,p<100M,0.10-0.25,0.55-0.60,0.0238568588469184
12,3279709,3278912,797,-1129.0381509763808,-1595.281448924815,-466.2432979484343,negative,0.0733688760483797,0.0114062615417102,0.08477513759009,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.0733688760483797,False,False,False,False,257<=h<=1024,p<100M,0.25-0.50,0.60-0.65,0.0860091743119266
88,3290641,3290318,323,-968.6745457375904,-1187.291206905305,-218.61666116771448,negative,0.0540154242762154,0.0078480023338476,0.061863426610063,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.0540154242762154,False,False,False,False,257<=h<=1024,p<100M,0.25-0.50,0.50-0.55,0.1027777777777777
60,3291137,3290975,8,-997.1631099024464,-1040.539142616886,-43.37603271443948,negative,0.068097615704397,0.0205672364492246,0.0886648521536217,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.068097615704397,False,False,False,False,5<=h<=16,p<100M,0.50-1.00,0.55-0.60,0.352
32,3293113,3292080,1033,-1036.8409135045636,-1739.9792047404453,-703.1382912358818,negative,0.0971366049932867,0.0061349229944132,0.1032715279877,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.0971366049932867,False,False,False,False,1025<=h<=8192,p<100M,0.10-0.25,0.55-0.60,0.0161904761904761
96,3438637,3438262,375,-985.655207590264,-1254.5709637484956,-268.9157561582316,negative,0.0613047056138632,0.0091609752093495,0.0704656808232128,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.0613047056138632,False,False,False,False,257<=h<=1024,p<100M,0.25-0.50,0.50-0.55,0.0942028985507246
48,3440807,3439819,811,-1059.9835425069589,-1751.6610990375343,-691.6775565305757,negative,0.1072136412049886,0.0089098695882727,0.1161235107932613,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.1072136412049886,False,False,False,False,257<=h<=1024,p<100M,0.10-0.25,0.55-0.60,0.1099099099099099
78,3441797,3441229,568,-997.2058860575942,-1392.208998971388,-395.00311291379376,negative,0.0731587940029086,0.0054337359968187,0.0785925299997273,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.0731587940029086,False,False,False,False,257<=h<=1024,p<100M,0.10-0.25,0.50-0.55,0.030716723549488
6,3448507,3446024,2483,-1269.9908564127795,-2957.528938594951,-1687.5380821821711,negative,0.1494490028165924,0.0076387824505859,0.1570877852671784,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.1494490028165924,False,False,False,False,1025<=h<=8192,p<100M,0.10-0.25,0.65-0.70,0.031591263650546
8,3452747,3451296,1451,-1239.2532286860674,-2145.539374150402,-906.2861454643348,negative,0.1049756413821095,0.0076429115920426,0.1126185529741521,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.1049756413821095,False,False,False,False,1025<=h<=8192,p<100M,0.25-0.50,0.65-0.70,0.0553385416666666
29,3456977,3455716,1261,-1076.8098138024425,-2022.1132362822227,-945.3034224797802,negative,0.1174356488415478,0.0077614986724626,0.1251971475140106,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.1174356488415478,False,False,False,False,1025<=h<=8192,p<100M,0.10-0.25,0.55-0.60,0.086231884057971
50,3457967,3457512,455,-1032.5412923104789,-1300.260569031474,-267.71927672099514,negative,0.055366069112823,0.006278619086263,0.0616446881990861,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.055366069112823,False,False,False,False,257<=h<=1024,p<100M,0.25-0.50,0.55-0.60,0.0637860082304526
99,4991101,4990677,357,-1187.829339260422,-1454.0770886755686,-266.2477494151465,negative,0.0592385896584613,0.0071299286054191,0.0663685182638805,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.0592385896584613,False,False,False,False,257<=h<=1024,p<100M,0.25-0.50,0.50-0.55,0.0619469026548672
30,4994789,4991760,3029,-1282.5533183929576,-3575.231370335033,-2292.6780519420754,negative,0.1751074858509674,0.0057126820734734,0.1808201679244408,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.1751074858509674,False,False,False,False,1025<=h<=8192,p<100M,0.05-0.10,0.55-0.60,0.0235332043842682
