scope,rows,DeltaD_negative_frac,DeltaD_positive_frac,Q_DeltaD_max,Q_DeltaD_mean,Q_DeltaD_median,Q_DeltaD_q95,endpoint_favorable_frac,endpoint_already_counted_frac,endpoint_harmful_frac,Q_DeltaD_harmful_max,Q_DeltaD_harmful_mean,endpoint_repayment_Q_max,double_count_risk_frac,large_QDeltaD_rows,large_QDeltaD_already_counted_frac,large_QDeltaD_harmful_max,delayed_risk_large_QDeltaD_frac,worst_block_id,worst_p_star,worst_h,worst_endpoint_harmful_Q
global,166,1.0,0.0,1.8091175489119344,0.12791263659079674,0.07733282709465765,0.31854107900525525,1.0,1.0,0.0,0.0,0.0,1.8091175489119344,0.08433734939759036,14,1.0,0.0,1.0,5,356077,784,0.0
tail:p_star<500M,144,1.0,0.0,1.8091175489119344,0.1251585012880182,0.07541544960033356,0.30043923843686615,1.0,1.0,0.0,0.0,0.0,1.8091175489119344,0.06944444444444445,10,1.0,0.0,1.0,5,356077,784,0.0
scale:100M<=p<500M,56,1.0,0.0,1.8091175489119344,0.14913604688219204,0.07704601430421446,0.36355079038732796,1.0,1.0,0.0,0.0,0.0,1.8091175489119344,0.08928571428571429,5,1.0,0.0,1.0,233,108545317,873,0.0
delayed_risk:True,23,1.0,0.0,1.8091175489119344,0.4008513568799932,0.2780296336118464,0.842229205486963,1.0,1.0,0.0,0.0,0.0,1.8091175489119344,0.6086956521739131,14,1.0,0.0,1.0,246,12808469,16,0.0
large_QDeltaD:>0.25,14,1.0,0.0,1.8091175489119344,0.5390483002469387,0.38775607155331926,1.187538903461862,1.0,1.0,0.0,0.0,0.0,1.8091175489119344,1.0,14,1.0,0.0,1.0,9,12883477,11482,0.0
h:h>65536,3,1.0,0.0,1.8091175489119344,1.136222641905916,0.8528427097579773,1.7134900649965386,1.0,1.0,0.0,0.0,0.0,1.8091175489119344,1.0,3,1.0,0.0,1.0,7,30774449,104130,0.0
depth:>=0.70,2,1.0,0.0,1.8091175489119344,1.2367381185492525,1.2367381185492525,1.7518796058756663,1.0,1.0,0.0,0.0,0.0,1.8091175489119344,1.0,2,1.0,0.0,1.0,3,30974597,64413,0.0
mu:0.006-0.01,1,1.0,0.0,1.8091175489119344,1.8091175489119344,1.8091175489119344,1.8091175489119344,1.0,1.0,0.0,0.0,0.0,1.8091175489119344,1.0,1,1.0,0.0,1.0,1,180530237,684790,0.0
scale:p<100M,88,1.0,0.0,0.8528427097579773,0.1099000631826348,0.07501072327181074,0.2759510032488845,1.0,1.0,0.0,0.0,0.0,0.8528427097579773,0.056818181818181816,5,1.0,0.0,1.0,5,356077,784,0.0
depth:0.65-0.70,5,1.0,0.0,0.8528427097579773,0.30867830079226355,0.1494490028165924,0.742463053542884,1.0,1.0,0.0,0.0,0.0,0.8528427097579773,0.4,2,1.0,0.0,1.0,5,356077,784,0.0
