candidate_id,block_id,x,y,h,p_star,post_P0_flag,post_P0_by_pstar,finite_certified_flag,finite_zone_flag,threshold_relevant_flag,forbidden_flag,near_forbidden_flag,positive_harmless_flag,negative_transfer_flag,row_regime,Q_R2Q,Q_delta_D,Q_exc,epsilon,E_theta,epsilon_abs,Q_R2Q_recon,Q_R2Q_reconstruction_error,E_theta_sign,Q_R2Q_gt_0p75,Q_delta_D_gt_0p75,E_theta_positive,E_theta_nonnegative,E_theta_negative,positive_harmless_bound,positive_subthreshold_bound,Q_R2Q_minus_Q_delta_D,Q_exc_plus_abs_epsilon,direct_threshold_sign_counterexample,direct_delta_counterexample,endpoint_sign_bridge_counterexample,positive_harmless_counterexample_0p305,positive_harmless_counterexample_0p75,thresholdtransfer_failure_flag,Q_R2Q_bin,Q_delta_D_bin
hexc_00001,2,24181,24178,3,24317,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.1157979799474991,0.1106139903704657,0.0184358992034248,-0.0132519096263913,17.186562246627208,0.0132519096263913,0.11579797994749919,8.326672684688674e-17,positive,False,False,True,True,False,True,True,0.005183989577033407,0.0316878088298161,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
hexc_00003,4,59921,59920,1,59921,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.0921982535693211,0.0882306914983774,2.348567539256741e-16,0.0039675620709434,10.0007823069704,0.0039675620709434,0.09219825356932103,6.938893903907228e-17,positive,False,False,True,True,False,True,True,0.003967562070943703,0.003967562070943635,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
hexc_00010,11,211,210,1,211,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.1912764152417241,0.1755617761599286,0.0,0.0157146390817954,4.351858133476067,0.0157146390817954,0.191276415241724,8.326672684688674e-17,positive,False,False,True,True,False,True,True,0.01571463908179549,0.0157146390817954,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
hexc_00012,13,42899,42898,1,42899,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.0968247715409328,0.0909085751563544,0.0,0.0059161963845784,9.666603794621116,0.0059161963845784,0.09682477154093279,1.3877787807814457e-17,positive,False,False,True,True,False,True,True,0.005916196384578409,0.0059161963845784,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
hexc_00013,14,1195591,1195386,205,1195669,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.0899443884131837,0.0648220454203745,0.0127144572989962,0.012407885693813,18.90523282037472,0.012407885693813,0.0899443884131837,0.0,positive,False,False,True,True,False,True,True,0.025122342992809202,0.025122342992809202,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
hexc_00014,15,43133,43132,1,43133,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.0943896668138165,0.0908636843222885,0.0,0.0035259824915279,9.672043644375696,0.0035259824915279,0.0943896668138164,9.71445146547012e-17,positive,False,False,True,True,False,True,True,0.003525982491527996,0.0035259824915279,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
hexc_00015,16,58309,58308,1,58309,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.0939517191622745,0.0884432993920433,0.0,0.0055084197702311,9.973511734352114,0.0055084197702311,0.0939517191622744,9.71445146547012e-17,positive,False,False,True,True,False,True,True,0.005508419770231199,0.0055084197702311,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
hexc_00016,17,59333,59332,1,59333,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.0929815072257821,0.0883074552338765,2.3527838405727803e-16,0.0046740519919053,9.990920922612805,0.0046740519919053,0.09298150722578204,6.938893903907228e-17,positive,False,False,True,True,False,True,True,0.004674051991905612,0.004674051991905535,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
hexc_00019,20,58511,58510,1,58511,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.0923670994574258,0.0884162808823417,0.0,0.0039508185750841,9.97697004973177,0.0039508185750841,0.0923670994574258,0.0,positive,False,False,True,True,False,True,True,0.0039508185750841,0.0039508185750841,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
hexc_00021,22,60209,60208,1,60209,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.0940510554686493,0.0881934154907322,0.0,0.005857639977917,10.005577121783782,0.005857639977917,0.0940510554686492,9.71445146547012e-17,positive,False,False,True,True,False,True,True,0.005857639977917092,0.005857639977917,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
hexc_00022,23,354553,354550,3,354619,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.0920232096308952,0.088072855820278,0.0146788192753852,-0.0107284654647679,22.55722059933116,0.0107284654647679,0.0920232096308953,9.71445146547012e-17,positive,False,False,True,True,False,True,True,0.003950353810617202,0.0254072847401531,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
hexc_00025,26,230563,230560,3,230647,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.0944180902326222,0.0910569767225814,0.0151761792087925,-0.0118150656987517,21.69655017143579,0.0118150656987517,0.0944180902326222,0.0,positive,False,False,True,True,False,True,True,0.0033611135100408,0.0269912449075442,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
