row_id,candidate_id,block_id,source,x,y,h,right_endpoint,p_star,post_P0_flag,finite_zone_flag,finite_certificate_flag,coordinate_available_flag,finite_certificate_coordinate_excluded_flag,E_theta,E_theta_sign,E_theta_normalized,Q_R2Q,Q_exc,Q_O2,accumulation_proxy,positive_harmless_flag,negative_transfer_flag,channel_compatible_flag,O2_applicable_flag,B3_applicable_flag,endpoint_repaid_flag,near_forbidden_flag,forbidden_flag,known_pstar_110312593_flag,finite_certification_mode,finite_certification_pass_flag,failure_type,status
finite_00000,cand_00000,1.0,theta,180530237.0,179845447.0,684790.0,180530237.0,180530237.0,False,True,True,True,False,-3089.9881332697114,negative,-0.010331169902637,1.8193520399038576,0.0022301154184481,0.0499059549846063,0.0,False,True,True,True,True,True,True,True,False,negative_channel_repaid,True,,pass
finite_00001,cand_00001,2.0,theta,24181.0,24178.0,3.0,24181.0,24317.0,False,True,True,True,False,17.186562246627208,positive,0.0972921006486078,0.1157979799474991,0.0205672364492246,0.0499059549846063,0.0,True,False,True,True,True,True,False,False,False,positive_harmless_cap,True,,pass
finite_00002,cand_00002,3.0,theta,30974597.0,30910184.0,64413.0,30974597.0,30974597.0,False,True,True,True,False,-1027.9446158131832,negative,-0.0136135479206817,0.6812241515207513,0.0022416133345536,0.0499059549846063,0.0,False,True,True,True,True,True,False,False,False,negative_channel_repaid,True,,pass
finite_00003,cand_00003,4.0,theta,59921.0,59920.0,1.0,59921.0,59921.0,False,True,True,True,False,10.0007823069704,positive,0.082639338604307,0.0921982535693211,0.0205672364492246,0.0499059549846063,0.0,True,False,True,True,True,True,False,False,False,positive_harmless_cap,True,,pass
finite_00004,cand_00004,5.0,theta,356077.0,355293.0,784.0,356077.0,356077.0,False,True,True,True,False,-4.315460261267276,negative,-0.0009432138140128,0.1566810093663226,0.0128661873649445,0.0499059549846063,0.0,False,True,True,True,True,True,False,False,False,negative_channel_repaid,True,,pass
finite_00005,cand_00005,6.0,theta,3448507.0,3446024.0,2483.0,3448507.0,3448507.0,False,True,True,True,False,-285.247239607314,negative,-0.0252616020732246,0.1786966438467436,0.0076387824505859,0.0499059549846063,0.0,False,True,True,True,True,True,False,False,False,negative_channel_repaid,True,,pass
finite_00006,cand_00006,7.0,theta,30774449.0,30670319.0,104130.0,30774449.0,30774449.0,False,True,True,True,False,-928.3530182520336,negative,-0.0096769856776032,0.862526348366495,0.0037875901851982,0.0499059549846063,0.0,False,True,True,True,True,True,True,False,False,negative_channel_repaid,True,,pass
finite_00007,cand_00007,8.0,theta,3452747.0,3451296.0,1451.0,3452747.0,3452747.0,False,True,True,True,False,-246.6432758578178,negative,-0.0285688313843675,0.1383470038914393,0.0076429115920426,0.0499059549846063,0.0,False,True,True,True,True,True,False,False,False,negative_channel_repaid,True,,pass
finite_00008,cand_00008,9.0,theta,12883477.0,12871995.0,11482.0,12883477.0,12883477.0,False,True,True,True,False,-480.68150179983786,negative,-0.0167368613063616,0.3212949859833325,0.0039191521021917,0.0499059549846063,0.0,False,True,True,True,True,True,False,False,False,negative_channel_repaid,True,,pass
finite_00009,cand_00009,10.0,theta,178298621.0,178254856.0,43765.0,178298621.0,178298621.0,False,True,True,True,False,-1758.548029879923,negative,-0.0232879166509092,0.4625799992422776,0.0025143310542018,0.0499059549846063,0.0,False,True,True,True,True,True,False,False,False,negative_channel_repaid,True,,pass
finite_00010,cand_00010,11.0,theta,211.0,210.0,1.0,211.0,211.0,False,True,True,True,False,4.351858133476067,positive,0.1519376986384418,0.1912764152417241,0.0205672364492246,0.0499059549846063,0.0,True,False,True,True,True,True,False,False,False,positive_harmless_cap,True,,pass
finite_00011,cand_00011,12.0,theta,3279709.0,3278912.0,797.0,3279709.0,3279709.0,False,True,True,True,False,-166.86828088206357,negative,-0.0262586899807756,0.1060058846880691,0.0114062615417102,0.0499059549846063,0.0,False,True,True,True,True,True,False,False,False,negative_channel_repaid,True,,pass
finite_00012,cand_00012,13.0,theta,42899.0,42898.0,1.0,42899.0,42899.0,False,True,True,True,False,9.666603794621116,positive,0.0849613864787405,0.0968247715409328,0.0205672364492246,0.0499059549846063,0.0,True,False,True,True,True,True,False,False,False,positive_harmless_cap,True,,pass
finite_00013,cand_00013,14.0,theta,1195591.0,1195386.0,205.0,1195591.0,1195669.0,False,True,True,True,False,18.90523282037472,positive,0.0067422977497207,0.0899443884131837,0.0127144572989962,0.0499059549846063,0.0,True,False,True,True,True,True,False,False,False,positive_harmless_cap,True,,pass
finite_00014,cand_00014,15.0,theta,43133.0,43132.0,1.0,43133.0,43133.0,False,True,True,True,False,9.672043644375696,positive,0.0849225570081055,0.0943896668138165,0.0205672364492246,0.0499059549846063,0.0,True,False,True,True,True,True,False,False,False,positive_harmless_cap,True,,pass
finite_00015,cand_00015,16.0,theta,58309.0,58308.0,1.0,58309.0,58309.0,False,True,True,True,False,9.973511734352114,positive,0.0828241215201216,0.0939517191622745,0.0205672364492246,0.0499059549846063,0.0,True,False,True,True,True,True,False,False,False,positive_harmless_cap,True,,pass
finite_00016,cand_00016,17.0,theta,59333.0,59332.0,1.0,59333.0,59333.0,False,True,True,True,False,9.990920922612805,positive,0.0827060643791465,0.0929815072257821,0.0205672364492246,0.0499059549846063,0.0,True,False,True,True,True,True,False,False,False,positive_harmless_cap,True,,pass
finite_00017,cand_00017,18.0,theta,3241093.0,3239129.0,1964.0,3241093.0,3241093.0,False,True,True,True,False,-165.06704136906455,negative,-0.0165731100488926,0.159654089699117,0.0081749848918229,0.0499059549846063,0.0,False,True,True,True,True,True,False,False,False,negative_channel_repaid,True,,pass
