field,value
P0,500000000
x_min_checked,2
x_max_checked,499999999
prime_count_checked,26355867
theta_at_P0_minus,499983789.813729
C_theta_declared,none_use_finite_required
C_theta_finite_required,1.9233607946
max_abs_theta_ratio,1.9233607946
worst_x,2
worst_H,-1.306853
worst_endpoint_type,prime_endpoint
worst_sign,negative
max_positive_side_ratio,0.0000000000
max_positive_side_x,2
max_negative_side_ratio,1.9233607946
max_negative_side_x,2
prefix_source,segmented_numpy_sieve_generated_fresh
prefix_generated_flag,True
prefix_complete_flag,True
integer_grid_pass,True
continuous_all_x_pass,True
continuous_gap_check_status,step_function_argument_prime_endpoints_plus_left_limits
failures,0
pass_finite_theta_envelope_certificate,True
certificate_type,exact_prime_grid_plus_step_function_continuous
note,"pre-prime check at p=2 excluded: x<2 is outside domain [2,P0)"
elapsed_seconds,33.1
