rank,x,theta_x,H_x,abs_H_x,M_x,ratio,sign,endpoint_type
1,2,0.693147,-1.306853,1.306853,0.679463,1.9233607946,negative,prime_endpoint
2,3,0.693147,-2.306853,2.306853,2.090497,1.1034949609,negative,pre_prime_left_limit
3,3,1.791759,-1.208241,1.208241,2.090497,0.5779680984,negative,prime_endpoint
4,5,1.791759,-3.208241,3.208241,5.792065,0.5539026768,negative,pre_prime_left_limit
5,7,3.401197,-3.598803,3.598803,10.018313,0.3592224259,negative,pre_prime_left_limit
6,11,5.347108,-5.652892,5.652892,19.070267,0.2964244063,negative,pre_prime_left_limit
7,5,3.401197,-1.598803,1.598803,5.792065,0.2760332467,negative,prime_endpoint
8,13,7.745003,-5.254997,5.254997,23.720796,0.2215354455,negative,pre_prime_left_limit
9,17,10.309952,-6.690048,6.690048,33.096572,0.2021371813,negative,pre_prime_left_limit
10,11,7.745003,-3.254997,3.254997,19.070267,0.1706844092,negative,prime_endpoint
11,7,5.347108,-1.652892,1.652892,10.018313,0.1649871098,negative,prime_endpoint
12,29,19.223099,-9.776901,9.776901,61.060667,0.1601178268,negative,pre_prime_left_limit
13,19,13.143166,-5.856834,5.856834,37.790437,0.1549819191,negative,pre_prime_left_limit
14,23,16.087604,-6.912396,6.912396,47.149373,0.1466063069,negative,pre_prime_left_limit
15,37,26.024382,-10.975618,10.975618,79.311487,0.1383862371,negative,pre_prime_left_limit
16,41,29.635300,-11.364700,11.364700,88.303037,0.1287011265,negative,pre_prime_left_limit
17,31,22.590395,-8.409605,8.409605,65.656570,0.1280847514,negative,pre_prime_left_limit
18,17,13.143166,-3.856834,3.856834,33.096572,0.1165327472,negative,prime_endpoint
19,13,10.309952,-2.690048,2.690048,23.720796,0.1134046174,negative,prime_endpoint
20,59,44.930511,-14.069489,14.069489,127.709123,0.1101682351,negative,pre_prime_left_limit
21,29,22.590395,-6.409605,6.409605,61.060667,0.1049711015,negative,prime_endpoint
22,53,40.960219,-12.039781,12.039781,114.757958,0.1049145588,negative,pre_prime_left_limit
23,43,33.348872,-9.651128,9.651128,92.765632,0.1040377567,negative,pre_prime_left_limit
24,47,37.110072,-9.889928,9.889928,101.625732,0.0973171653,negative,pre_prime_left_limit
25,67,53.118923,-13.881077,13.881077,144.712453,0.0959217885,negative,pre_prime_left_limit
26,37,29.635300,-7.364700,7.364700,79.311487,0.0928579278,negative,prime_endpoint
27,61,49.008049,-11.991951,11.991951,131.987627,0.0908566318,negative,pre_prime_left_limit
28,71,57.323615,-13.676385,13.676385,153.106847,0.0893257554,negative,pre_prime_left_limit
29,41,33.348872,-7.651128,7.651128,88.303037,0.0866462642,negative,prime_endpoint
30,97,79.153679,-17.846321,17.846321,206.116704,0.0865835723,negative,pre_prime_left_limit
31,101,83.728390,-17.271610,17.271610,214.055692,0.0806874579,negative,pre_prime_left_limit
32,23,19.223099,-3.776901,3.776901,47.149373,0.0801050157,negative,prime_endpoint
33,59,49.008049,-9.991951,9.991951,127.709123,0.0782399174,negative,prime_endpoint
34,79,65.876755,-13.123245,13.123245,169.694070,0.0773347318,negative,pre_prime_left_limit
35,19,16.087604,-2.912396,2.912396,37.790437,0.0770669970,negative,prime_endpoint
36,31,26.024382,-4.975618,4.975618,65.656570,0.0757824883,negative,prime_endpoint
37,89,74.665043,-14.334957,14.334957,190.074498,0.0754175711,negative,pre_prime_left_limit
38,127,107.069804,-19.930196,19.930196,264.450064,0.0753646843,negative,pre_prime_left_limit
39,149,126.643644,-22.356356,22.356356,305.645789,0.0731446568,negative,pre_prime_left_limit
40,73,61.586295,-11.413705,11.413705,157.278382,0.0725700807,negative,pre_prime_left_limit
41,83,70.246202,-12.753798,12.753798,177.891714,0.0716941632,negative,pre_prime_left_limit
42,137,116.789189,-20.210811,20.210811,283.326451,0.0713340074,negative,pre_prime_left_limit
43,53,44.930511,-8.069489,8.069489,114.757958,0.0703174644,negative,prime_endpoint
44,131,111.913992,-19.086008,19.086008,272.032031,0.0701608865,negative,pre_prime_left_limit
45,103,88.343511,-14.656489,14.656489,218.005425,0.0672299283,negative,pre_prime_left_limit
46,67,57.323615,-9.676385,9.676385,144.712453,0.0668662890,negative,prime_endpoint
47,223,193.915364,-29.084636,29.084636,436.609081,0.0666148207,negative,pre_prime_left_limit
48,97,83.728390,-13.271610,13.271610,206.116704,0.0643888114,negative,prime_endpoint
49,163,141.721116,-21.278884,21.278884,331.260069,0.0642361887,negative,pre_prime_left_limit
50,43,37.110072,-5.889928,5.889928,92.765632,0.0634925675,negative,prime_endpoint
