block_id,p_star,y,hi,h,prime_log_sum,theta_local_error,theta_local_sum_from_sieve,prime_log_sum_check_delta,theta_local_norm,theta_start_error,theta_end_error,theta_end_norm,theta_pstar_error,theta_pstar_norm,theta_start_sign,theta_end_sign,theta_local_sign,theta_crosses_sign,Q_max,near_forbidden_proxy,post_Q,cp_ratio,d_worst,is_tail,scale_bin,depth_bin,mu_bin,local_theta_sign,endpoint_theta_side,theta_candidate_crossing,theta_positive_candidate,theta_negative_candidate,near_forbidden_R2Q,forbidden_R2Q,B2_active_flag,finite_certificate_flag,covered_flag,B3_block_pass,Q_tail_max_inside,Q_tail_end,Q_local,Q_exc,O2_total_with_o2p4,positive_harmless_flag,negative_transfer_flag,O2_B3_repaid_flag,crossing_status,Q_theta,Q_R2Q,E_theta_local,Cplus_value,tail_flag,negative_transfer_near_forbidden_flag,x,post_P0,source_coordinate,side,scale_ratio_local_to_global,scale_ratio_global_to_local,sign_match,scale_compatibility_ok,localization_ok,Q_exc_max,endpoint_line_r2_min
1,180530237,179845447,180530237,684790,681700.0118667303,-3089.9881332697114,681700.0118673146,-5.842885002493858e-07,-0.010331169902637,-4239.522950917482,-7329.511083602905,-0.0015092855944754,-7329.511083602905,-0.0015092855944754,negative,negative,negative,False,1.8193520399038576,True,0.0015990424153537,1.819256709639388,0.7267830456257764,False,100M<=p<500M,>=0.70,0.006-0.01,negative,negative,True,False,True,True,True,True,True,True,True,0.9071321825031058,0.0,1.8193520399038576,0.0022301154184481,0.0302464358644696,False,True,True,negative_transferred_repaid,0.010331169902637,1.8193520399038576,-3089.9881332697114,,False,True,180530237,False,theta_local,negative,0.061589081692324424,16.23664410188187,True,True,True,0.0022301154184481,0.99999390363209
2,24317,24178,24181,3,20.186562246627208,17.186562246627208,20.18656224662845,-1.2470025012589758e-12,0.0972921006486078,-91.70607917993766,-74.5195169333092,-0.0047039706595976,-119.65657780966647,-0.0075236879199148,negative,negative,positive,False,0.1157979799474991,False,0.0,0.1157979799474991,0.7141828013319464,False,p<100M,>=0.70,0.25-0.50,positive,negative,True,True,False,False,False,True,True,True,True,0.8567312053277858,0.0,0.1157979799474991,,0.0301511056,True,False,False,positive_harmless,0.0972921006486078,0.1157979799474991,17.186562246627208,0.1157979799474991,False,False,24181,False,theta_local,positive,0.011150799532227373,89.67966800137155,True,True,True,,
3,30974597,30910184,30974597,64413,63385.05538418682,-1027.9446158131832,63385.05538421124,-2.442538971081376e-08,-0.0136135479206817,-2116.045651886612,-3143.99026767537,-0.0018987453894903,-3143.99026767537,-0.0018987453894903,negative,negative,negative,False,0.6812241515207513,False,0.0,0.6811099413033653,0.7157280208129054,False,p<100M,>=0.70,0.018-0.05,negative,negative,True,False,True,False,False,True,True,True,True,0.8629120832516217,0.0,0.6812241515207513,0.0022416133345536,0.0302653158173859,False,True,True,negative_transferred_repaid,0.0136135479206817,0.6812241515207513,-1027.9446158131832,,False,False,30974597,False,theta_local,negative,0.0456020042802328,21.928860710919942,True,True,True,0.0022416133345536,0.9999699089579048
4,59921,59920,59921,1,11.0007823069704,10.0007823069704,11.000782306968176,2.2239987629291136e-12,0.082639338604307,-180.43455502479628,-170.4337727178281,-0.0057533260944789,-170.4337727178281,-0.0057533260944789,negative,negative,positive,False,0.0921982535693211,False,0.0,0.0921982535693211,0.7129612899730609,False,p<100M,>=0.70,0.25-0.50,positive,negative,True,True,False,False,False,True,True,True,True,0.8518451598922434,0.0,0.0921982535693211,,0.0301511056,True,False,False,positive_harmless,0.082639338604307,0.0921982535693211,10.0007823069704,0.0921982535693211,False,False,59921,False,theta_local,positive,0.004085173196172094,244.78766308782798,True,True,True,,
5,356077,355293,356077,784,779.6845397387327,-4.315460261267276,779.6845397385769,1.5586465451633558e-10,-0.0009432138140128,-361.4440350621008,-365.7594953235239,-0.0037511524150766,-365.7594953235239,-0.0037511524150766,negative,negative,negative,False,0.1566810093663226,False,0.0,0.1566810093663226,0.6808214384796782,False,p<100M,0.65-0.70,0.10-0.25,negative,negative,True,False,True,False,False,True,True,True,True,0.723285753918713,0.0,0.1566810093663226,0.0128661873649445,0.0301511056,False,True,True,negative_transferred_repaid,0.0009432138140128,0.1566810093663226,-4.315460261267276,,False,False,356077,False,theta_local,negative,0.046923032353725275,21.311495652318147,True,True,True,0.0128661873649445,0.982435493512823
6,3448507,3446024,3448507,2483,2197.752760392686,-285.247239607314,2197.7527603944764,-1.790340320440009e-09,-0.0252616020732246,-808.0232159825973,-1093.270455588121,-0.0025980042378904,-1093.270455588121,-0.0025980042378904,negative,negative,negative,False,0.1786966438467436,False,0.0075167682455929,0.1786966438467436,0.6766177166764266,False,p<100M,0.65-0.70,0.10-0.25,negative,negative,True,False,True,False,False,True,True,True,True,0.7064708667057062,0.0,0.1786966438467436,0.0076387824505859,0.0301511056,False,True,True,negative_transferred_repaid,0.0252616020732246,0.1786966438467436,-285.247239607314,,False,False,3448507,False,theta_local,negative,0.026833220770958018,37.26723707659851,True,True,True,0.0076387824505859,0.9932997713476018
7,30774449,30670319,30774449,104130,103201.64698174797,-928.3530182520336,103201.64698192476,-1.7680577002465725e-07,-0.0096769856776032,-2218.059750366956,-3146.412768442184,-0.0019078113651647,-3146.412768442184,-0.0019078113651647,negative,negative,negative,False,0.862526348366495,True,0.0,0.862526348366495,0.6619667915824885,False,p<100M,0.65-0.70,0.01-0.018,negative,negative,True,False,True,True,False,True,True,True,True,0.647867166329954,0.0,0.862526348366495,0.0037875901851982,0.0301511056,False,True,True,negative_transferred_repaid,0.0096769856776032,0.862526348366495,-928.3530182520336,,False,True,30774449,False,theta_local,negative,0.05816915985417842,17.191240212285233,True,True,True,0.0037875901851982,0.9999537690955724
8,3452747,3451296,3452747,1451,1204.3567241421822,-246.6432758578178,1204.3567241407,1.4822489902144294e-09,-0.0285688313843675,-841.3938536751084,-1088.0371295344085,-0.0025835581430731,-1088.0371295344085,-0.0025835581430731,negative,negative,negative,False,0.1383470038914393,False,0.0,0.1383470038914393,0.6601082822765448,False,p<100M,0.65-0.70,0.25-0.50,negative,negative,True,False,True,False,False,True,True,True,True,0.6404331291061793,0.0,0.1383470038914393,0.0076429115920426,0.0301511056,False,True,True,negative_transferred_repaid,0.0285688313843675,0.1383470038914393,-246.6432758578178,,False,False,3452747,False,theta_local,negative,0.020499880428897634,48.78077233027911,True,True,True,0.0076429115920426,0.98863619018058
9,12883477,12871995,12883477,11482,11001.318498200162,-480.68150179983786,11001.31849820912,-8.956703823059797e-09,-0.0167368613063616,-1577.384536653757,-2058.0660384446383,-0.0021392825173867,-2058.0660384446383,-0.0021392825173867,negative,negative,negative,False,0.3212949859833325,False,0.0,0.3212949859833325,0.6598082984438048,False,p<100M,0.65-0.70,0.05-0.10,negative,negative,True,False,True,False,False,True,True,True,True,0.6392331937752194,0.0,0.3212949859833325,0.0039191521021917,0.0301511056,False,True,True,negative_transferred_repaid,0.0167368613063616,0.3212949859833325,-480.68150179983786,,False,False,12883477,False,theta_local,negative,0.029853291940837728,33.49714336300892,True,True,True,0.0039191521021917,0.9997255836925047
10,178298621,178254856,178298621,43765,42006.45197012008,-1758.548029879923,42006.4519701004,1.9674189388751984e-08,-0.0232879166509092,-5526.680751860142,-7285.228781759739,-0.0015115032059114,-7285.228781759739,-0.0015115032059114,negative,negative,negative,False,0.4625799992422776,False,0.009178269885052,0.4625799992422776,0.6419754853013281,False,100M<=p<500M,0.60-0.65,0.05-0.10,negative,negative,True,False,True,False,False,True,True,True,True,0.5679019412053123,0.0,0.4625799992422776,0.0025143310542018,0.0301511056,False,True,True,negative_transferred_repaid,0.0232879166509092,0.4625799992422776,-1758.548029879923,,False,False,178298621,False,theta_local,negative,0.0156671309818421,63.827895557838936,True,True,True,0.0025143310542018,0.9999205771879452
