statement_id,file_name,file_path,line,statement_type,statement_text_or_paraphrase,raw_or_oriented,upper_or_lower,v5_compatible,needs_repair
S0001,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,32,local direct threshold sign statement,2. **EndpointMotion direct threshold sign**,raw_or_unspecified,both_or_unspecified,True,False
S0002,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,46,O2 lower-crossing safety statement,\text{O2-safe}.,raw_or_unspecified,both_or_unspecified,True,False
S0003,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,49,B3 lower-crossing accumulation statement,5. **B3 no-accumulation**,raw_or_unspecified,both_or_unspecified,True,False
S0004,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,51,B3 lower-crossing accumulation statement,\text{accumulation-risk},raw_or_unspecified,both_or_unspecified,True,False
S0005,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,53,B3 lower-crossing accumulation statement,\text{B3-safe}.,raw_or_unspecified,both_or_unspecified,True,False
S0006,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,166,O2 lower-crossing safety statement,### Class N — Negative subthreshold rows,raw_or_unspecified,lower,True,False
S0007,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,180,O2 lower-crossing safety statement,\text{O2-safe}.,raw_or_unspecified,both_or_unspecified,True,False
S0008,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,184,O2 lower-crossing safety statement,Thus negative subthreshold rows are repaid / non-surviving / finite-certified / numerically neutralized.,raw_or_unspecified,lower,True,False
S0009,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,188,B3 lower-crossing accumulation statement,### Class A — Accumulation-risk rows,raw_or_unspecified,both_or_unspecified,True,False
S0010,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,194,B3 lower-crossing accumulation statement,\text{accumulation-risk},raw_or_unspecified,both_or_unspecified,True,False
