file_name,file_path,contains_envelope_definition,contains_first_crossing_definition,contains_covering_localization,contains_threshold_relevance,contains_endpoint_sign_orientation,contains_lower_crossing_handling,contains_finite_zone_coverage,contains_von_koch_bridge,uses_failed_delta_threshold_route,uses_direct_threshold_sign,status,notes
Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Closure_Update_v1.md,False,True,True,False,False,False,False,False,False,False,closure_support,Closure/update support file.
Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,True,True,True,False,True,False,False,False,False,False,conditional,Contains conditional theorem/input structure.
Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,True,True,True,False,True,False,True,False,False,False,candidate,Prioritized file.
Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,False,True,False,True,False,False,True,False,False,False,closure_support,Closure/update support file.
Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Proof_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Proof_Target_v1.md,True,True,True,True,True,False,False,False,False,False,proof_target,"Proof skeleton/target, not completed proof."
Prime_Mesh_R2Q_FullFCL_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FullFCL_Closure_Update_v1.md,False,True,True,False,True,False,True,False,False,False,conditional_support,"FullFCL closure support; empirical/conditional, not final analytic theorem."
Prime_Mesh_R2Q_FullFCL_Formal_Proof_Skeleton_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FullFCL_Formal_Proof_Skeleton_v1.md,True,True,True,True,True,False,False,True,False,False,proof_target,"Proof skeleton/target, not completed proof."
Prime_Mesh_R2Q_FullFCL_Formal_Theorem_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FullFCL_Formal_Theorem_Target_v1.md,True,True,True,True,True,False,True,False,False,False,candidate,Prioritized file.
Prime_Mesh_R2Q_FullFCL_Reclosure_Update_v2.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FullFCL_Reclosure_Update_v2.md,True,True,True,True,True,False,False,False,False,False,conditional_support,"FullFCL closure support; empirical/conditional, not final analytic theorem."
Prime_Mesh_R2Q_FiniteThetaEnvelope_Certificate_Spec_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FiniteThetaEnvelope_Certificate_Spec_v1.md,True,False,True,False,False,False,True,False,False,False,candidate,Prioritized file.
Prime_Mesh_R2Q_FiniteThetaEnvelope_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FiniteThetaEnvelope_Closure_Update_v1.md,True,False,False,False,False,False,True,False,False,False,closure_support,Closure/update support file.
Prime_Mesh_R2Q_GlobalThetaEnvelope_Reclosure_Update_v2.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_GlobalThetaEnvelope_Reclosure_Update_v2.md,True,True,False,True,True,False,True,False,False,False,closure_support,Closure/update support file.
Prime_Mesh_R2Q_Theta_FirstCrossing_Final_Conditional_Assembly_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_Theta_FirstCrossing_Final_Conditional_Assembly_v1.md,True,True,True,False,True,True,True,True,False,False,conditional,Contains conditional theorem/input structure.
Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,False,True,False,False,False,False,True,True,False,True,conditional,Contains conditional theorem/input structure.
Prime_Mesh_R2Q_FirstCrossing_Localization_Theorem_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Localization_Theorem_Target_v1.md,True,True,True,True,False,True,True,True,False,True,target,States the missing theorem target; explicitly not proven.
