row_source,classification,subthreshold_flag,rows
B3NoAccumulation,explicit_non_surviving,False,3
B3NoAccumulation,explicit_non_surviving,True,1466
ChannelCompatibility,explicit_non_surviving,False,3
ChannelCompatibility,explicit_non_surviving,True,1465
ChannelCompatibility,finite_certified,False,1
FCL,explicit_non_surviving,False,3
FCL,explicit_non_surviving,True,1465
FCL_crossings,explicit_non_surviving,False,3
FCL_crossings,explicit_non_surviving,True,1465
FCL_crossings,finite_certified,False,1
FiniteCertificate,explicit_non_surviving,False,4
FiniteCertificate,explicit_non_surviving,True,1324
NegativeTransfer,explicit_non_surviving,False,3
NegativeTransfer,explicit_non_surviving,True,1465
NegativeTransfer,finite_certified,False,1
O2LocalRepayment,explicit_non_surviving,False,3
O2LocalRepayment,explicit_non_surviving,True,1465
