field,value
rows,1468
path_sample_blocks,1468
blocks_missing_path_samples,0
path_reconstruction_ok,True
P0,500000000
post_P0_rows,142
post_P0_C_end_max,8.008560508628985
post_P0_E_end_over_h_max,64.13704142037176
post_P0_C_end_above_10_count,0
post_P0_E_end_over_h_above_100_count,0
pass_endpoint_affine_residual_bound,True
post_P0_C_best_max,5.475430152365041
post_P0_E_best_over_h_max,29.980335353428252
post_P0_C_best_above_10_count,0
pass_best_affine_residual_bound,True
post_P0_C_gap_max,6.627164057761928
post_P0_E_gap_over_h_max,43.91930344849154
post_P0_gap_fraction_of_endpoint_residual_max,201832069.46293873
post_P0_gap_fraction_of_best_residual_max,4.023123089490164
endpoint_best_gap_small_flag,False
pythagorean_error_max,1.6612466424703598e-07
post_P0_pythagorean_error_max,1.7767888493835926e-08
pythagorean_relative_error_max,403664138.92587745
post_P0_pythagorean_relative_error_max,403664138.92587745
pass_projection_decomposition,True
post_P0_endpoint_residual_fraction_max,2.4265633807775942e-05
post_P0_endpoint_residual_fraction_mean,1.4821603402958327e-06
post_P0_best_residual_fraction_max,2.2561048346992835e-05
post_P0_best_residual_fraction_mean,9.55435379845332e-07
post_P0_affine_capture_fraction_min,0.9999757343661922
post_P0_best_affine_capture_fraction_min,0.999977438951653
post_P0_slope_gap_abs_max,1.3264777069141918
post_P0_intercept_gap_abs_max,56.75313280658156
post_P0_endpoint_slope_abs_max,19.89719774428704
post_P0_best_slope_abs_max,19.89719774428596
threshold_relevant_C_end_max,2.289866718210618
forbidden_C_end_max,2.059215174853413
threshold_relevant_C_best_max,1.9376587063063482
forbidden_C_best_max,1.7229575494637117
threshold_relevant_C_gap_max,1.2202328978698709
forbidden_C_gap_max,1.1277341970040335
C_end_vs_C_bridge_error_max,4.547473508864642e-13
E_end_over_h_vs_C_bridge_sq_error_max,4.46931380793103e-12
best_proof_form_recommended,endpoint_affine_residual
affine_projection_residual_failures,0
pass_hexc_affine_projection_residual_empirical,True
recommended_theorem_form,endpoint_affine_residual_bound: p_star >= P0 => ||D_N - ell_endpoint||_2^2 <= 100h
recommended_next_file,Prime_Mesh_R2Q_HExc_EndpointAffineResidual_Theorem_Target_v1.md
