field,value
rows,1468
Q_exc_available_rows,1468
bridge_energy_available_rows,1468
bridge_energy_missing_rows,0
threshold_relevant_bridge_energy_missing_count,0
forbidden_bridge_energy_missing_count,0
Q_exc_max,0.0205672364492246
Q_exc_above_0p025_count,0
Q_energy_L2_max,0.036413013628854025
Q_energy_RMS_max,0.013035983799606202
Q_exc_over_Q_energy_L2_max,1.0000000000000002
Q_exc_over_Q_energy_RMS_max,5.135749976105505
lowest_Cmax_L2_pass,1
lowest_Cmax_RMS_pass,10
bridge_energy_export_failures,0
excursion_grid_mismatch_rows,0
pass_bridge_energy_export,True
recommended_next_file,Prime_Mesh_R2Q_HExc_BridgeEnergy_Theorem_Target_v1.md
