field,value
rows,1468
primitive_full_rows,1468
Q_exc_available_rows,1468
Q_exc_max,0.0205672364492246
Q_exc_above_0p025_count,0
pass_absolute_Q_exc_cap,True
bridge_samples_available_rows,40
bridge_samples_missing_rows,1428
bridge_energy_available_rows,40
bridge_energy_missing_rows,1428
threshold_relevant_bridge_energy_missing_count,0
forbidden_bridge_energy_missing_count,0
Q_energy_rms_min,0.0005591881416907784
Q_energy_rms_max,0.010160864897962174
Q_energy_rms_mean,0.003155585955741569
Q_exc_over_Q_energy_rms_max,5.135749976105505
Q_exc_over_Q_energy_rms_q95,4.356893827137932
lowest_Cmax_energy_pass,10
pass_energy_maximal_candidate,True
V2_row_available_rows,0
V2_global,0.0004263792000474
sqrt_V2_global,0.0206489515483821
Q_exc_max_over_sqrt_V2_global,0.9960426514166575
variance_proxy_mode,partial_row_level_energy_available
bridge_energy_failures,0
pass_hexc_bridge_energy_empirical,True
recommended_theorem_form,absolute_cap_with_partial_energy_samples
recommended_next_file,Prime_Mesh_R2Q_HExc_BridgeEnergy_Export_Patch_Spec_v1.md
