regime_field,regime_value,rows,Q_exc_min,Q_exc_max,Q_exc_mean,Q_exc_median,Q_exc_q95,Q_exc_q99,sqrt_V2_min,sqrt_V2_max,Q_exc_over_sqrt_V2_max,rows_above_0p025,rows_above_0p05,rows_above_0p10,rows_above_1p00
post_P0_flag,False,1326,0.0022301154184481,0.0205672364492246,0.006552651461598277,0.0057804330526708,0.01141997965756893,0.016570091107562593,0.0206489515483821,0.0206489515483821,0.9960426514166575,0,0,0,0
post_P0_flag,True,142,0.0014698183580815,0.0069214615088821,0.004787336074763559,0.0051218934722196,0.0067209361794421845,0.006881972965654624,0.0206489515483821,0.0206489515483821,0.33519675285520323,0,0,0,0
finite_certificate_flag,False,142,0.0014698183580815,0.0069214615088821,0.004787336074763559,0.0051218934722196,0.0067209361794421845,0.006881972965654624,0.0206489515483821,0.0206489515483821,0.33519675285520323,0,0,0,0
finite_certificate_flag,True,1326,0.0022301154184481,0.0205672364492246,0.006552651461598277,0.0057804330526708,0.01141997965756893,0.016570091107562593,0.0206489515483821,0.0206489515483821,0.9960426514166575,0,0,0,0
E_theta_sign,negative,148,0.0014698183580815,0.0128661873649445,0.00589046792386722,0.0054822262011743,0.010153037826778767,0.011742335130853059,0.0206489515483821,0.0206489515483821,0.6230915567213193,0,0,0,0
E_theta_sign,positive,1320,0.0037853230281918,0.0205672364492246,0.0098396639657001,0.00812902557104585,0.01777989469784079,0.020009768098947833,0.0206489515483821,0.0206489515483821,0.9960426514166575,0,0,0,0
near_forbidden_flag,False,1465,0.0016779826148503,0.0205672364492246,0.006389053252473757,0.0057408280408995,0.011373792060351101,0.016252870752116663,0.0206489515483821,0.0206489515483821,0.9960426514166575,0,0,0,0
near_forbidden_flag,True,3,0.0014698183580815,0.0037875901851982,0.002495841320575933,0.0022301154184481,0.00363184270852319,0.003756440689863198,0.0206489515483821,0.0206489515483821,0.18342772398509347,0,0,0,0
C_minus_flag,False,1320,0.0037853230281918,0.0205672364492246,0.0098396639657001,0.00812902557104585,0.01777989469784079,0.020009768098947833,0.0206489515483821,0.0206489515483821,0.9960426514166575,0,0,0,0
C_minus_flag,True,148,0.0014698183580815,0.0128661873649445,0.00589046792386722,0.0054822262011743,0.010153037826778767,0.011742335130853059,0.0206489515483821,0.0206489515483821,0.6230915567213193,0,0,0,0
O2_applicable_flag,True,1468,0.0014698183580815,0.0205672364492246,0.006318694000692473,0.00572256222387605,0.01132508783831245,0.016202783327572565,0.0206489515483821,0.0206489515483821,0.9960426514166575,0,0,0,0
B3_applicable_flag,True,1468,0.0014698183580815,0.0205672364492246,0.006318694000692473,0.00572256222387605,0.01132508783831245,0.016202783327572565,0.0206489515483821,0.0206489515483821,0.9960426514166575,0,0,0,0
Q_exc_source,existing_o2p3,166,0.0014698183580815,0.0205672364492246,0.006318694000692473,0.00572256222387605,0.01132508783831245,0.016202783327572565,0.0206489515483821,0.0206489515483821,0.9960426514166575,0,0,0,0
Q_exc_source,missing,1302,,,,,,,0.0206489515483821,0.0206489515483821,,0,0,0,0
variance_proxy_source,prime_mesh_r2q_hexc_v2_shell_variance_summary.csv,1468,0.0014698183580815,0.0205672364492246,0.006318694000692473,0.00572256222387605,0.01132508783831245,0.016202783327572565,0.0206489515483821,0.0206489515483821,0.9960426514166575,0,0,0,0
