field,value
rows,1468
bridge_energy_available_rows,1468
bridge_energy_missing_rows,0
P0,500000000
log2_P0,401.2056533889212
C_cutoff_0p025_log2P0,10.03014133472303
C_bridge_max,8.580752479596955
C_bridge_mean,0.6824790970435729
C_bridge_q95,4.950687126456709
C_bridge_q99,6.655962344149671
post_P0_pstar_rows,142
post_P0_C_bridge_max,8.008560508629008
post_P0_C_bridge_mean,0.7961657344881142
post_P0_C_bridge_q95,5.430404862780583
post_P0_C_bridge_q99,7.448121120756959
post_P0_C_bridge_above_10_count,0
post_P0_C_bridge_above_C_cutoff_count,0
pass_post_P0_C_bridge_le_10,True
pass_post_P0_exact_cutoff,True
finite_C_bridge_max,8.580752479596955
high_energy_C_bridge_max,8.580752479596955
threshold_relevant_C_bridge_max,2.2898667182106016
forbidden_C_bridge_max,2.059215174853389
C_exc_max,5.132055698999871
post_P0_C_exc_max,5.028186054290014
threshold_relevant_C_exc_max,1.1260251838820972
forbidden_C_exc_max,0.8060387914505441
high_energy_C_exc_max,5.132055698999871
post_P0_Q_energy_L2_max,0.0195894059694182
post_P0_Q_exc_max,0.0122977701368278
threshold_relevant_Q_energy_L2_max,0.0077023825323383
forbidden_Q_energy_L2_max,0.0056973529810874
C_bridge_post_P0_required,8.008560508629008
C_bridge_global_required,8.580752479596955
C_bridge_finite_required,8.580752479596955
corr_C_bridge_log_pstar,0.04160123483405146
corr_C_bridge_h,0.06034714294467742
corr_C_bridge_h_over_x,0.06126547913838233
corr_C_bridge_rho_proxy,0.06126547913838233
corr_C_bridge_Q_delta_D,0.17010760568187772
corr_C_bridge_Q_exc,0.9286308376812582
corr_C_bridge_epsilon,
bridgeconstant_profile_failures,0
pass_hexc_bridgeconstant_profile_empirical,True
recommended_theorem_form,post_P0_bridgeconstant_bound
recommended_next_file,Prime_Mesh_R2Q_HExc_BridgeConstant_Bound_Theorem_Target_v1.md
