rank_metric,rank,candidate_id,block_id,x,y,h,p_star,row_regime,post_P0_by_pstar,threshold_relevant_flag,forbidden_flag,finite_zone_flag,C_bridge,C_bridge_sq,B_abs_max_shape,B_L2_shape,dB_L2,ddB_L2,kappa_L2_shape,effective_support_frac,bridge_energy_fraction_shape,B_sq_over_h_shape,ratio_B_L2_to_ddB_L2,ratio_B_L2_to_h_ddB_L2,effective_support,shape_distance_to_mean
C_bridge,1,hexc_00304,305,30386689,30386676,13,30386821,finite_positive,False,False,False,True,8.580752479596955,73.62931311610929,18.50388997128084,30.93834304725165,27.23238514675868,37.69589667597831,0.5980892364862637,0.23296290892628024,9.861270095805125e-06,,,,,
C_bridge,2,hexc_00453,454,604143557,604142790,767,604143557,post_P0_negative_tail,True,False,False,False,8.008560508629008,64.13704142037213,76.23714683878461,221.79520005948183,104.366584113439,151.2031468593252,0.3437276677689105,0.22875431412538974,8.378008990140035e-06,,,,,
C_bridge,3,hexc_00442,443,604711937,604711166,771,604711937,post_P0_negative_tail,True,False,False,False,7.700000352930436,59.29000543512884,71.15483103322367,213.80503780426838,110.57021068161897,179.0172691831005,0.33280240617325224,0.24401996513866372,7.786089605810623e-06,,,,,
C_bridge,4,hexc_00275,276,108562160,108561847,313,108562291,finite_negative,False,False,False,True,7.5172957888070675,56.50973597641647,55.15381198050545,132.99453883757167,54.741564430646974,70.51546021773471,0.41470734409527654,0.17619866246252047,1.8522158874289514e-05,,,,,
C_bridge,5,hexc_00081,82,12782500,12782006,494,12782599,finite_negative,False,False,False,True,7.438244050688833,55.327474557607815,64.68278396224969,165.32323621154507,76.09237104950473,115.64156847025748,0.3912504100723179,0.18146291696116554,0.00019055396233561667,,,,,
C_bridge,6,hexc_00355,356,33821509,33821502,7,33821677,finite_positive,False,False,False,True,7.389235181064235,54.6007965610774,12.35249588295892,19.550078668065368,22.43003988287357,34.10060372273848,0.6318386791525528,0.31311047425231153,5.26109313700549e-06,,,,,
C_bridge,7,hexc_00242,243,30781189,30781182,7,30781319,finite_positive,False,False,False,True,7.348868426896937,54.00586715584266,12.28521502684498,19.44327827530379,22.306720728797746,33.91222970610241,0.6318489532935017,0.31310029170797443,5.09488765226956e-06,,,,,
C_bridge,8,hexc_00198,199,39635782,39635564,218,39635819,finite_positive,False,False,False,True,7.2093575037210575,51.97483561645912,38.59059490648997,106.44488792040764,55.13398440180799,85.21341737403625,0.36254061289768497,0.21737952048718012,2.945504504656541e-05,,,,,
C_bridge,9,hexc_00026,27,1192781,1192323,458,1192781,finite_negative,False,False,False,True,7.128590769352836,50.81680635690245,50.44514412859007,152.55850455304466,66.785560224804,104.54044043644606,0.33066097676023215,0.26131603928213326,0.0013147173309265244,,,,,
C_bridge,10,hexc_00662,663,604872091,604872087,4,604872131,post_P0_positive_tail,True,False,False,False,7.085660762263412,50.20658843787932,10.056372108580035,14.17132152452685,19.969291636973068,34.54609331319811,0.7096283921845318,0.3971623110366962,2.5942484235859025e-07,,,,,
C_bridge,11,hexc_00273,274,109547591,109546815,776,109547591,finite_negative,False,False,False,True,6.908850056190115,47.73220909891816,65.83835952501795,192.45829226292332,85.53914381022345,127.64777939685595,0.3420915708587609,0.2309476403682308,3.328828369906194e-05,,,,,
C_bridge,12,hexc_00059,60,3290983,3290975,8,3291137,finite_positive,False,False,False,True,6.864752116121557,47.1248216157954,13.100680718981152,19.416451089897027,20.29248519428246,32.992440187992564,0.674720661274595,0.24406722983928716,4.067833780058686e-05,,,,,
C_bridge,13,hexc_00303,304,604870961,604869251,1710,604870961,post_P0_negative_tail,True,False,False,False,6.763592223850025,45.74617977052452,109.04298268701676,279.68905485842146,151.6609813222609,222.59259212122194,0.3898721841017851,0.18274815335533195,1.3293950372010392e-05,,,,,
C_bridge,14,hexc_00673,674,187509559,187509555,4,187509659,finite_positive,False,False,False,True,6.671592040126676,44.51014034988162,9.4707785115379,13.343184080253371,18.798120552059135,32.51755001745618,0.7097839956771443,0.39698819308243194,7.352200833734834e-07,,,,,
C_bridge,15,hexc_00322,323,179438221,179438217,4,179438351,finite_positive,False,False,False,True,6.656036436858118,44.30282104878291,9.448779086688774,13.312072873716268,18.754122346758002,32.44134227149468,0.7097902164691954,0.39698123449067746,7.154629182248775e-07,,,,,
C_bridge,16,hexc_00444,445,179382103,179382099,4,179382319,finite_positive,False,False,False,True,6.655925850726108,44.301348930364064,9.448622690862976,13.311851701452259,18.75380955969922,32.44080050400745,0.7097902607968639,0.3969811849063058,7.589229592880686e-07,,,,,
C_bridge,17,hexc_00525,526,179146273,179146269,4,179146433,finite_positive,False,False,False,True,6.655460745638621,44.29515773673658,9.4479649185605,13.310921491277291,18.752494034409573,32.438521928815334,0.7097904472467811,0.396980976345879,7.705762945638787e-07,,,,,
