rank_metric,rank,candidate_id,block_id,x,y,h,p_star,row_regime,post_P0_by_pstar,threshold_relevant_flag,forbidden_flag,finite_zone_flag,C_bridge,C_bridge_sq,B_abs_max,B_L2_exported,B_sq_over_h,kappa_L2,Q_energy_L2,Q_exc,bridge_energy_fraction
C_bridge,1,hexc_00304,305,30386689,30386676,13,30386821,finite_positive,False,False,False,True,8.580752479596955,73.62931311610929,18.50388997128084,30.93834304725165,73.62931311610959,0.598089236486277,0.0289054037503281,0.0172880108593613,9.861270095805126e-06
C_bridge,2,hexc_00453,454,604143557,604142790,767,604143557,post_P0_negative_tail,True,False,False,False,8.008560508629008,64.13704142037213,76.23714683878461,221.79520005948183,64.13704142037233,0.3437276677689109,0.0195894059694182,0.0067334208268465,8.378008990140035e-06
C_bridge,3,hexc_00442,443,604711937,604711166,771,604711937,post_P0_negative_tail,True,False,False,False,7.700000352930436,59.29000543512884,71.15483103322367,213.80503780426838,59.29000543512922,0.3328024061732507,0.0188328980347233,0.0062676337811714,7.786089605810625e-06
C_bridge,4,hexc_00275,276,108562160,108561847,313,108562291,finite_negative,False,False,False,True,7.5172957888070675,56.50973597641647,55.15381198050545,132.99453883757167,56.50973597641648,0.4147073440952765,0.0219576117786852,0.0091059828634137,1.8522158874289518e-05
C_bridge,5,hexc_00081,82,12782500,12782006,494,12782599,finite_negative,False,False,False,True,7.438244050688833,55.327474557607815,64.68278396224969,165.32323621154507,55.327474557607935,0.3912504100723165,0.0277787667189073,0.0108684538700757,0.00019055396233561665
C_bridge,6,hexc_00355,356,33821509,33821502,7,33821677,finite_positive,False,False,False,True,7.389235181064235,54.600796561077395,12.35249588295892,19.550078668065368,54.600796561077786,0.6318386791525534,0.0245850448951147,0.0155337822934355,5.261093137005489e-06
C_bridge,7,hexc_00242,243,30781189,30781182,7,30781319,finite_positive,False,False,False,True,7.348868426896937,54.00586715584266,12.28521502684498,19.443278275303793,54.0058671558429,0.6318489532935009,0.0247186134594574,0.0156184300412248,5.094887652269561e-06
C_bridge,8,hexc_00198,199,39635782,39635564,218,39635819,finite_positive,False,False,False,True,7.2093575037210575,51.97483561645912,38.59059490648997,106.44488792040764,51.97483561645938,0.3625406128976837,0.0235535603972833,0.0085391222223537,2.9455045046565418e-05
C_bridge,9,hexc_00026,27,1192781,1192323,458,1192781,finite_negative,False,False,False,True,7.128590769352836,50.816806356902454,50.44514412859007,152.55850455304468,50.816806356902504,0.3306609767602319,0.036413013628854,0.0120403626533005,0.0013147173309265247
C_bridge,10,hexc_00662,663,604872091,604872087,4,604872131,post_P0_positive_tail,True,False,False,False,7.085660762263412,50.20658843787932,10.056372108580035,14.171321524526851,50.206588437879496,0.7096283921845326,0.0173298733143556,0.0122977701368278,2.5942484235859025e-07
C_bridge,11,hexc_00273,274,109547591,109546815,776,109547591,finite_negative,False,False,False,True,6.908850056190115,47.732209098918155,65.83835952501795,192.45829226292332,47.73220909891857,0.3420915708587596,0.0201606811377659,0.0068967990800009,3.3288283699061934e-05
C_bridge,12,hexc_00059,60,3290983,3290975,8,3291137,finite_positive,False,False,False,True,6.864752116121557,47.1248216157954,13.100680718981152,19.416451089897027,47.124821615795426,0.674720661274592,0.0304825946938867,0.0205672364492246,4.0678337800586845e-05
C_bridge,13,hexc_00303,304,604870961,604869251,1710,604870961,post_P0_negative_tail,True,False,False,False,6.763592223850025,45.74617977052452,109.04298268701676,279.68905485842146,45.74617977052461,0.3898721841017882,0.0165421719649012,0.0064493327137434,1.3293950372010392e-05
C_bridge,14,hexc_00673,674,187509559,187509555,4,187509659,finite_positive,False,False,False,True,6.671592040126676,44.51014034988162,9.4707785115379,13.343184080253373,44.51014034988175,0.7097839956771446,0.0183852514257526,0.0130495572184996,7.352200833734835e-07
