group_field,group_value,rows,post_P0_rows,K_total_max,K_unreduced_max,K_comp_max,K_prime_max,C_total_max,cancellation_fraction_min,cancellation_fraction_mean,cos_comp_prime_mean,reconstruction_abs_error_max,failure_count
post_P0_flag,False,1326,0,73.62931311611258,73.915350645076,0.010516759050602615,73.9100313047598,8.580752479597146,-0.018416717647828262,0.008431739629692195,0.17236192280173582,1.7241982277482748e-06,0
post_P0_flag,True,142,142,64.13704142037267,64.2506254824152,0.00774483441003735,64.2498859117116,8.008560508629042,-0.016149220199091152,0.0015721075171889387,-0.05566872372374199,8.614188118372113e-08,0
component_proof_source,smallness_driven,1468,142,73.62931311611258,73.915350645076,0.010516759050602615,73.9100313047598,8.580752479597146,-0.018416717647828262,0.007676273538006813,0.1472484154751414,1.7241982277482748e-06,0
row_regime,finite_negative,124,0,56.509735976416216,56.086426457240464,0.003602429261085538,56.083964188648075,7.517295788807051,-0.015214811115220384,-0.0018182970348900166,-0.1522199026610594,1.3544195098802447e-08,0
row_regime,finite_positive,1200,0,73.62931311611258,73.915350645076,0.010516759050602615,73.9100313047598,8.580752479597146,-0.018416717647828262,0.02535674645010898,0.6962741304078058,1.6679990721968352e-12,0
row_regime,forbidden_negative,1,0,4.240367135687519,4.242259041135789,1.7782963260481263e-06,4.242257262839463,2.0592151746933878,0.0004459665074491026,0.0004459665074491026,0.3444045383357914,1.7241982277482748e-06,0
row_regime,post_P0_negative_tail,21,21,64.13704142037267,64.2506254824152,0.001201657664514556,64.2498859117116,8.008560508629042,-0.016149220199091152,-0.0020692304072498224,-0.2185847177161899,8.857568900566548e-09,0
row_regime,post_P0_positive_tail,120,120,50.206588437872796,51.11468689691603,0.00774483441003735,51.10871692039162,7.085660762262952,0.01776590084322749,0.02723823014353292,0.9406649788333014,2.6147972675971687e-12,0
row_regime,threshold_relevant_negative,2,1,5.243489587324893,5.249376977824482,8.880681395813849e-06,5.249368097143086,2.2898667182447308,0.0010418360513709812,0.0010816884299124085,0.4038519645197484,8.614188118372113e-08,0
h_bin_eb,101<=h<=1k,62,4,64.13704142037267,64.2506254824152,0.0078848241965992,64.2498859117116,8.008560508629042,-0.018416717647828262,-0.003363217828924122,-0.20448086678976052,4.689582056016661e-12,0
h_bin_eb,10k<h<=100k,15,3,15.780939239225724,15.78206965172868,8.260287431973756e-05,15.782038821551193,3.9725230319314355,-0.0018263004590293175,0.00025027524452658767,0.029720910654524847,1.3544195098802447e-08,0
h_bin_eb,11<=h<=100,3,0,73.62931311611258,73.915350645076,0.010516759050602615,73.9100313047598,8.580752479597146,0.0019312381846560145,0.0028326499306393638,0.12981738883699032,6.45705711121991e-13,0
h_bin_eb,1k<h<=10k,80,14,45.74617977051351,45.48865936161616,0.0014397397945202968,45.488075748826134,6.76359222384921,-0.008280399945419514,-0.0016840305730912082,-0.18621672810627765,1.787157088983804e-10,0
h_bin_eb,2<=h<=10,64,3,54.60079656107757,55.2109509165674,0.00774483441003735,55.20452323086655,7.3892351810642465,0.008085833030413658,0.032357728477203876,0.9220807501346926,2.6147972675971687e-12,0
h_bin_eb,h<=1,1241,117,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,4.547473508864641e-13,0
h_bin_eb,h>100k,3,1,5.243489587324893,5.249376977824482,8.880681395813849e-06,5.249368097143086,2.2898667182447308,0.0004459665074491026,0.0008697811224246399,0.3840361557917627,1.7241982277482748e-06,0
p_star_bin_eb,100M<=p<500M,530,0,56.509735976416216,56.086426457240464,0.007744834410037341,56.083964188648075,7.517295788807051,-0.007547450353223573,0.00757228338942528,0.20169007040376646,1.7241982277482748e-06,0
p_star_bin_eb,1M<=p<100M,734,0,73.62931311611258,73.915350645076,0.010516759050602615,73.9100313047598,8.580752479597146,-0.018416717647828262,0.007182449620499679,0.12136913274755735,3.22015694109723e-08,0
p_star_bin_eb,500M<=p<1B,142,142,64.13704142037267,64.2506254824152,0.00774483441003735,64.2498859117116,8.008560508629042,-0.016149220199091152,0.0015721075171889387,-0.05566872372374199,8.614188118372113e-08,0
p_star_bin_eb,p<1M,62,0,21.71526304947708,21.64290840098762,0.007744834408118839,21.642305064791316,4.659963846370172,-0.003343111154421541,0.04410906863912728,0.78056738543148,1.0231815394945443e-12,0
E_theta_sign,negative,148,22,64.13704142037267,64.2506254824152,0.003602429261085538,64.2498859117116,8.008560508629042,-0.016149220199091152,-0.0017994143750765838,-0.1507664765853788,1.7241982277482748e-06,0
E_theta_sign,positive,1320,120,73.62931311611258,73.915350645076,0.010516759050602615,73.9100313047598,8.580752479597146,-0.018416717647828262,0.02542819519796052,0.705554795537888,2.6147972675971687e-12,0
