metric,rank,candidate_id,block_id,p_star,h,post_P0_flag,value,K_total,K_unreduced,K_comp,K_prime,cancellation_fraction,cos_comp_prime,component_proof_source
K_total,1,hexc_00304,305,30386821,13,False,73.62931311611258,73.62931311611258,73.915350645076,0.005319340316209004,73.9100313047598,0.003869798715247841,0.22809325389471877,smallness_driven
K_total,2,hexc_00453,454,604143557,767,True,64.13704142037267,64.13704142037267,64.2506254824152,0.0007395707036048801,64.2498859117116,0.0017678281135742324,0.2605321781434479,smallness_driven
K_total,3,hexc_00442,443,604711937,771,True,59.290005435130254,59.290005435130254,59.23653456336192,0.0005016844322055034,59.23603287892971,-0.0009026671151928234,-0.15508827804259612,smallness_driven
K_total,4,hexc_00275,276,108562291,313,False,56.509735976416216,56.509735976416216,56.086426457240464,0.0024622685923902923,56.083964188648075,-0.007547450353223573,-0.5695619585114439,smallness_driven
K_total,5,hexc_00081,82,12782599,494,False,55.32747455760693,55.32747455760693,55.20582670882396,0.0008732789832913145,55.20495342984067,-0.002203532779693429,-0.2770185868688213,smallness_driven
K_total,6,hexc_00355,356,33821677,7,False,54.60079656107757,54.60079656107757,55.2109509165674,0.006427685700847152,55.20452323086655,0.011051328502055036,0.5121475176450129,smallness_driven
K_total,7,hexc_00242,243,30781319,7,False,54.005867155844314,54.005867155844314,54.612706422197725,0.006427685700847117,54.60627873649688,0.011111686384155384,0.5121475174263944,smallness_driven
K_total,8,hexc_00198,199,39635819,218,False,51.974835616458854,51.974835616458854,51.892768643386084,0.0012416694392961,51.891526973946796,-0.0015814722401255032,-0.16165427656288092,smallness_driven
K_total,9,hexc_00026,27,1192781,458,False,50.81680635690199,50.81680635690199,50.66836356405416,0.0009778726842060834,50.66738569136996,-0.0029296938445657617,-0.3334446206391775,smallness_driven
K_total,10,hexc_00662,663,604872131,4,True,50.206588437872796,50.206588437872796,51.11468689691603,0.005969976524403797,51.10871692039162,0.01776590084322749,0.821994936499904,smallness_driven
K_total,11,hexc_00273,274,109547591,776,False,47.73220909892047,47.73220909892047,47.5802242611498,0.0005708622372342151,47.57965339891257,-0.003194285864153823,-0.46109878088405043,smallness_driven
K_total,12,hexc_00059,60,3291137,8,False,47.12482161579665,47.12482161579665,47.50897122456521,0.00564340267342963,47.50332782189178,0.008085833030413658,0.3709692075225468,smallness_driven
K_total,13,hexc_00303,304,604870961,1710,True,45.74617977051351,45.74617977051351,45.48865936161616,0.0005836127900246105,45.488075748826134,-0.0056612002312526055,-0.7902608628450173,smallness_driven
K_total,14,hexc_00673,674,187509659,4,False,44.51014034988161,44.51014034988161,45.36564110689446,0.005969976524403786,45.35967113037005,0.018857900740277045,0.8219949364347363,smallness_driven
K_total,15,hexc_00322,323,179438351,4,False,44.302821048779265,44.302821048779265,45.15634582928329,0.005969976524403786,45.150375852758884,0.018901546722377316,0.8219949364303732,smallness_driven
K_total,16,hexc_00444,445,179382319,4,False,44.30134893036747,44.30134893036747,45.15485966348256,0.005969976524403786,45.14888968695816,0.018901857728623184,0.8219949364303416,smallness_driven
K_total,17,hexc_00525,526,179146433,4,False,44.29515773673329,44.29515773673329,45.148609389093934,0.005969976524403786,45.14263941256953,0.018903165876174355,0.8219949364302077,smallness_driven
K_total,18,hexc_00448,449,178913689,4,False,44.28904182928282,44.28904182928282,45.14243511526891,0.005969976524403786,45.136465138744505,0.018904458383934952,0.8219949364300753,smallness_driven
K_total,19,hexc_00423,424,178907011,4,False,44.288864133261356,44.288864133261356,45.1422557233681,0.005969976524403786,45.1362857468437,0.018904495941371002,0.8219949364300716,smallness_driven
K_total,20,hexc_00459,460,178299217,4,False,44.272851431651866,44.272851431651866,45.12609018720598,0.005969976524403786,45.12012021068158,0.01890788127255094,0.8219949364297247,smallness_driven
