rule,captures_high_energy_count,misses_high_energy_count,false_positive_count,threshold_relevant_false_positive_count,forbidden_false_positive_count,surviving_false_positive_count,recommended_status
p_star <= 3.03868e+07,10,0,401,0,0,0,clean_high_energy_isolator
x <= 3.03867e+07,10,0,401,0,0,0,clean_high_energy_isolator
y <= 3.03867e+07,10,0,401,0,0,0,clean_high_energy_isolator
log_pstar <= 17.2295,10,0,401,0,0,0,clean_high_energy_isolator
h <= 797,10,0,1347,0,0,0,clean_high_energy_isolator
h_over_x >= 4.27819e-07,10,0,297,3,1,0,diagnostic
rho_proxy >= 4.27819e-07,10,0,297,3,1,0,diagnostic
p_star <= 1.27826e+07,9,1,267,0,0,0,diagnostic
x <= 1.27825e+07,9,1,267,0,0,0,diagnostic
y <= 1.2782e+07,9,1,267,0,0,0,diagnostic
log_pstar <= 16.3636,9,1,267,0,0,0,diagnostic
h <= 784,9,1,1346,0,0,0,diagnostic
h_over_x >= 2.43088e-06,9,1,200,3,1,0,diagnostic
rho_proxy >= 2.43088e-06,9,1,200,3,1,0,diagnostic
p_star <= 3.43864e+06,8,2,176,0,0,0,diagnostic
x <= 3.43864e+06,8,2,176,0,0,0,diagnostic
y <= 3.43826e+06,8,2,176,0,0,0,diagnostic
log_pstar <= 15.0506,8,2,176,0,0,0,diagnostic
h <= 494,8,2,1323,0,0,0,diagnostic
h_over_x >= 3.86466e-05,8,2,73,3,1,0,diagnostic
rho_proxy >= 3.86466e-05,8,2,73,3,1,0,diagnostic
p_star <= 3.29114e+06,7,3,169,0,0,0,diagnostic
x <= 3.29098e+06,7,3,169,0,0,0,diagnostic
y <= 3.29098e+06,7,3,169,0,0,0,diagnostic
log_pstar <= 15.0067,7,3,169,0,0,0,diagnostic
h <= 458,7,3,1321,0,0,0,diagnostic
h_over_x >= 9.81572e-05,7,3,44,3,1,0,diagnostic
rho_proxy >= 9.81572e-05,7,3,44,3,1,0,diagnostic
p_star <= 3.29064e+06,6,4,169,0,0,0,diagnostic
x <= 3.29064e+06,6,4,169,0,0,0,diagnostic
y <= 3.29032e+06,6,4,169,0,0,0,diagnostic
log_pstar <= 15.0066,6,4,169,0,0,0,diagnostic
h <= 375,6,4,1315,0,0,0,diagnostic
h_over_x >= 0.000109055,6,4,43,3,1,0,diagnostic
rho_proxy >= 0.000109055,6,4,43,3,1,0,diagnostic
p_star <= 3.27971e+06,5,5,157,0,0,0,diagnostic
x <= 3.27971e+06,5,5,157,0,0,0,diagnostic
y <= 3.27891e+06,5,5,157,0,0,0,diagnostic
log_pstar <= 15.0033,5,5,157,0,0,0,diagnostic
h <= 323,5,5,1310,0,0,0,diagnostic
h_over_x >= 0.000124064,5,5,39,3,1,0,diagnostic
rho_proxy >= 0.000124064,5,5,39,3,1,0,diagnostic
p_star <= 1.19567e+06,4,6,84,0,0,0,diagnostic
x <= 1.19559e+06,4,6,84,0,0,0,diagnostic
y <= 1.19539e+06,4,6,84,0,0,0,diagnostic
log_pstar <= 13.9942,4,6,84,0,0,0,diagnostic
h <= 205,4,6,1306,0,0,0,diagnostic
h_over_x >= 0.000171463,4,6,33,3,1,0,diagnostic
rho_proxy >= 0.000171463,4,6,33,3,1,0,diagnostic
p_star <= 1.19278e+06,3,7,84,0,0,0,diagnostic
x <= 1.19278e+06,3,7,84,0,0,0,diagnostic
y <= 1.19232e+06,3,7,84,0,0,0,diagnostic
log_pstar <= 13.9918,3,7,84,0,0,0,diagnostic
h <= 13,3,7,1303,0,0,0,diagnostic
h_over_x >= 0.000243009,3,7,30,3,1,0,diagnostic
rho_proxy >= 0.000243009,3,7,30,3,1,0,diagnostic
p_star <= 356077,2,8,40,0,0,0,diagnostic
x <= 356077,2,8,40,0,0,0,diagnostic
y <= 355293,2,8,40,0,0,0,diagnostic
log_pstar <= 12.7829,2,8,40,0,0,0,diagnostic
h <= 8,2,8,1303,0,0,0,diagnostic
h_over_x >= 0.000383977,2,8,18,2,1,0,diagnostic
rho_proxy >= 0.000383977,2,8,18,2,1,0,diagnostic
p_star <= 24317,1,9,14,0,0,0,diagnostic
x <= 24181,1,9,14,0,0,0,diagnostic
y <= 24178,1,9,14,0,0,0,diagnostic
log_pstar <= 10.0989,1,9,14,0,0,0,diagnostic
h <= 3,1,9,1282,0,0,0,diagnostic
h_over_x >= 0.00220177,1,9,5,2,1,0,diagnostic
rho_proxy >= 0.00220177,1,9,5,2,1,0,diagnostic
