regime_field,regime_value,rows,K_max,C_cluster_max,S_T_max,C_cluster_times_ST_max,h_min,h_max,u_mean_mean,KS_max,left_mass_frac_max,failures
short_block_flag,False,18,45.48807574882472,0.9187301332075517,2.545922118716189,2.249599066365062,1183,151650,0.2623571169427,0.988486646884273,1.0,0
short_block_flag,True,4,64.24988591171059,1.1026693887221886,2.997147056722025,3.177647827427885,503,771,0.4895554931757292,0.1534956925115971,0.3235294117647059,0
anomalous_flag,False,20,45.48807574882472,0.9187301332075517,2.997147056722025,2.249599066365062,503,151650,0.28810420434781076,0.988486646884273,1.0,0
anomalous_flag,True,2,64.24988591171059,1.1026693887221886,2.8817774937148237,3.177647827427885,767,771,0.45928299535765077,0.1143602160551313,0.3235294117647059,0
near_miss_flag,False,21,59.23603287892927,1.0179619208030777,2.997147056722025,2.929538234302535,503,151650,0.29686658211619055,0.988486646884273,1.0,0
near_miss_flag,True,1,64.24988591171059,1.1026693887221886,2.8817774937148237,3.177647827427885,767,767,0.44645185323151426,0.1143602160551313,0.3142857142857143,0
C_cluster_bin,"(-inf, 0.5]",14,20.08877423302316,0.49216105017780926,2.997147056722025,0.9935414154892547,626,151650,0.235818431372741,0.988486646884273,1.0,0
C_cluster_bin,"(0.5, 0.8]",4,34.36287921812631,0.6796301035393219,2.994842080716496,1.6994137774369575,503,2559,0.44913004753544694,0.38140386869871046,0.4,0
C_cluster_bin,"(0.8, 1.0]",2,45.48807574882472,0.9187301332075517,2.4485961492425017,2.249599066365062,1710,4791,0.3320529287980265,0.6361928616155291,0.625,0
C_cluster_bin,"(1.0, 1.05]",1,59.23603287892927,1.0179619208030777,2.877846581914774,2.929538234302535,771,771,0.4721141374837873,0.10601205462729837,0.3235294117647059,0
C_cluster_bin,"(1.1, 1.12]",1,64.24988591171059,1.1026693887221886,2.8817774937148237,3.177647827427885,767,767,0.44645185323151426,0.1143602160551313,0.3142857142857143,0
h_bin,"(1000.0, 1500.0]",1,11.891139796725978,0.23099438851284929,2.545922118716189,0.5880937230141837,1183,1183,0.4781980839673148,0.08567554240631159,0.22916666666666666,0
h_bin,"(1500.0, 2000.0]",3,45.48807574882472,0.9187301332075517,2.500498092398924,2.249599066365062,1557,1803,0.46405391369234716,0.09357321131447593,0.2916666666666667,0
h_bin,"(2000.0, inf]",14,34.17926461258425,0.8065290886372432,2.3885266366671507,1.6903282796013257,2075,151650,0.20371916285173167,0.988486646884273,1.0,0
h_bin,"(500.0, 800.0]",4,64.24988591171059,1.1026693887221886,2.997147056722025,3.177647827427885,503,771,0.4895554931757292,0.1534956925115971,0.3235294117647059,0
KS_bin,"(-inf, 0.15]",8,64.24988591171059,1.1026693887221886,2.997147056722025,3.177647827427885,626,2075,0.4619928715083522,0.1433734939759036,0.3235294117647059,0
KS_bin,"(0.15, 0.25]",2,33.768732131001784,0.5576631137041452,2.994842080716496,1.670112959784562,503,2150,0.48913686871021933,0.19162790697674414,0.2875,0
KS_bin,"(0.25, 0.35]",2,14.554120329385643,0.31688826145983506,2.2993272220206302,0.7197724792373039,2583,2762,0.33818009814912464,0.3461259956553222,0.4,0
KS_bin,"(0.35, 0.5]",1,23.95246459907918,0.5143441036478273,2.303088303989887,1.1845798893374733,2559,2559,0.3134622899570144,0.38140386869871046,0.4,0
KS_bin,"(0.5, inf]",9,34.17926461258425,0.8065290886372432,2.1358816893424035,1.6903282796013257,4200,151650,0.1129567646587774,0.988486646884273,1.0,0
u_mean_bin,"(-inf, 0.2]",7,20.08877423302316,0.49216105017780926,2.1358816893424035,0.9935414154892547,4200,151650,0.08756281918876814,0.988486646884273,1.0,0
u_mean_bin,"(0.2, 0.25]",2,34.17926461258425,0.8065290886372432,2.125643391593817,1.6903282796013257,4338,4791,0.2018355738038098,0.6361928616155291,0.625,0
u_mean_bin,"(0.25, 0.35]",3,23.95246459907918,0.5143441036478273,2.303088303989887,1.1845798893374733,2559,2762,0.3299408287517546,0.38140386869871046,0.4,0
u_mean_bin,"(0.35, 0.5]",9,64.24988591171059,1.1026693887221886,2.997147056722025,3.177647827427885,626,2150,0.4577456015474759,0.19162790697674414,0.3235294117647059,0
u_mean_bin,"(0.5, inf]",1,33.768732131001784,0.5576631137041452,2.994842080716496,1.670112959784562,503,503,0.5545062955599735,0.1534956925115971,0.16666666666666666,0
