group_field,group_value,rows,E_end_over_h_max,C_end_max,endpoint_residual_fraction_max,affine_capture_fraction_min,E_best_over_h_max,E_gap_over_h_max,ratio_E_end_to_h4_ddR_sq_max,template_count,worst_template_C_end,failures
row_regime,finite_negative,124.0,56.50973597641633,7.517295788807058,0.0013550898740644,0.9986449101259356,29.835499306357605,40.34231991286319,3.7061379126098163e-10,23.0,7.517295788807058,0.0
row_regime,finite_positive,1200.0,73.62931311610959,8.580752479596972,0.0004154153049167,0.9995845846950832,43.78193585251833,30.88330743284049,0.0013717421126794908,23.0,8.580752479596972,0.0
row_regime,forbidden_negative,1.0,4.240367136346573,2.059215174853413,4.980267198828742e-06,0.9999950197328012,2.9685827172539985,1.2717844190923324,-2.8067379228820234e-19,1.0,2.059215174853413,0.0
row_regime,post_P0_negative_tail,21.0,64.13704142037176,8.008560508628985,2.4265633807775945e-05,0.9999757343661922,25.67240826983171,43.91930344849154,6.724578890835872e-11,15.0,8.008560508628985,0.0
row_regime,post_P0_positive_tail,120.0,50.20658843787949,7.085660762263424,2.594248423585902e-07,0.9999997405751576,29.98033535342825,20.226253084497003,0.0013717421124828536,3.0,7.085660762263424,0.0
row_regime,threshold_relevant_negative,2.0,5.243489587168667,2.289866718210618,3.3053588386700646e-05,0.9999669464116132,3.754521262124791,1.488968325043903,7.400689712471193e-20,2.0,2.289866718210618,0.0
post_P0_by_pstar,False,1326.0,73.62931311610959,8.580752479596972,0.0013550898740644,0.9986449101259356,43.78193585251833,40.34231991286319,0.0013717421126794908,34.0,8.580752479596972,0.0
post_P0_by_pstar,True,142.0,64.13704142037176,8.008560508628985,2.4265633807775945e-05,0.9999757343661922,29.98033535342825,43.91930344849154,0.0013717421124828536,19.0,8.008560508628985,0.0
finite_zone_flag,False,142.0,64.13704142037176,8.008560508628985,2.4265633807775945e-05,0.9999757343661922,29.98033535342825,43.91930344849154,0.0013717421124828536,19.0,8.008560508628985,0.0
finite_zone_flag,True,1326.0,73.62931311610959,8.580752479596972,0.0013550898740644,0.9986449101259356,43.78193585251833,40.34231991286319,0.0013717421126794908,34.0,8.580752479596972,0.0
high_energy_flag,False,1458.0,64.13704142037176,8.008560508628985,0.0005320069009106,0.9994679930990894,36.85830399288621,43.91930344849154,0.001371742112484281,36.0,8.008560508628985,0.0
high_energy_flag,True,10.0,73.62931311610959,8.580752479596972,0.0013550898740644,0.9986449101259356,43.78193585251833,40.34231991286319,0.0013717421126794908,8.0,8.580752479596972,0.0
threshold_relevant_flag,False,1465.0,73.62931311610959,8.580752479596972,0.0013550898740644,0.9986449101259356,43.78193585251833,43.91930344849154,0.0013717421126794908,35.0,8.580752479596972,0.0
threshold_relevant_flag,True,3.0,5.243489587168667,2.289866718210618,3.3053588386700646e-05,0.9999669464116132,3.754521262124791,1.488968325043903,7.400689712471193e-20,3.0,2.289866718210618,0.0
forbidden_flag,False,1467.0,73.62931311610959,8.580752479596972,0.0013550898740644,0.9986449101259356,43.78193585251833,43.91930344849154,0.0013717421126794908,36.0,8.580752479596972,0.0
forbidden_flag,True,1.0,4.240367136346573,2.059215174853413,4.980267198828742e-06,0.9999950197328012,2.9685827172539985,1.2717844190923324,-2.8067379228820234e-19,1.0,2.059215174853413,0.0
h_bin_laff,101<=h<=1k,62.0,64.13704142037176,8.008560508628985,0.0013550898740644,0.9986449101259356,28.959926598778548,43.91930344849154,1.5609224569711558e-09,21.0,8.008560508628985,0.0
