field,value
rows,1468
path_sample_blocks,1468
blocks_missing_path_samples,0
path_reconstruction_ok,True
P0,500000000
post_P0_rows,142
product_reconstruction_error_max,7.105427357601002e-15
post_P0_product_reconstruction_error_max,7.105427357601002e-15
pass_product_identity,True
post_P0_K_R_max,64.13704142037176
post_P0_K_R_above_100_count,0
pass_endpoint_residual_budget,True
post_P0_eta_aff_max,2.426563380777594e-05
post_P0_eta_aff_q95,9.480056936638822e-06
post_P0_eta_aff_q99,2.251319445928661e-05
post_P0_eta_aff_above_2p5e_minus_5_count,0
post_P0_eta_aff_above_3e_minus_5_count,0
post_P0_eta_aff_above_5e_minus_5_count,0
post_P0_eta_aff_above_1e_minus_4_count,0
recommended_eta0,nan
pass_eta_aff_cap,False
post_P0_K_D_max,316352183.9207044
post_P0_K_D_q95,309962175.02075917
post_P0_K_D_q99,315264958.53195125
post_P0_K_D_above_2p5e6_count,131
post_P0_K_D_above_3e6_count,129
post_P0_K_D_above_4e6_count,125
post_P0_K_D_above_5e6_count,125
post_P0_K_D_above_1e7_count,121
recommended_K0,nan
pass_K_D_cap,False
recommended_eta0_times_K0,nan
pass_two_part_energy_budget,False
post_P0_eta_times_KD_max,64.13704142037176
post_P0_eta_times_KD_above_100_count,0
pass_direct_product_budget,True
threshold_relevant_eta_aff_max,3.3053588386700646e-05
threshold_relevant_K_D_max,851433.6614998933
threshold_relevant_eta_times_KD_max,5.243489587168667
threshold_relevant_K_R_max,5.243489587168667
forbidden_eta_aff_max,4.980267198828742e-06
forbidden_K_D_max,851433.6614998933
forbidden_eta_times_KD_max,4.240367136346573
forbidden_K_R_max,4.240367136346573
corr_K_R_eta_aff,0.33412503541736466
corr_K_R_K_D,-0.16707588615064659
corr_K_R_Q_exc,0.8802713912442139
corr_K_R_Q_delta_D,0.08591439351916125
corr_K_R_Q_R2Q,0.12369263213148182
corr_eta_aff_log_pstar,-0.14533519652325685
corr_K_D_log_pstar,0.5877995587742729
corr_K_D_h,-0.03756480498742269
corr_K_D_h_over_x,-0.0689334262375489
best_theorem_form_recommended,direct_local_affinity_product
local_affinity_energybudget_failures,0
pass_hexc_local_affinity_energybudget_empirical,True
recommended_next_file,Prime_Mesh_R2Q_HExc_EndpointAffineResidual_Formal_Proof_Draft_v1.md
recommended_theorem_form,direct_local_affinity_product: eta_aff*K_D <= 100
