scope,rows,Q_exc_max,Q_exc_mean,Q_exc_median,Q_exc_q95,Q_exc_q99,pass_Q_exc_le_0p05_frac,pass_Q_exc_le_0p10_frac,pass_Q_exc_le_0p25_frac,exc_over_delta_max,exc_over_delta_mean,exc_over_delta_median,exc_over_delta_q95,endpoint_dominated_2pct_frac,endpoint_line_r2_min,endpoint_line_r2_mean,endpoint_line_r2_median,rms_diff_norm_max,rms_diff_norm_mean,mean_abs_diff_norm_max,zero_crossings_max,zero_crossings_mean,max_abs_residual_slope_max,max_abs_curvature_max,near_linear_endpoint_dominated_frac,small_absolute_excursion_frac,large_excursion_frac,worst_Q_block_id,worst_Q_p_star,worst_Q_y,worst_Q_h,worst_Q_exc,worst_Q_exc_over_delta,worst_ratio_block_id,worst_ratio_p_star,worst_ratio_y,worst_ratio_h,worst_ratio_exc_over_delta,worst_ratio_Q_exc
global,166,0.020567236449224698,0.006318694000692523,0.005722562223876077,0.011325087838312521,0.016202783327572627,1.0,1.0,1.0,0.30202579395003215,0.08092323055139351,0.06853557645488101,0.19247894711175323,0.09036144578313253,0.7291274662139872,0.9727843964131524,0.9904022609674461,0.010160864897962174,0.0023718541027220956,0.00781257598924059,14,5.373493975903615,19.26798014936685,20.104035108564858,0.09036144578313253,0.9096385542168675,0.0,60,3291137,3290975,8,0.020567236449224698,0.30202579395003215,60,3291137,3290975,8,0.30202579395003215,0.020567236449224698
shape:small_absolute_excursion,151,0.020567236449224698,0.006567862964065271,0.005830579629681183,0.011414331021627144,0.016453220450293116,1.0,1.0,1.0,0.30202579395003215,0.08786654926886484,0.07121497750963941,0.19439820942199182,0.0,0.7291274662139872,0.970108533394514,0.9884015979950963,0.010160864897962174,0.002496733408939797,0.00781257598924059,14,5.357615894039735,19.26798014936685,20.104035108564858,0.0,1.0,0.0,60,3291137,3290975,8,0.020567236449224698,0.30202579395003215,60,3291137,3290975,8,0.30202579395003215,0.020567236449224698
finite:p_star<500M,144,0.020567236449224698,0.0065526514615983295,0.005780433052670874,0.011419979657568954,0.016570091107562662,1.0,1.0,1.0,0.30202579395003215,0.08404153488257587,0.06993163256613716,0.19562028466243417,0.0763888888888889,0.7291274662139872,0.9709940952928507,0.9892796841101494,0.010160864897962174,0.0024727641114727613,0.00781257598924059,14,5.416666666666667,18.14246521926907,18.932896377223187,0.0763888888888889,0.9236111111111112,0.0,60,3291137,3290975,8,0.020567236449224698,0.30202579395003215,60,3291137,3290975,8,0.30202579395003215,0.020567236449224698
scale:p<100M,88,0.020567236449224698,0.007143281139410978,0.006436017547347501,0.012813081841862608,0.017714310186043594,1.0,1.0,1.0,0.30202579395003215,0.0926763262883056,0.07308215609687449,0.19889407042719015,0.056818181818181816,0.7291274662139872,0.964245885358496,0.9868342030858532,0.010160864897962174,0.002812936026940531,0.00781257598924059,14,5.590909090909091,16.546477010333547,17.380306116334214,0.056818181818181816,0.9431818181818182,0.0,60,3291137,3290975,8,0.020567236449224698,0.30202579395003215,60,3291137,3290975,8,0.30202579395003215,0.020567236449224698
depth:0.55-0.60,30,0.020567236449224698,0.007333695549329572,0.006768734918301688,0.011590518659975593,0.018094443048406694,1.0,1.0,1.0,0.30202579395003215,0.06074143764696649,0.04757710260439689,0.13626142386023152,0.2,0.7616309614018524,0.9828762548827876,0.9959134889692447,0.010160864897962174,0.002501420418405891,0.00781257598924059,11,5.4,18.048533814601797,18.91651723912082,0.2,0.8,0.0,60,3291137,3290975,8,0.020567236449224698,0.30202579395003215,60,3291137,3290975,8,0.30202579395003215,0.020567236449224698
mu:0.50-1.00,16,0.020567236449224698,0.009867386936430207,0.008822552542883725,0.018107817256827207,0.0200753526107452,1.0,1.0,1.0,0.30202579395003215,0.18699078859226304,0.1923055065735752,0.2847110629905118,0.0,0.7291274662139872,0.8816220931635366,0.9010262804459777,0.010160864897962174,0.004482559656499371,0.00781257598924059,8,3.9375,18.14246521926907,18.83237408521927,0.0,1.0,0.0,60,3291137,3290975,8,0.020567236449224698,0.30202579395003215,60,3291137,3290975,8,0.30202579395003215,0.020567236449224698
h:5<=h<=16,6,0.020567236449224698,0.015116235890883503,0.015576106167330196,0.019747430051758868,0.020403275169731533,1.0,1.0,1.0,0.30202579395003215,0.24191575089242892,0.2442694976604555,0.2962542169635254,0.0,0.7291274662139872,0.8094689905095306,0.7704575167668325,0.010160864897962174,0.007672824694714427,0.00781257598924059,5,2.3333333333333335,13.09718001516012,18.39476418115646,0.0,1.0,0.0,60,3291137,3290975,8,0.020567236449224698,0.30202579395003215,60,3291137,3290975,8,0.30202579395003215,0.020567236449224698
depth:0.50-0.55,126,0.017288010859361377,0.00604707091501745,0.005482226201174334,0.010358777648620154,0.015597268104277525,1.0,1.0,1.0,0.27893948600400503,0.08740067904958718,0.07119400964150063,0.19247894711175323,0.031746031746031744,0.7291274662139872,0.969860622410128,0.9877796337558599,0.008739349599355715,0.002334458573352548,0.006644684089109238,14,5.373015873015873,19.26798014936685,20.104035108564858,0.031746031746031744,0.9682539682539683,0.0,305,30386821,30386676,13,0.017288010859361377,0.27893948600400503,305,30386821,30386676,13,0.27893948600400503,0.017288010859361377
mu:0.25-0.50,67,0.015533782293435537,0.0061134751890719406,0.005646063608330093,0.0108738522490805,0.013228125330946434,1.0,1.0,1.0,0.24425219961769018,0.09630807539438807,0.08007920006997286,0.15531460026532964,0.0,0.7704878643923245,0.9688868654922834,0.9813083667349055,0.008692125980555689,0.002465852095299386,0.006608634551577565,14,5.313432835820896,19.26798014936685,20.104035108564858,0.0,1.0,0.0,356,33821677,33821502,7,0.015533782293435537,0.24425219961769018,356,33821677,33821502,7,0.24425219961769018,0.015533782293435537
h:257<=h<=1024,61,0.012866187364944506,0.0062804266843423905,0.00574082804089952,0.011081566728119278,0.012370692537958111,1.0,1.0,1.0,0.23779336094866635,0.10808217856311429,0.09559164141902222,0.18705087725658615,0.0,0.7506821577643364,0.9594017346691949,0.9715577959660812,0.006154922679182681,0.0026211021412887747,0.004992884930145626,11,5.147540983606557,19.229558739574713,20.10291512343065,0.0,1.0,0.0,5,356077,355293,784,0.012866187364944506,0.09517838355565865,276,108562291,108561847,313,0.23779336094866635,0.009105982863413702
