group_field,group_value,rows,post_P0_rows,K_prime_max,K_prime_mean,lambda_event_count_max,prime_event_count_max,lambda_weight_sum_max,max_lambda_gap_max,sample_count_over_h_max,effective_support_frac_max,target_failure_count
post_P0_flag,False,1326,0,73.9100313047598,3.2615407623116353,35864,35861,681728.5245510356,166.0,2.0,0.4999999991264763,1
post_P0_flag,True,142,142,64.2498859117116,4.157259115351333,7420,7420,150032.93169378873,156.0,2.0,0.49999999975471576,0
E_theta_sign,negative,148,22,64.2498859117116,17.583727387033328,35864,35861,681728.5245510356,166.0,0.10835913312693499,0.378413861079091,0
E_theta_sign,positive,1320,120,73.9100313047598,1.7520774181243828,57,57,857.9096844098192,62.0,2.0,0.49999999975471576,1
threshold_relevant_flag,False,1465,141,73.9100313047598,3.3470933599119155,3676,3675,63393.679276996925,156.0,2.0,0.49999999975471576,1
threshold_relevant_flag,True,3,1,5.249368097143086,3.88069097805379,35864,35861,681728.5245510356,166.0,0.000393738595985787,0.15926267327466226,0
forbidden_flag,False,1467,142,73.9100313047598,3.3475743612421804,7420,7420,150032.93169378873,156.0,2.0,0.49999999975471576,1
forbidden_flag,True,1,0,4.242257262839463,4.242257262839463,35864,35861,681728.5245510356,166.0,5.987236963156588e-05,0.15926267327466226,0
finite_zone_flag,False,142,142,64.2498859117116,4.157259115351333,7420,7420,150032.93169378873,156.0,2.0,0.49999999975471576,0
finite_zone_flag,True,1326,0,73.9100313047598,3.2615407623116353,35864,35861,681728.5245510356,166.0,2.0,0.4999999991264763,1
row_status,primitive_full_verified,146,22,64.2498859117116,17.759589232335276,7420,7420,150032.93169378873,156.0,0.10835913312693499,0.378413861079091,0
row_status,primitive_negative_transfer_verified,2,0,5.249368097143086,4.745812679991275,35864,35861,681728.5245510356,166.0,0.000393738595985787,0.15926267327466226,0
row_status,sign_inconsistent_positive_harmless,1320,120,73.9100313047598,1.7520774181243828,57,57,857.9096844098192,62.0,2.0,0.49999999975471576,1
