candidate_id,block_id,x,y,h,p_star,post_P0_flag,sample_count,sample_count_over_h,L_total,lambda_event_count,prime_event_count,prime_power_event_count,lambda_event_weight_sum,lambda_event_weight_sq_sum,lambda_event_weight_max,first_lambda_event_offset,last_lambda_event_offset,lambda_event_span,max_lambda_gap,mean_lambda_gap,min_lambda_gap,K_prime,E_prime,C_prime,B_prime_abs_max,B_prime_abs_mean,B_prime_abs_q95,B_prime_abs_q99,B_prime_effective_support,B_prime_effective_support_frac,B_prime_peak_offset,B_prime_peak_position_fraction,linear_mass_slope,lambda_density,prime_density,single_shock_bound_K,event_l2_bound_K,total_mass_bound_K,event_count_log_bound_K,single_shock_bound_pass_flag,event_l2_bound_pass_flag,total_mass_bound_pass_flag,event_count_log_bound_pass_flag,K_prime_above_65_flag,K_prime_component,E_prime_component,C_prime_component,B_prime_abs_max_component,K_comp,K_total,post_P0_flag_component,component_proof_source,Q_R2Q,Q_delta_D,Q_exc,E_theta,E_theta_sign,threshold_relevant_flag,forbidden_flag,finite_zone_flag,positive_harmless_flag,negative_transfer_flag,O2_B3_repaid_flag,row_status,K_prime_component_delta
hexc_00000,1,180530237,179845447,684790,180530237,False,41,5.987236963156588e-05,681728.5245510371,35864,35861,3,681728.5245510356,12959053.727783969,19.011408839713177,34,684790,684756,166,19.093661991467528,2,4.242257262839463,2905055.3510198356,2.0596740671376774,667.0037518695754,165.17638219323717,554.3534554045655,661.0138198473811,6.529769604261153,0.15926267327466226,14732,0.021513164619810454,0.9955293222024812,0.05237226010893851,0.05236787920384351,0.021639890052278357,775.8892548652035,27825910.174867935,776.093016834911,True,False,False,False,False,4.242257262839463,2905055.351019836,2.059674067137677,667.0037518695754,1.7782963260481265e-06,4.240367135687519,False,smallness_driven,1.8193520399038576,1.8091175489119344,0.0022301154184481,-3089.9881332697114,negative,True,True,True,False,True,True,primitive_negative_transfer_verified,0.0
hexc_00001,2,24317,24178,3,24317,False,4,1.3333333333333333,20.186562246627208,2,2,0,20.186562246627208,203.74864767189817,10.093322479806597,1,3,2,2,2.0,2,7.546246211083847,22.638738633251542,2.7470431760501777,3.364468397597527,1.6822135205522672,3.364455990649629,3.3644659162079473,1.999950832072416,0.499987708018104,2,0.6666666666666666,6.728854082209069,0.6666666666666666,0.6666666666666666,135.83354490849226,271.6648635625309,543.3297271159398,271.9690848043229,False,False,False,False,False,7.546246211083847,22.638738633251545,2.7470431760501777,3.364468397597527,0.0077448339861158,7.070485412778594,False,smallness_driven,0.1157979799474991,0.1106139903704657,0.0184358992034248,17.186562246627208,positive,False,False,True,True,False,False,sign_inconsistent_positive_harmless,0.0
hexc_00002,3,30974597,30910184,64413,30974597,False,41,0.0006365174731808796,63393.679276996896,3676,3675,1,63393.679276996925,1093316.616665536,17.24867797490251,5,64413,64408,112,17.525986394557822,2,2.1234801731745523,136779.72839469244,1.4572165841681024,169.37992683528864,38.430483409802285,136.39955216264934,160.35837765680083,4.767578527921245,0.11628240312003037,46943,0.7287814571592691,0.9841752329032477,0.05706922515641252,0.05705370033999348,0.18937470024928763,695.9151302266155,2558010.051748323,696.1413981163813,True,False,False,False,False,2.1234801731745523,136779.72839469244,1.4572165841681024,169.37992683528864,1.739859193905105e-05,2.1198781275059635,False,smallness_driven,0.6812241515207513,0.6643586881865706,0.0022416133345536,-1027.9446158131832,negative,False,False,True,False,True,True,primitive_full_verified,0.0
hexc_00003,4,59921,59920,1,59921,False,2,2.0,11.0007823069704,1,1,0,11.0007823069704,121.017211365353,11.0007823069704,1,1,0,1,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,11.0007823069704,1.0,1.0,242.034422730706,242.034422730706,242.034422730706,242.034422730706,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False,smallness_driven,0.0921982535693211,0.0882306914983774,2.348567539256741e-16,10.0007823069704,positive,False,False,True,True,False,False,sign_inconsistent_positive_harmless,0.0
hexc_00004,5,356077,355293,784,356077,False,37,0.047193877551020405,779.6845397387327,61,61,0,779.6845397387325,9965.704637272356,12.782902278581227,4,784,780,54,13.0,2,21.642305064791316,16967.567170796392,4.652129089437579,58.55521070691998,13.336355165845042,47.58074747534666,57.82974511883485,4.94866985098671,0.13374783381045163,648,0.826530612244898,0.9944955864014448,0.0778061224489796,0.0778061224489796,7.711601855304865,470.3202443610678,28689.53484155761,470.4077131735968,True,False,False,False,False,21.64230506479132,16967.567170796392,4.652129089437579,58.55521070691998,0.0006033361963005,21.71526304947708,False,smallness_driven,0.1566810093663226,0.1351797213221275,0.0128661873649445,-4.315460261267276,negative,False,False,True,False,True,True,primitive_full_verified,-3.552713678800501e-15
hexc_00005,6,3448507,3446024,2483,3448507,False,40,0.016109544905356425,2197.752760392686,146,146,0,2197.752760392685,33082.99449780947,15.053451941719482,5,2483,2478,64,17.089655172413792,2,15.607209675756053,38752.70162490228,3.9505961165064765,86.33615572803478,22.66509896415929,63.84834801690454,79.91105497096457,5.198961130584958,0.12997402826462395,1271,0.5118807893677003,0.8851199196104252,0.05879983890455095,0.05879983890455095,3.6505262241104797,532.9519854661212,77810.98986409452,532.9768287201301,True,False,False,False,False,15.607209675756051,38752.70162490228,3.950596116506477,86.33615572803478,0.0002674515482287,15.60307480022236,False,smallness_driven,0.1786966438467436,0.1494490028165924,0.0076387824505859,-285.247239607314,negative,False,False,True,False,True,True,primitive_full_verified,1.7763568394002505e-15
hexc_00006,7,30774449,30670319,104130,30774449,False,41,0.000393738595985787,103201.64698174795,5986,5986,0,103201.6469817475,1779248.2415295793,17.242195325731537,30,104130,104100,118,17.393483709273184,2,5.249368097143086,546616.6999555095,2.2911499508201305,363.4686760886416,74.56840201470003,236.99042710696085,347.9888987382711,4.1376039491770165,0.10091716949212236,14369,0.1379909728224335,0.9910846728296163,0.0574858350139249,0.0574858350139249,0.11705584640043998,700.558704530037,4193544.391909676,700.6962965530337,True,False,False,False,False,5.249368097143086,546616.6999555095,2.2911499508201305,363.4686760886416,8.880681395813849e-06,5.243489587324893,False,smallness_driven,0.862526348366495,0.8528427097579773,0.0037875901851982,-928.3530182520336,negative,True,False,True,False,True,True,primitive_negative_transfer_verified,0.0
hexc_00007,8,3452747,3451296,1451,3452747,False,36,0.024810475534114404,1204.3567241421822,80,80,0,1204.3567241421824,18130.938988465245,15.05468070406716,1,1451,1450,60,18.354430379746834,2,14.945796609214836,21686.350879970727,3.865979385513435,65.70302454859478,16.742385279650854,60.210215619510265,63.82913253384081,5.023608145299814,0.13954467070277263,338,0.23294279807029636,0.8300184177409939,0.05513439007580979,0.05513439007580979,5.623130806099817,449.8372181838379,35986.97745245597,449.85046448798533,True,False,False,False,False,14.945796609214836,21686.350879970727,3.865979385513435,65.70302454859478,0.0003992162175223,15.020940233850691,False,smallness_driven,0.1383470038914393,0.1049756413821095,0.0076429115920426,-246.6432758578178,negative,False,False,True,False,True,True,primitive_full_verified,0.0
hexc_00008,9,12883477,12871995,11482,12883477,False,39,0.0033966207977704234,11001.318498200162,672,672,0,11001.318498200164,180102.6915603797,16.371456195625765,8,11482,11474,78,17.09985096870343,2,3.459859086542252,39726.102031678136,1.860069645616059,112.74808345345537,19.450655383815658,81.00972070054219,103.91714735738911,3.1250546544186606,0.0801296065235554,6730,0.5861348197178192,0.9581360824072602,0.05852638913081345,0.05852638913081345,0.9103778558305553,611.7405478884173,411089.6480800212,611.7739191181332,True,False,False,False,False,3.459859086542252,39726.102031678136,1.860069645616059,112.74808345345537,2.6896361481339305e-05,3.4525577740887865,False,smallness_driven,0.3212949859833325,0.3009444286825112,0.0039191521021917,-480.68150179983786,negative,False,False,True,False,True,True,primitive_full_verified,0.0
hexc_00009,10,178298621,178254856,43765,178298621,False,40,0.0009139723523363418,42006.451970120084,2211,2211,0,42006.451970120135,798074.177811984,18.998970348647543,61,43765,43704,120,19.77556561085973,2,3.6259487032169244,158689.6449962887,1.9041924018378302,189.87943571772757,43.676246739568185,132.6817972722888,180.53416623846766,4.401419100099604,0.1100354775024901,7007,0.16010510682051868,0.9598183930108554,0.05051982177539129,0.05051982177539129,0.329908259393386,729.4177336337109,1612742.6090419376,729.4271615187765,True,False,False,False,False,3.625948703216925,158689.6449962887,1.9041924018378305,189.8794357177276,1.324396227320864e-05,3.625913157274787,False,smallness_driven,0.4625799992422776,0.437251926315424,0.0025143310542018,-1758.548029879923,negative,False,False,True,False,True,True,primitive_full_verified,-4.440892098500626e-16
