group_field,group_value,rows,post_P0_rows,rho_max,W_max,K_max,product_margin_min
post_P0_flag,False,1326,0,0.0703125109678581,12959053.727783969,73.91003130475967,-8.91003130475967
post_P0_flag,True,142,142,0.06250000001022,3033676.629773508,64.24988591171059,0.7501140882894077
rho_bin,0,1241,117,0.0,408.8705537076421,0.0,65.0
rho_bin,1/16..0.063,19,1,0.0625000074574887,817.7394705925482,51.108716920391565,13.891283079608435
rho_bin,1e-2..1/16,50,2,0.0622439704219009,5477.676811261057,73.91003130475967,-8.91003130475967
rho_bin,1e-3..1e-2,55,5,0.0086399723156308,30665.21988657529,64.24988591171059,0.7501140882894077
rho_bin,1e-4..1e-3,78,12,0.0009739145971165,139536.5348948303,39.69518682304148,25.30481317695852
rho_bin,1e-5..1e-4,18,3,9.963427962344316e-05,1150120.8492122318,17.10438326742069,47.89561673257931
rho_bin,1e-8..1e-5,6,2,4.543373039781753e-06,12959053.727783969,5.2493680971415095,59.75063190285849
rho_bin,>0.07,1,0,0.0703125109678581,675.6027791925528,47.50332782189178,17.49667217810822
W_bin,100..400,1120,0,0.0625000074574887,391.8091385758727,24.48546307657668,40.51453692342332
W_bin,100k..1M,20,4,0.0001694418706646,798074.177811984,20.08877423302316,44.91122576697684
W_bin,1040..2k,3,0,0.0622439704219009,1370.6536968086102,73.91003130475967,-8.91003130475967
W_bin,10k..100k,100,15,0.0044902565189875,94555.5440391194,64.24988591171059,0.7501140882894077
W_bin,2k..10k,34,1,0.0121095669309337,9965.704637272356,56.08396418864769,8.916035811352309
W_bin,400..800,166,117,0.0703125109678581,725.7547376795558,47.50332782189178,17.49667217810822
W_bin,800..1040,5,3,0.06250000001022,901.673872602938,55.20452323086658,9.795476769133423
W_bin,<=100,14,0,0.0,93.92937041274996,0.0,65.0
W_bin,>1M,6,2,1.2944315269216204e-05,12959053.727783969,14.8875268699018,50.1124731300982
K_bin,1..5,10,2,0.0004324823320735,12959053.727783969,4.86870616626411,60.13129383373589
K_bin,10..25,106,9,0.0625000074574887,1150120.8492122318,24.48546307657668,40.51453692342332
K_bin,25..50,69,7,0.0703125109678581,89133.22770880035,47.57965339891239,17.42034660108761
K_bin,5..10,32,4,0.0370370370420115,1779248.2415295793,9.659482068373867,55.34051793162613
K_bin,50..65,9,3,0.06250000001022,14308.73395317695,64.24988591171059,0.7501140882894077
K_bin,<=1,1241,117,0.0,408.8705537076421,0.0,65.0
K_bin,>65,1,0,0.0622439704219009,1187.4247546193487,73.91003130475967,-8.91003130475967
threshold_relevant_flag,False,1465,141,0.0703125109678581,1150120.8492122318,73.91003130475967,-8.91003130475967
threshold_relevant_flag,True,3,1,2.950329231534745e-06,12959053.727783969,5.2493680971415095,59.75063190285849
forbidden_flag,False,1467,142,0.0703125109678581,3033676.629773508,73.91003130475967,-8.91003130475967
forbidden_flag,True,1,0,3.2735856737309205e-07,12959053.727783969,4.242257262838288,60.75774273716171
finite_zone_flag,False,142,142,0.06250000001022,3033676.629773508,64.24988591171059,0.7501140882894077
finite_zone_flag,True,1326,0,0.0703125109678581,12959053.727783969,73.91003130475967,-8.91003130475967
row_status,primitive_full_verified,146,22,0.0102386405991222,3033676.629773508,64.24988591171059,0.7501140882894077
row_status,primitive_negative_transfer_verified,2,0,2.950329231534745e-06,12959053.727783969,5.2493680971415095,59.75063190285849
row_status,sign_inconsistent_positive_harmless,1320,120,0.0703125109678581,12912.439063538932,73.91003130475967,-8.91003130475967
