group_field,group_value,rows,post_P0_rows,K_prime_sampled_max,K_prime_full_max,full_to_sampled_energy_ratio_max,sample_count_max,sample_offset_gaps_max,alignment_score_mean,target_failure_count
post_P0_flag,False,1326,0,73.9100313047598,224364.1899425553,inf,41,218316,0.9369367430513817,0
post_P0_flag,True,142,142,64.2498859117116,52989.54013889719,inf,41,43800,0.8869136466733594,0
threshold_relevant_flag,False,1465,141,73.9100313047598,47326.17452119338,inf,41,17470,0.9340014046120465,0
threshold_relevant_flag,True,3,1,5.249368097143086,224364.1899425553,52887.9264131148,41,218316,0.0026004523670816394,0
forbidden_flag,False,1467,142,73.9100313047598,52989.54013889719,inf,41,43800,0.9327329729140871,0
forbidden_flag,True,1,0,4.242257262839463,224364.1899425553,52887.9264131148,41,218316,0.0005878487837910868,0
finite_zone_flag,False,142,142,64.2498859117116,52989.54013889719,inf,41,43800,0.8869136466733594,0
finite_zone_flag,True,1326,0,73.9100313047598,224364.1899425553,inf,41,218316,0.9369367430513817,0
row_status,primitive_full_verified,146,22,64.2498859117116,52989.54013889719,24641.168087593134,41,43800,0.3563160928444671,0
row_status,primitive_negative_transfer_verified,2,0,5.249368097143086,224364.1899425553,52887.9264131148,41,218316,0.0023179358476923006,0
row_status,sign_inconsistent_positive_harmless,1320,120,73.9100313047598,702.2368423026453,inf,37,145,0.997191722489971,0
