rank,rows,coverage,post_P0_rows,post_P0_coverage,pattern
1,1241,0.8453678474114441,117,0.823943661971831,"0,1"
2,42,0.02861035422343324,2,0.014084507042253521,"0,1,2,3"
3,19,0.012942779291553134,1,0.007042253521126761,"0,1,2,3,4"
4,2,0.0013623978201634877,0,0.0,"0,1,2,3,4,5,6,7,8,10,12,14,16,17,20,24,29,32,34,41,49,58,64,69,83,98,117,128,140,167,199,238,284,339,404,482"
5,2,0.0013623978201634877,0,0.0,"0,1,2,3,4,5,6,7"
6,2,0.0013623978201634877,0,0.0,"0,1,2,3,4,5,7,8,10,11,14,16,17,20,24,29,32,35,43,51,62,64,75,90,109,128,132,159,191,231,279,336,405,489,590,712"
7,1,0.0006811989100817438,0,0.0,"0,1,2,3,4,5,7,8,10,15,16,22,32,46,64,68,100,128,147,216,317,465,683,1003,1472,2161,3172,4657,6836,10035,14732,21626,31748,46606,68419,100440,147447,216455,317758,466474,684790"
8,1,0.0006811989100817438,0,0.0,"0,1,2,3,4,5,7,8,9,10,13,16,17,24,32,45,61,64,84,115,128,158,217,297,408,560,768,1054,1446,1984,2723,3736,5126,7034,9651,13243,18171,24933,34212,46943,64413"
9,1,0.0006811989100817438,0,0.0,"0,1,2,3,4,5,6,7,8,10,12,14,16,17,21,25,31,32,37,45,55,64,66,80,97,117,128,141,171,207,250,303,366,443,536,648,784"
10,1,0.0006811989100817438,0,0.0,"0,1,2,3,4,5,6,7,8,9,10,12,15,16,18,23,29,32,36,45,56,64,70,87,109,128,136,170,213,266,333,416,520,650,813,1016,1271,1588,1986,2483"
