field,value
rows,1468
primitive_full_rows,1468
Q_exc_available_rows,1468
V2_available_rows,1468
audit_level,global_V2_only
Q_exc_max,0.0205672364492246
Q_exc_mean,0.001224311884935629
Q_exc_q95,0.009898102196655285
Q_exc_q99,0.014359962721857807
Q_exc_above_0p025_count,0
V2_global,0.0004263792000474
sqrt_V2_global,0.0206489515483821
Q_exc_max_over_sqrt_V2_global,0.9960426514166575
Q_exc_over_sqrt_V2_max,0.9960426514166575
Q_exc_over_sqrt_V2_mean,0.05929172152237227
Q_exc_over_sqrt_V2_q95,0.47935132074203674
Q_exc_over_sqrt_V2_q99,0.6954330193574864
threshold_relevant_rows,3
threshold_relevant_Q_exc_max,0.0037875901851982
threshold_relevant_sqrt_V2_min,0.0206489515483821
threshold_relevant_ratio_max,0.18342772398509347
threshold_relevant_Q_exc_above_0p025_count,0
forbidden_rows,1
forbidden_Q_exc_max,0.0022301154184481
forbidden_ratio_max,0.10800138753886686
forbidden_Q_exc_above_0p025_count,0
missing_Q_exc_rows,0
missing_V2_rows,0
missing_Q_exc_threshold_relevant_rows,0
missing_V2_threshold_relevant_rows,0
missing_V2_forbidden_rows,0
invalid_V2_rows,0
C_V_observed,0.9960426514166575
C_V_theorem_recommended,1.05
hexc_variance_proxy_failures,0
pass_absolute_Q_exc_cap,True
pass_variance_proxy_explanation,True
variance_explanation_status,global_proxy_supported_not_row_level
recommended_theorem_form,absolute_cap_with_global_variance_proxy
recommended_next_file,Prime_Mesh_R2Q_HExc_GlobalVarianceProxy_Closure_Update_v1.md
pass_hexc_variance_proxy_empirical,True
