candidate_id,block_id,x,y,h,right_endpoint,p_star,source,E_theta,E_theta_normalized,E_theta_sign,Q_R2Q,Q_threshold_0p75_flag,Q_threshold_1p00_flag,near_forbidden_flag,forbidden_flag,positive_harmless_flag,negative_transfer_flag,channel_full,channel_inferred,theta_negative_and_near_forbidden_flag,theta_positive_and_near_forbidden_flag,theta_zero_and_near_forbidden_flag,theta_unknown_and_near_forbidden_flag,theta_negative_and_forbidden_flag,theta_positive_and_forbidden_flag,theta_zero_and_forbidden_flag,theta_unknown_and_forbidden_flag,schur_projection_proxy,schur_projection_sign,spf_class,scale_ratio,post_P0_flag,tail_flag,finite_certificate_flag,valid_scale_flag,coordinate_available_flag,finite_certificate_coordinate_excluded_flag,threshold_negative_transfer_pass_flag,failure_type,status
cand_00000,1.0,180530237,179845447.0,684790.0,180530237.0,180530237.0,theta,-3089.9881332697114,-0.010331169902637048,negative,1.8193520399038576,True,True,True,True,False,True,negative_transferred_repaid,negative_transfer,True,False,False,False,True,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00001,2.0,24181,24178.0,3.0,24181.0,24317.0,theta,17.186562246627208,0.09729210064860783,positive,0.1157979799474991,False,False,False,False,True,False,positive_harmless,positive_harmless,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00002,3.0,30974597,30910184.0,64413.0,30974597.0,30974597.0,theta,-1027.9446158131832,-0.013613547920681797,negative,0.6812241515207513,False,False,False,False,False,True,negative_transferred_repaid,neutral,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00003,4.0,59921,59920.0,1.0,59921.0,59921.0,theta,10.0007823069704,0.08263933860430703,positive,0.0921982535693211,False,False,False,False,True,False,positive_harmless,positive_harmless,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00004,5.0,356077,355293.0,784.0,356077.0,356077.0,theta,-4.315460261267276,-0.0009432138140128665,negative,0.1566810093663226,False,False,False,False,False,True,negative_transferred_repaid,neutral,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00005,6.0,3448507,3446024.0,2483.0,3448507.0,3448507.0,theta,-285.247239607314,-0.025261602073224653,negative,0.1786966438467436,False,False,False,False,False,True,negative_transferred_repaid,neutral,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00006,7.0,30774449,30670319.0,104130.0,30774449.0,30774449.0,theta,-928.3530182520336,-0.009676985677603223,negative,0.862526348366495,True,False,True,False,False,True,negative_transferred_repaid,negative_transfer,True,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00007,8.0,3452747,3451296.0,1451.0,3452747.0,3452747.0,theta,-246.6432758578178,-0.028568831384367565,negative,0.1383470038914393,False,False,False,False,False,True,negative_transferred_repaid,neutral,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00008,9.0,12883477,12871995.0,11482.0,12883477.0,12883477.0,theta,-480.68150179983786,-0.016736861306361622,negative,0.3212949859833325,False,False,False,False,False,True,negative_transferred_repaid,neutral,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00009,10.0,178298621,178254856.0,43765.0,178298621.0,178298621.0,theta,-1758.548029879923,-0.023287916650909273,negative,0.4625799992422776,False,False,False,False,False,True,negative_transferred_repaid,neutral,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
