candidate_id,block_id,x,y,h,p_star,Q_R2Q,Q_delta_D,Q_exc,epsilon,E_theta,abs_E_theta,row_regime,post_P0_flag,finite_zone_flag,finite_certified_flag,threshold_relevant_flag,forbidden_flag,O2_safe_flag,repaid_flag,B3_safe_flag,non_surviving_flag,surviving_unrepaid_flag,harmless_flag,positive_flag,negative_flag,E_theta_sign,threshold_flag,Q_R2Q_bin,B3_failure,B3_accumulation_risk_flag,B3_surviving_unrepaid_flag,B3_non_surviving_flag,B3_repaid_flag_from_b3,B3_pass,covered_flag
hexc_00359,360,33488180,33487676,504,33488281,0.0702213435707402,0.0592280253357018,0.0045249017385928,0.0064684164964455,-1.5258205110753806,1.5258205110753806,primitive_full_verified,False,True,True,False,False,True,True,True,True,False,True,False,True,negative,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00278,279,40863643,40862800,843,40863643,0.0829200752976066,0.0749037015573616,0.0054947698464153,0.0025216038938296,-1.7644553033559305,1.7644553033559305,primitive_full_verified,False,True,True,False,False,True,True,True,True,False,True,False,True,negative,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00193,194,33878263,33877658,605,33878389,0.0805833243274027,0.0652409739893801,0.0037853230281918,0.0115570273098307,1.8396280710575184,1.8396280710575184,sign_inconsistent_positive_harmless,False,True,True,False,False,True,True,True,True,False,True,True,False,positive,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00116,117,17992177,17991472,705,17992327,0.0927710098591296,0.0751177449862599,0.0043468868821478,0.0133063779907217,-3.3720180676377822,3.3720180676377822,primitive_full_verified,False,True,True,False,False,True,True,True,True,False,True,False,True,negative,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00033,34,127,126,1,127,0.2157084836048593,0.1926535586334653,0.0,0.0230549249713939,3.844187086458591,3.844187086458591,sign_inconsistent_positive_harmless,False,True,True,False,False,True,True,True,True,False,True,True,False,positive,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00004,5,356077,355293,784,356077,0.1566810093663226,0.1351797213221275,0.0128661873649445,0.0086351006792505,-4.315460261267276,4.315460261267276,primitive_full_verified,False,True,True,False,False,True,True,True,True,False,True,False,True,negative,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00010,11,211,210,1,211,0.1912764152417241,0.1755617761599286,0.0,0.0157146390817954,4.351858133476067,4.351858133476067,sign_inconsistent_positive_harmless,False,True,True,False,False,True,True,True,True,False,True,True,False,positive,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00058,59,293,292,1,293,0.1707575979731007,0.1660290921582204,5.505631574898212e-17,0.0047285058148801,4.680172609017068,4.680172609017068,sign_inconsistent_positive_harmless,False,True,True,False,False,True,True,True,True,False,True,True,False,positive,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00105,106,479,478,1,479,0.1648068982246287,0.1535407636762682,4.663591625904842e-17,0.0112661345483603,5.171700597410915,5.171700597410915,sign_inconsistent_positive_harmless,False,True,True,False,False,True,True,True,True,False,True,True,False,positive,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00134,135,12831227,12830878,349,12831293,0.0716348006649615,0.054340305264288,0.0030501315616617,0.0142443638390116,-5.285039920639065,5.285039920639065,primitive_full_verified,False,True,True,False,False,True,True,True,True,False,True,False,True,negative,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00201,202,673,672,1,673,0.1551610461475472,0.1459429870062299,0.0,0.0092180591413172,5.511745329644728,5.511745329644728,sign_inconsistent_positive_harmless,False,True,True,False,False,True,True,True,True,False,True,True,False,positive,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00036,37,1657,1656,1,1657,0.1389495863976313,0.129017905192041,6.465466393439502e-17,0.0099316812055901,6.412764017426562,6.412764017426562,sign_inconsistent_positive_harmless,False,True,True,False,False,True,True,True,True,False,True,True,False,positive,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00136,137,2819,2818,1,2819,0.1252023670442801,0.1207553395984347,1.125891913241079e-16,0.0044470274458452,6.944137491114112,6.944137491114112,sign_inconsistent_positive_harmless,False,True,True,False,False,True,True,True,True,False,True,True,False,positive,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00075,76,2879,2878,1,2879,0.1282261417306278,0.1204495617554677,1.1199458377620308e-16,0.0077765799751599,6.965198290612176,6.965198290612176,sign_inconsistent_positive_harmless,False,True,True,False,False,True,True,True,True,False,True,True,False,positive,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_01135,1136,5897,5896,1,5897,0.1166604661931528,0.1108886263423026,0.0,0.0057718398508502,7.682199026000504,7.682199026000504,sign_inconsistent_positive_harmless,False,True,True,False,False,True,True,True,True,False,True,True,False,positive,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00099,100,6421,6420,1,6421,0.1159896775054861,0.1098531528794008,0.0,0.0061365246260852,7.767329147794049,7.767329147794049,sign_inconsistent_positive_harmless,False,True,True,False,False,True,True,True,True,False,True,True,False,positive,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00084,85,10357,10356,1,10357,0.1086725867349362,0.1043788308928695,0.0,0.0042937558420666,8.24541789858888,8.24541789858888,sign_inconsistent_positive_harmless,False,True,True,False,False,True,True,True,True,False,True,True,False,positive,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00085,86,15859,15858,1,15859,0.1069835705399953,0.0999397652056914,0.0,0.0070438053343038,8.6714924414986,8.6714924414986,sign_inconsistent_positive_harmless,False,True,True,False,False,True,True,True,True,False,True,True,False,positive,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00375,376,15937,15936,1,15937,0.1034376505744083,0.0998908439790589,1.5177236024125767e-16,0.0035468065953491,8.676398728859631,8.676398728859631,sign_inconsistent_positive_harmless,False,True,True,False,False,True,True,True,True,False,True,True,False,positive,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00677,678,16183,16182,1,16183,0.1069747307954135,0.0997384149531701,0.0,0.0072363158422433,8.691716587516886,8.691716587516886,sign_inconsistent_positive_harmless,False,True,True,False,False,True,True,True,True,False,True,True,False,positive,False,"(-inf, 0.305]",False,False,False,True,True,True,True
