gap_id,gap_start,gap_end,gap_length,left_candidate_id,right_candidate_id,global_error_process,envelope_type,envelope_constant,envelope_constant_status,R_upper_max_bound,R_upper_max_location,R_upper_max_label,R_lower_min_bound,R_lower_min_location,R_lower_min_label,theta_error_at_Rmax,theta_error_at_Rmin,upper_margin_to_1,lower_margin_to_minus1,prime_jump_count,prime_power_jump_count,jump_inventory_available,sampled_only,continuous_bound_available,upper_exit_possible,lower_exit_possible,margin_safe,margin_class,needed_data,eval_point_count
gap_000,604141169,604141326,157,1049,1417,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.0006838911149310841,604141277.0,prime_after_jump,-0.0006876846048865615,604141229.0,prime_left_limit,-13217.520960688591,-13290.83687222004,1.0006838911149312,0.9993123153951134,7,,True,False,True,False,False,True,margin_safe,,16
gap_001,604141327,604141552,225,1417,1448,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.0006839731018980099,604141501.0,prime_after_jump,-0.0006879735533795289,604141457.0,prime_left_limit,-13219.108453154564,-13296.42436683178,1.000683973101898,0.9993120264466204,11,,True,False,True,False,False,True,margin_safe,,24
gap_002,604141553,604141756,203,1448,1319,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.0006836525255968357,604141697.0,prime_after_jump,-0.0006874346526999905,604141669.0,prime_left_limit,-13212.915260910988,-13286.011857390404,1.0006836525255969,0.9993125653473001,10,,True,False,True,False,False,True,margin_safe,,22
gap_003,604141757,604142790,1033,1319,454,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.0006754962552397177,604142611.0,prime_after_jump,-0.0006869525594372195,604141781.0,prime_left_limit,-13055.291295647621,-13276.695941448212,1.0006754962552398,0.9993130474405628,56,,True,False,True,False,False,True,margin_safe,,114
gap_004,604143557,604143750,193,454,930,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.0006820103359542448,604143667.0,prime_after_jump,-0.0006857344219083944,604143557.0,prime_left_limit,-13181.202493071556,-13253.176395535469,1.0006820103359542,0.9993142655780916,10,,True,False,True,False,False,True,margin_safe,,22
gap_005,604143751,604143796,45,930,1411,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.0006838389076086297,604143763.0,prime_after_jump,-0.0006855463423694873,604143796.0,gap_end,-13216.544525027275,-13249.544525027275,1.0006838389076087,0.9993144536576305,2,,True,False,True,False,False,True,margin_safe,,6
gap_006,604143797,604150566,6769,1411,1284,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.0006835510343513383,604150531.0,prime_after_jump,-0.0007011438025177189,604145897.0,prime_left_limit,-13211.069440722466,-13551.02464234829,1.0006835510343512,0.9992988561974823,335,,True,False,True,False,False,True,margin_safe,,672
gap_007,604150567,604150626,59,1284,1431,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.0006839422310196611,604150579.0,prime_after_jump,-0.0006863740155727255,604150626.0,gap_end,-13218.630772709846,-13265.630772709846,1.0006839422310196,0.9993136259844273,2,,True,False,True,False,False,True,margin_safe,,6
gap_008,604150627,604150726,99,1431,1387,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.0006837705783519629,604150697.0,prime_after_jump,-0.0006865986296521608,604150691.0,prime_left_limit,-13215.314767599106,-13269.97277033329,1.000683770578352,0.9993134013703479,6,,True,False,True,False,False,True,margin_safe,,14
gap_009,604150727,604150786,59,1387,1277,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.0006835295317459109,604150753.0,prime_after_jump,-0.0006855183793541891,604150751.0,prime_left_limit,-13210.656764745712,-13249.095433354378,1.000683529531746,0.9993144816206458,3,,True,False,True,False,False,True,margin_safe,,8
