scope,rows,a_schur,a_schur_signs,pass_schur_signs,schur_margin_min,schur_margin_normalized,Q_diag_classification,Q_diag_counted_in_O2,G_CC_rank1_fraction,G_CC_delta_full
h:h<=4,1302,"[0.21505608036104568, -0.007890512081202838, -0.9322449534241836, 0.0]",+--0,False,0.0,0.0,unclassified,True,0.8838567806633213,0.8702741198005833
mu:>=1.00,597,"[1.4760559588686898e-12, -2.6191379911262707e-13, 0.0, 0.0]",+000,False,0.0,0.0,unclassified,True,0.9694223200199661,0.9684578337546383
shell_pattern:10100,30,"[1.8820577420749357e-14, 1.8820590973276513e-14, 0.0, 0.0]",0000,False,0.0,0.0,unclassified,True,1.0,1.0
shell_pattern:11110,19,"[-6.650712278263252e-10, -6.650717625548367e-10, 5.986228950747094e-09, 0.0]",--+0,False,0.0,0.0,unclassified,True,1.0000000000000002,1.0
shell_pattern:11100,12,"[1.647945424565478e-08, 1.6479461351082136e-08, 0.0, 0.0]",++00,False,0.0,0.0,unclassified,True,1.0,1.0
h:257<=h<=1024,61,"[0.6859595726077288, -0.4529599821158552, 0.28896970252994536, 0.010168691394286888]",+-++,False,0.010168691394286888,0.01166950941146052,unclassified,True,0.999807917352547,0.9998323605576868
tail:p_star<500M,1326,"[0.3855588559366179, -0.18938541267561826, -0.055298160288600906, 0.01490661689219297]",+--+,False,0.01490661689219297,0.03439761540411805,unclassified,True,0.9999997693567507,0.9999998712467577
h:1025<=h<=8192,75,"[1.681692873347174, -3.7610204876920577, 0.18445747295147163, 2.857647423471361]",+-++,False,0.18445747295147163,0.036764114824308296,unclassified,True,0.9999731635064947,0.9999743954864553
tail:p_star>=500M,142,"[0.7693794820081126, 0.033243527057342126, 0.036117001528134574, -0.4300257130478564]",+++-,False,0.033243527057342126,0.03765835223853642,unclassified,True,0.9999996126069433,0.9999997740788573
scale:p>=500M,142,"[0.7693794820081126, 0.033243527057342126, 0.036117001528134574, -0.4300257130478564]",+++-,False,0.033243527057342126,0.03765835223853642,unclassified,True,0.9999996126069433,0.9999997740788573
mu:0.05-0.10,14,"[-2.156035887521057, -20.570217369998772, 1.308163615004446, 21.214114548483906]",--++,False,1.308163615004446,0.0441099101943752,unclassified,True,0.9999950990111702,0.9999951149735186
mu:0.25-0.50,196,"[0.33133330312041576, -0.2289486803274925, 0.11835742824007878, 0.02291793982869028]",+-++,False,0.02291793982869028,0.05451509690823836,unclassified,True,0.999812243986757,0.9999055251132348
mu:0.10-0.25,74,"[0.30622464729699317, -2.764253655428405, 0.22680638720293267, 2.536978897290687]",+-++,False,0.22680638720293267,0.06014037980334735,unclassified,True,0.9999793993053101,0.9999813172748151
depth:0.65-0.70,5,"[0.8845744218968292, -2.589817154876922, 0.27025643249137055, 2.0577109250299017]",+-++,False,0.27025643249137055,0.07868523374752534,unclassified,True,0.9999999570745159,0.9999999620634814
