regime_field,regime_value,rows,Q_R2Q_max,E_theta_max,O2_balance_min,repaid_count,unrepaid_count,surviving_unrepaid_count,finite_certified_count,failures
post_P0_by_pstar,False,1326,1.8193520399038576,88.76041429147188,9.404501539370114e-05,1326,0,0,1326,0
post_P0_by_pstar,True,142,0.7568596623500748,37.441031337481846,9.404501539370114e-05,142,0,0,0,0
finite_certified_flag,False,142,0.7568596623500748,37.441031337481846,9.404501539370114e-05,142,0,0,0,0
finite_certified_flag,True,1326,1.8193520399038576,88.76041429147188,9.404501539370114e-05,1326,0,0,1326,0
row_regime,primitive_full_verified,146,0.7568596623500748,-1.5258205110753806,9.404501539370114e-05,146,0,0,124,0
row_regime,primitive_negative_transfer_verified,2,1.8193520399038576,-928.3530182520336,9.404501539370114e-05,2,0,0,2,0
row_regime,sign_inconsistent_positive_harmless,1320,0.2157084836048593,88.76041429147188,9.404501539370114e-05,1320,0,0,1200,0
E_theta_sign,negative,148,1.8193520399038576,-1.5258205110753806,9.404501539370114e-05,148,0,0,126,0
E_theta_sign,positive,1320,0.2157084836048593,88.76041429147188,9.404501539370114e-05,1320,0,0,1200,0
Q_R2Q_bin,"(-inf, 0.305]",1457,0.2914811871626422,88.76041429147188,9.404501539370114e-05,1457,0,0,1317,0
Q_R2Q_bin,"(0.305, 0.75]",8,0.6812241515207513,-291.8733586694325,9.404501539370114e-05,8,0,0,7,0
Q_R2Q_bin,"(0.75, 1.0]",2,0.862526348366495,-928.3530182520336,9.404501539370114e-05,2,0,0,1,0
Q_R2Q_bin,"(1.0, inf]",1,1.8193520399038576,-3089.9881332697114,9.404501539370114e-05,1,0,0,1,0
threshold_relevant_flag,False,1465,0.6812241515207513,88.76041429147188,9.404501539370114e-05,1465,0,0,1324,0
threshold_relevant_flag,True,3,1.8193520399038576,-928.3530182520336,9.404501539370114e-05,3,0,0,2,0
forbidden_flag,False,1467,0.862526348366495,88.76041429147188,9.404501539370114e-05,1467,0,0,1325,0
forbidden_flag,True,1,1.8193520399038576,-3089.9881332697114,9.404501539370114e-05,1,0,0,1,0
repaid_flag,True,1468,1.8193520399038576,88.76041429147188,9.404501539370114e-05,1468,0,0,1326,0
surviving_flag,False,1468,1.8193520399038576,88.76041429147188,9.404501539370114e-05,1468,0,0,1326,0
