scope,rows,neg_rows,neg_frac,mean_post_z,std_post_z,min_post_z,max_post_z,neg_max,q05_post_z,q95_post_z,median_h,median_recovery_position,median_cp_ratio,median_R_eff_over_P,median_response_over_obstruction,median_Qpp_over_denom
global,1468,136,0.09264305177111716,0.03502034658669661,0.05036600955827812,-0.03946320129494251,0.9748126741428922,0.03946320129494251,-0.013817173144016438,0.07188781299045728,1.0,0.9782608695652174,0.0581039132956228,-0.0739093900825378,1.5103606082750591,0.0
long_window_proxy:False,1447,125,0.08638562543192813,0.03546704499695639,0.050486960593224925,-0.03946320129494251,0.9748126741428922,0.03946320129494251,-0.013258237530299668,0.07189595528095574,1.0,0.9782608695652174,0.0580349191062369,-0.0739098061652417,1.5128585752973622,0.0
depth:0.50-0.55,1408,123,0.08735795454545454,0.03412627806127899,0.04538513819827877,-0.03946320129494251,0.9748126741428922,0.03946320129494251,-0.013817173144016438,0.07114574136737356,1.0,0.9791666666666666,0.057929659644989195,-0.0739097962292914,1.5139047686853837,0.0
tail:False,1326,113,0.08521870286576169,0.0374077110197125,0.052222122279399326,-0.03946320129494251,0.9748126741428922,0.03946320129494251,-0.012090833706179756,0.07794181380919152,1.0,0.9772727272727273,0.0583790447825797,-0.07843886773538655,1.570266978349124,0.0
scale:p<100M,796,59,0.07412060301507538,0.04777309773130135,0.0643362090594949,-0.03946320129494251,0.9748126741428922,0.03946320129494251,-0.008173193763130557,0.09341741501240182,1.0,0.9761904761904762,0.06089484062911535,-0.0799148156288781,1.6125732521451246,0.0
decade:1e7-1e8,536,47,0.08768656716417911,0.03139979726333285,0.017015629474174215,-0.03946320129494251,0.09741016508126629,0.03946320129494251,-0.013035270986963325,0.04275206884262411,1.0,0.9782608695652174,0.0587895057187515,-0.07943842062045886,1.5971560495782087,0.0
late_recovery_proxy:False,203,119,0.5862068965517241,0.003321923419510221,0.02813670929707493,-0.03946320129494251,0.1179932858221446,0.03946320129494251,-0.022645070508487786,0.07155401283786283,961.0,0.061946902654867256,0.0869939928500895,0.1422612650714431,0.9671664559583909,0.0
mu:0.25-0.50,196,53,0.27040816326530615,0.0256200318303841,0.05691341354913055,-0.03946320129494251,0.6951187300366968,0.03946320129494251,-0.01786183476475279,0.07360261177075088,1.0,0.95,0.06272715621178229,-0.07178471836923905,1.4770895370945318,0.0
delayed_risk_proxy:False,182,108,0.5934065934065934,0.003215910854317881,0.028250590983662314,-0.03946320129494251,0.1179932858221446,0.03946320129494251,-0.0224613450033743,0.07155977798202413,796.0,0.07036152253543558,0.0823219065298691,0.14254976755880144,0.9419598477143816,0.0
LongA:True,166,99,0.5963855421686747,-0.0006614780943134137,0.021036015411020313,-0.03946320129494251,0.08969171900200533,0.03946320129494251,-0.022874347860466764,0.038285827285343535,1253.5,0.04697195748344764,0.094828646387256,0.1456928436236408,0.9668526473303916,0.0
shell_pattern:11111,166,99,0.5963855421686747,-0.0006614780943134137,0.021036015411020313,-0.03946320129494251,0.08969171900200533,0.03946320129494251,-0.022874347860466764,0.038285827285343535,1253.5,0.04697195748344764,0.094828646387256,0.1456928436236408,0.9668526473303916,0.0
recovery_position:0.05-0.25,72,37,0.5138888888888888,0.0040071129276745285,0.024762864813518883,-0.03946320129494251,0.10857257266611901,0.03946320129494251,-0.022557239146853782,0.04367058191753864,708.5,0.09417524062396282,0.07563549096951325,0.14275771966565334,0.9931668909358844,0.0
h:257<=h<=1024,61,35,0.5737704918032787,-0.0018090876785020148,0.017189676779363117,-0.03946320129494251,0.05256241893529198,0.03946320129494251,-0.022469407785219782,0.02955655356042303,626.0,0.0860091743119266,0.0722199673831855,0.1436688827489481,0.9671664559583909,0.0
delayed_risk_proxy:True,1286,28,0.02177293934681182,0.039521440912740874,0.05117987531371457,-0.03437235322817768,0.9748126741428922,0.03437235322817768,0.018175608782824947,0.07190409757145416,1.0,0.9807692307692307,0.0576773711431352,-0.07843922795808039,1.57223888339938,0.0
decade:1e8-1e9,672,77,0.11458333333333333,0.019914409218980262,0.01475828950572195,-0.03437235322817768,0.07826625918866961,0.03437235322817768,-0.01722187061028674,0.027676476613169756,1.0,0.98,0.05364746956728665,-0.07177886092033836,1.4587399876265728,0.0
tail:True,142,23,0.1619718309859155,0.012727070261491856,0.01443678169473766,-0.03437235322817768,0.060207226028768525,0.03437235322817768,-0.020086967351593325,0.019110516456094517,1.0,0.9791666666666666,0.049971557820017304,-0.067101180833863,1.3682756326833374,0.0
scale:p>=500M,142,23,0.1619718309859155,0.012727070261491856,0.01443678169473766,-0.03437235322817768,0.060207226028768525,0.03437235322817768,-0.020086967351593325,0.019110516456094517,1.0,0.9791666666666666,0.049971557820017304,-0.067101180833863,1.3682756326833374,0.0
depth:0.55-0.60,44,9,0.20454545454545456,0.03991510950447825,0.06745282901571377,-0.03437235322817768,0.36946568108470534,0.03437235322817768,-0.009439109926263607,0.13930617724310226,1429.5,0.06341240066695047,0.13211173389685305,0.1277697887119012,1.1076739821650112,0.0
long_window_proxy:True,21,11,0.5238095238095238,0.004240698984510497,0.027112359278960267,-0.03437235322817768,0.08969171900200533,0.03437235322817768,-0.022823540091301494,0.058606911829291064,15789.0,0.007866340224882118,0.3075518627750951,0.1387277220469723,0.9991210463004583,0.0
recovery_position:<=0,6,4,0.6666666666666666,0.006351414987962771,0.039011471764864074,-0.03437235322817768,0.08969171900200533,0.03437235322817768,-0.028559788716005525,0.06729420625442734,82896.0,0.0,0.6513913858987859,0.13930017107698833,0.9903889713990215,0.0
mu:0.018-0.05,6,3,0.5,-0.0005028173656136774,0.030653980032108633,-0.03437235322817768,0.058606911829291064,0.03437235322817768,-0.03148514994395863,0.04731049704707138,57341.5,0.00785703556213226,0.4976899579832857,0.13930017107698833,0.977385898658039,0.0
h:h>65536,3,2,0.6666666666666666,0.01790677445282465,0.052493372110868755,-0.03437235322817768,0.08969171900200533,0.03437235322817768,-0.03109502214689528,0.08056264286026942,151650.0,0.0,0.862526348366495,0.1346203042683465,0.9991210463004583,0.0
recovery_position:0-0.05,84,51,0.6071428571428571,-0.0023403758786959016,0.018209410026878953,-0.03379206010566899,0.058606911829291064,0.03379206010566899,-0.0228811222296888,0.02927586003031386,2286.0,0.023621845424113594,0.12473079194839509,0.1491548707113975,0.9622372161609682,0.0
h:1025<=h<=8192,75,47,0.6266666666666667,-0.0021446245867823444,0.01925888735380933,-0.03379206010566899,0.05413372685817237,0.03379206010566899,-0.02474500161595399,0.03601589247307342,1867.0,0.031408308004052685,0.1148387219870256,0.1528199595005005,0.9414864994225117,0.0
scale:100M<=p<500M,530,54,0.1018867924528302,0.021840073618911115,0.01423985187500698,-0.03085627775811593,0.07826625918866961,0.03085627775811593,-0.016330996851462727,0.027742377134215162,1.0,0.98,0.05396797119331545,-0.07179058189579371,1.4722494069396637,0.0
mu:0.05-0.10,14,7,0.5,0.0009887934309109239,0.017404047606772406,-0.03085627775811593,0.03361450102477777,0.03085627775811593,-0.02286697999748406,0.03030026462500243,11132.0,0.011840122657220651,0.2499692155585696,0.13816638519489566,0.9917407399506559,0.0
mu:0.10-0.25,74,36,0.4864864864864865,0.0076472510076375155,0.02720806518930359,-0.028712832289133048,0.1130830804299642,0.028712832289133048,-0.02253772106649067,0.05544034371721743,1680.5,0.0432811139783609,0.11301194931265154,0.14239077218070825,1.0206304377330888,0.0
h:8193<=h<=65536,18,9,0.5,0.0019630197397914723,0.019026812261355577,-0.022823540091301494,0.058606911829291064,0.022823540091301494,-0.01920382388265209,0.03302936119959466,13124.0,0.007871640502799409,0.28669907588244936,0.14049049581130285,0.9914016441253999,0.0
mu:0.50-1.00,579,31,0.0535405872193437,0.041724259118046975,0.06307133925628876,-0.021038775957499166,0.9748126741428922,0.021038775957499166,-0.002071430042930954,0.08994937619139379,1.0,0.9722222222222222,0.0576878486927585,-0.0784393135777362,1.5936512149520647,0.0
LongA:False,1302,37,0.028417818740399385,0.03956964220654888,0.05119293692861804,-0.019754849314279888,0.9748126741428922,0.019754849314279888,0.01813161535984986,0.07679261800191536,1.0,0.98,0.05766498140507495,-0.07846611786069635,1.5726149297492023,0.0
h:h<=4,1302,37,0.028417818740399385,0.03956964220654888,0.05119293692861804,-0.019754849314279888,0.9748126741428922,0.019754849314279888,0.01813161535984986,0.07679261800191536,1.0,0.98,0.05766498140507495,-0.07846611786069635,1.5726149297492023,0.0
mu:>=1.00,597,5,0.008375209380234505,0.03612258135037728,0.03153018679251699,-0.019754849314279888,0.5686409428526018,0.019754849314279888,0.018132778427345782,0.06946214653485934,1.0,0.9814814814814815,0.0579407179303479,-0.0784394465266631,1.5618860447202498,0.0
recovery_position:0.25-0.50,41,27,0.6585365853658537,0.013276131884163121,0.042117909433351954,-0.019754849314279888,0.1179932858221446,0.019754849314279888,-0.017631206691171575,0.09229641126537343,3.0,0.3448275862068966,0.0636678531151053,-0.0738713916592447,0.8202500917331381,0.0
