block_id,p_star,y,h,post_z,neg_Q,is_tail,is_longa,scale_bin,decade,depth_bin,mu_bin,h_bin,recovery_position,recovery_pos_bin,delayed_risk_proxy,late_recovery_proxy,long_window_proxy,cp_ratio,R_eff_over_P,response_over_obstruction,post_over_obstruction,Q_pp,Qpp_over_denom,shell_pattern,canonical_scaled_E_post,canonical_scaled_response,denom_sqrt_h_logB
272,39651113,39650618,347,-0.03946320129494251,0.03946320129494251,False,True,p<100M,1e7-1e8,0.50-0.55,0.25-0.50,257<=h<=1024,0.1885245901639344,0.05-0.25,False,False,False,0.0666565964958798,0.0958050024882273,0.4079625518026294,-0.5920374481973706,0.0,0.0,11111,-225.017450814545,155.0555521680801,5701.956339851794
41,604672261,604520611,151650,-0.03437235322817768,0.03437235322817768,True,True,p>=500M,1e8-1e9,0.55-0.60,0.018-0.05,h>65536,0.0,<=0,True,False,True,0.7568596623500748,0.140663917774251,0.9545855659403881,-0.045414434059612006,0.0,0.0,11111,-5472.694999435189,115032.93526453788,159217.93201370913
320,604702619,604700469,2150,-0.03379206010566899,0.03379206010566899,True,True,p>=500M,1e8-1e9,0.50-0.55,0.25-0.50,1025<=h<=8192,0.023614895549500452,0-0.05,False,False,False,0.0924905344982734,0.1674778517229637,0.6346430444047245,-0.3653569555952755,0.0,0.0,11111,-640.6293431726679,1112.8047528852312,18957.984247465138
87,109467389,109460158,7231,-0.03085627775811593,0.03085627775811593,False,True,100M<=p<500M,1e8-1e9,0.50-0.55,0.05-0.10,1025<=h<=8192,0.04729907773386034,0-0.05,False,False,False,0.2045445847739718,0.1371676231301571,0.8491464450539569,-0.1508535549460431,0.0,0.0,11111,-899.1019044484319,5060.995653544287,29138.378630648243
382,604365031,604363228,1803,-0.028712832289133048,0.028712832289133048,True,True,p>=500M,1e8-1e9,0.50-0.55,0.10-0.25,1025<=h<=8192,0.04704016913319239,0-0.05,False,False,False,0.0869939928500895,0.1578411584675555,0.6699446553900359,-0.33005534460996416,0.0,0.0,11111,-498.4514197924093,1011.7541500687412,17359.88337106884
69,108581987,108578163,3824,-0.027161565718783934,0.027161565718783934,False,True,100M<=p<500M,1e8-1e9,0.50-0.55,0.10-0.25,1025<=h<=8192,0.031408308004052685,0-0.05,False,False,False,0.1469597990717332,0.1577828852051701,0.8151768994626485,-0.18482310053735154,0.0,0.0,11111,-575.0409801354708,2536.2637131826614,21171.12783884155
338,108591737,108591025,712,-0.02645383966100752,0.02645383966100752,False,True,100M<=p<500M,1e8-1e9,0.50-0.55,0.25-0.50,257<=h<=1024,0.07049608355091384,0.05-0.25,False,False,False,0.0670776998596762,0.1471799189761506,0.6056239299148918,-0.3943760700851083,0.0,0.0,11111,-241.66735093224668,371.116662256215,9135.435688319378
271,187425023,187423758,1265,-0.023709331286169727,0.023709331286169727,False,True,100M<=p<500M,1e8-1e9,0.50-0.55,0.25-0.50,1025<=h<=8192,0.11040787623066103,0.05-0.25,False,False,False,0.0855229588678136,0.1459863142522563,0.7227723221922732,-0.27722767780772684,0.0,0.0,11111,-305.9876444624281,797.7536806539188,12905.789740300212
130,109678603,109674416,4187,-0.022891283783521853,0.022891283783521853,False,True,100M<=p<500M,1e8-1e9,0.50-0.55,0.10-0.25,1025<=h<=8192,0.015749882463563705,0-0.05,False,False,False,0.1528036364238857,0.1454298277680702,0.8501914985843652,-0.14980850141563495,0.0,0.0,11111,-507.6662298938127,2881.101597676416,22177.272130943267
64,604810421,604757400,53021,-0.022823540091301494,0.022823540091301494,True,True,p>=500M,1e8-1e9,0.50-0.55,0.018-0.05,8193<=h<=65536,0.007877699187904645,0-0.05,True,False,True,0.4494568065190746,0.1427014135725687,0.9492197253211853,-0.05078027467881473,0.0,0.0,11111,-2148.758214729598,40166.062418291694,94146.57875745282
