block_id,p_star,y,h,post_z,post_Q,is_tail,is_longa,shell_pattern,boundary_local_proxy,short_window_proxy,missing_shell_proxy,Qpp_norm,leak_E_z_abs,leak_response_z_abs,leak_negative_extra_Q,finite_zone_Q,slack_proxy_sum,scale_bin,depth_bin,mu_bin,cp_ratio
680,604865039,604864888,3,-0.019754849314279888,0.019754849314279888,True,False,10100,True,True,True,0.0,0.026982417331682686,0.026982417331682686,0.0,0.0,0.019754849314279888,p>=500M,0.50-0.55,>=1.00,0.0585344103602869
608,604715411,604715326,3,-0.01874942984978795,0.01874942984978795,True,False,10100,True,True,True,0.0,0.026983077621651214,0.026983077621651214,0.0,0.0,0.01874942984978795,p>=500M,0.50-0.55,0.50-1.00,0.0575299398750813
350,178894987,178894798,3,-0.018563746874519164,0.018563746874519164,False,False,10100,True,True,True,0.0,0.030552907379639706,0.0305529073796397,0.0,0.018563746874519164,0.018563746874519164,100M<=p<500M,0.50-0.55,>=1.00,0.0624748732312566
559,179412683,179412616,3,-0.01809724491802191,0.01809724491802191,False,False,10100,True,True,True,0.0,0.030543617157515822,0.030543617157515815,0.0,0.01809724491802191,0.01809724491802191,100M<=p<500M,0.50-0.55,0.50-1.00,0.0619950192191761
327,109497203,109497076,3,-0.017588553985587244,0.017588553985587244,False,False,10100,True,True,True,0.0,0.032194845121995434,0.03219484512199543,0.0,0.017588553985587244,0.017588553985587244,100M<=p<500M,0.50-0.55,0.50-1.00,0.0638594994842023
635,109814437,109814320,3,-0.017119019784247874,0.017119019784247874,False,False,10100,True,True,True,0.0,0.03218478453339318,0.03218478453339317,0.0,0.017119019784247874,0.017119019784247874,100M<=p<500M,0.50-0.55,0.50-1.00,0.0633755060442757
370,179411909,179411668,3,-0.017008446329552483,0.017008446329552483,False,False,10100,True,True,True,0.0,0.03054363102401855,0.030543631024018542,0.0,0.017008446329552483,0.017008446329552483,100M<=p<500M,0.50-0.55,0.25-0.50,0.0609062405598658
411,179436077,179435746,3,-0.016914177320963245,0.016914177320963245,False,False,10100,True,True,True,0.0,0.030543198077839295,0.030543198077839288,0.0,0.016914177320963245,0.016914177320963245,100M<=p<500M,0.50-0.55,0.25-0.50,0.0608113493141144
243,30781319,30781182,7,-0.016842403132266606,0.016842403132266606,False,True,11111,True,True,False,0.0,0.026017601768539678,0.026017601768539674,0.0,0.016842403132266606,0.016842403132266606,p<100M,0.50-0.55,0.50-1.00,0.0666639054628127
453,180641999,180641716,3,-0.016834125977533268,0.016834125977533268,False,False,10100,True,True,True,0.0,0.03052168048360668,0.030521680483606674,0.0,0.016834125977533268,0.016834125977533268,100M<=p<500M,0.50-0.55,0.25-0.50,0.060700372540659
486,179621809,179621500,3,-0.01682616312005311,0.01682616312005311,False,False,10100,True,True,True,0.0,0.030539873121559986,0.030539873121559986,0.0,0.01682616312005311,0.01682616312005311,100M<=p<500M,0.50-0.55,0.25-0.50,0.0607185564329466
