matrix,row_shell,col_shell,value,sign
G_CC_empirical,0,0,3524345255.223806,+
G_CC_empirical,0,2,7048471837.582522,+
G_CC_empirical,0,3,2333982470.326283,+
G_CC_empirical,0,4,7048457935.018388,+
G_CC_empirical,2,0,7048471837.582522,+
G_CC_empirical,2,2,14096519949.386225,+
G_CC_empirical,2,3,4667824567.160231,+
G_CC_empirical,2,4,14096492855.747965,+
G_CC_empirical,3,0,2333982470.326283,+
G_CC_empirical,3,2,4667824567.160231,+
G_CC_empirical,3,3,1545679630.5296476,+
G_CC_empirical,3,4,4667815835.6499605,+
G_CC_empirical,4,0,7048457935.018388,+
G_CC_empirical,4,2,14096492855.747965,+
G_CC_empirical,4,3,4667815835.6499605,+
G_CC_empirical,4,4,14096466498.390282,+
G_CC_inverse,0,0,0.0003080915174397563,+
G_CC_inverse,0,2,-0.00029771598174610476,-
G_CC_inverse,0,3,-5.460539976423103e-06,-
G_CC_inverse,0,4,0.00014547403797351936,+
G_CC_inverse,2,0,-0.00029771598174102457,-
G_CC_inverse,2,2,0.0016159619550464256,+
G_CC_inverse,2,3,4.240232641526518e-06,+
G_CC_inverse,2,4,-0.0014685063236103346,-
G_CC_inverse,3,0,-5.460540005471402e-06,-
G_CC_inverse,3,2,4.24023280471451e-06,+
G_CC_inverse,3,3,0.00012101060098269541,+
G_CC_inverse,3,4,-4.158057795384536e-05,-
G_CC_inverse,4,0,0.0001454740379780582,+
G_CC_inverse,4,2,-0.0014685063236618322,-
G_CC_inverse,4,3,-4.158057780518167e-05,-
G_CC_inverse,4,4,0.0014095385345594374,+
rank1_lambda_vvT,0,0,3524342324.211037,+
rank1_lambda_vvT,0,2,7048472204.39723,+
rank1_lambda_vvT,0,3,2333983199.280808,+
rank1_lambda_vvT,0,4,7048458792.374824,+
rank1_lambda_vvT,2,0,7048472204.39723,+
rank1_lambda_vvT,2,2,14096519533.550695,+
rank1_lambda_vvT,2,3,4667825708.259948,+
rank1_lambda_vvT,2,4,14096492710.314348,+
rank1_lambda_vvT,3,0,2333983199.280808,+
rank1_lambda_vvT,3,2,4667825708.259948,+
rank1_lambda_vvT,3,3,1545672092.379549,+
rank1_lambda_vvT,3,4,4667816826.195698,+
rank1_lambda_vvT,4,0,7048458792.374824,+
rank1_lambda_vvT,4,2,14096492710.314348,+
rank1_lambda_vvT,4,3,4667816826.195698,+
rank1_lambda_vvT,4,4,14096465887.129038,+
H_residual,0,0,2931.0127687454224,+
H_residual,0,2,-366.8147077560425,-
H_residual,0,3,-728.9545249938965,-
H_residual,0,4,-857.3564357757568,-
H_residual,2,0,-366.8147077560425,-
H_residual,2,2,415.8355293273926,+
H_residual,2,3,-1141.0997171401978,-
H_residual,2,4,145.4336166381836,+
H_residual,3,0,-728.9545249938965,-
H_residual,3,2,-1141.0997171401978,-
H_residual,3,3,7538.150098562241,+
H_residual,3,4,-990.5457372665405,-
H_residual,4,0,-857.3564357757568,-
H_residual,4,2,145.4336166381836,+
H_residual,4,3,-990.5457372665405,-
H_residual,4,4,611.2612438201904,+
