vector,index,shell,value,sign
eigenvalues_desc,0,0,33262999837.270306,+
eigenvalues_desc,1,2,7915.167536123199,+
eigenvalues_desc,2,3,3258.5329451090242,+
eigenvalues_desc,3,4,322.55916618958435,+
dominant_eigenvector_G,0,0,0.3255055035339023,+
dominant_eigenvector_G,1,2,0.6509913859036501,+
dominant_eigenvector_G,2,3,0.21556486476995118,+
dominant_eigenvector_G,3,4,0.6509901471797394,+
dominant_eigenvector_G_inverse,0,0,0.11613493917351338,+
dominant_eigenvector_G_inverse,1,2,-0.7289724775253638,-
dominant_eigenvector_G_inverse,2,3,-0.010951221878484815,-
dominant_eigenvector_G_inverse,3,4,0.6745308544855942,+
b_C,0,0,33982247728.391525,+
b_C,1,2,67962347878.91724,+
b_C,2,3,22505075940.630836,+
b_C,3,4,67962210728.07397,+
a_fit_raw,0,0,12.505485612899065,+
a_fit_raw,1,2,0.840624364092946,+
a_fit_raw,2,3,59.51740747503936,+
a_fit_raw,3,4,-21.980567328166217,-
a_fit_norm_by_abs_shell2,0,0,14.87642536555883,+
a_fit_norm_by_abs_shell2,1,2,1.0,+
a_fit_norm_by_abs_shell2,2,3,70.80143048109257,+
a_fit_norm_by_abs_shell2,3,4,-26.147906564525737,-
a_can_sign,0,0,1.0,+
a_can_sign,1,2,-1.0,-
a_can_sign,2,3,1.0,+
a_can_sign,3,4,-1.0,-
a_can_amp,0,0,0.191352,+
a_can_amp,1,2,-0.148199,-
a_can_amp,2,3,1.221515,+
a_can_amp,3,4,-0.439357,-
mode_plus_minus_plus_minus,0,0,1.0,+
mode_plus_minus_plus_minus,1,2,-1.0,-
mode_plus_minus_plus_minus,2,3,1.0,+
mode_plus_minus_plus_minus,3,4,-1.0,-
mode_plus_minus_minus_plus,0,0,1.0,+
mode_plus_minus_minus_plus,1,2,-1.0,-
mode_plus_minus_minus_plus,2,3,-1.0,-
mode_plus_minus_minus_plus,3,4,1.0,+
