q,N_total,d_emp,g,g2,total_abs_weighted_discrepancy,max_interval_abs_component
3,82686,0.5009269019664861,0.16666666666666666,0.027777777777777776,29.1109778310899,2.1522017455645255
5,20611,0.12486520543297833,0.05,0.0025000000000000005,1.3310454000218082,0.07711515393842462
7,10299,0.06239322452837047,0.023809523809523808,0.0005668934240362811,0.23871548061871908,0.01186480674685394
11,5105,0.03092702313014188,0.00909090909090909,8.264462809917355e-05,0.02564089315438365,0.001821733615594583
13,3904,0.023651145602365115,0.00641025641025641,4.1091387245233394e-05,0.011402692922392729,0.00048687067917837243
17,2655,0.016084475300788777,0.003676470588235294,1.351643598615917e-05,0.0033232656921503186,0.00027446997372802974
19,2257,0.013673318551367332,0.0029239766081871343,8.549639205225538e-06,0.0015437122389355344,5.8615264795027377e-05
23,1713,0.010377667114972193,0.001976284584980237,3.905700760830507e-06,0.0007367550594444246,3.004639652222462e-05
29,1301,0.007881695806525875,0.0012315270935960591,1.5166589822611567e-06,0.00027472114653888797,2.9891852150548458e-05
31,1140,0.006906328377739813,0.001075268817204301,1.1562030292519367e-06,0.00021422684145316225,2.3892144862695218e-05
37,938,0.005682575454666618,0.0007507507507507507,5.636266897528159e-07,7.851597801203547e-05,5.317436378045179e-06
41,855,0.00517974628330486,0.0006097560975609756,3.7180249851279003e-07,5.356158872236085e-05,2.0119311531241708e-06
43,767,0.004646626198005647,0.0005537098560354374,3.0659460467078484e-07,5.089458550135621e-05,8.052806681481615e-06
47,674,0.004083215198768977,0.00046253469010175765,2.1393833954752898e-07,2.477701114743768e-05,2.0121085784713804e-06
53,603,0.0036530842208571117,0.000362844702467344,1.3165627810861538e-07,1.6321980718849248e-05,7.702114799139613e-07
59,505,0.0030593823076829874,0.0002922267679719462,8.53964839193297e-08,1.058083471110211e-05,1.5862381626263973e-06
61,473,0.0028655204584832734,0.000273224043715847,7.465137806443907e-08,8.967697024428112e-06,8.600479503222951e-07
67,453,0.002744356802733452,0.0002261420171867933,5.114021193731192e-08,5.4664650126723635e-06,4.974027396304748e-07
73,420,0.002544436770746247,0.0001902587519025875,3.6198392675530345e-08,4.3043337547641295e-06,3.797969411873975e-07
71,400,0.0024232731149964257,0.00020120724346076458,4.048435482107939e-08,4.196080035135412e-06,2.4446991702541367e-07
79,351,0.0021264221584093635,0.0001622849724115547,2.6336412270619067e-08,2.62450662468881e-06,1.4514655332308067e-07
83,316,0.0019143857608471763,0.00014692918013517486,2.1588183975194664e-08,2.1252986829803944e-06,1.854536249330206e-07
89,330,0.001999200319872051,0.00012768130745658836,1.6302516273823846e-08,1.6237984122240129e-06,1.349830095954995e-07
97,288,0.0017447566427974265,0.00010738831615120275,1.1532250445790673e-08,1.1304137325671797e-06,1.284397005231054e-07
103,269,0.0016296511698350963,9.518370454978108e-05,9.059937611820015e-09,8.738105812520566e-07,8.952886478830212e-08
101,255,0.0015448366108102214,9.900990099009902e-05,9.80296049406921e-09,7.512750039854479e-07,4.4164455400255156e-08
109,246,0.0014903129657228018,8.494733265375468e-05,7.216049324987656e-09,5.910492859930275e-07,2.6433754457257314e-08
107,245,0.0014842547829353107,8.816787162757891e-05,7.773573587337233e-09,5.576259276809759e-07,3.462133214180786e-08
113,214,0.0012964511165230877,7.901390644753477e-05,6.243197412099777e-09,4.856380485690315e-07,3.895339743567049e-08
127,201,0.001217694740285704,6.249218847644044e-05,3.905273620574955e-09,3.211588232652451e-07,4.0362963951665955e-08
131,159,0.0009632510632110792,5.871990604815032e-05,3.448027366303601e-09,2.0322518636465997e-07,1.7688827826805958e-08
139,186,0.001126821998473338,5.2132207277656134e-05,2.7177670356405033e-09,1.7765667024631277e-07,7.397866389116165e-09
137,177,0.0010722983533859184,5.367110347788751e-05,2.8805873485341084e-09,1.753113460924518e-07,1.2266395546536686e-08
149,183,0.0011086474501108647,4.534736078360239e-05,2.0563831300382004e-09,1.2398485603547394e-07,6.077957233571887e-09
