block_id,source_row,p_star,y,h,carrier_count,weighted_discrepancy,signed_weighted_discrepancy,small_q_le_13_discrepancy,tail_q_gt_13_discrepancy,top_component_q,top_component_abs,denom_sqrt_h_log2p,Q_LAN,h_bin,scale_bin
1,1,180530237,179845447,684790,71722,2.2011904415940884,-2.19945410624357,2.200953116075166,0.00023732551895281647,3,2.1522017455645255,299093.72920882725,7.359533907369944e-06,h>65536,100M<=p<500M
3,3,30974597,30910184,64413,7350,0.13371665556096157,-0.13186345808341127,0.13362696926345707,8.96862975061937e-05,3,0.10590915149091668,75508.94313535435,1.7708717670867989e-06,8193<=h<=65536,p<100M
5,5,356077,355293,784,122,0.14371376377133097,0.1281455236663481,0.14369482265006353,1.8941121268690724e-05,3,0.13574772111357467,4575.2725385852,3.141097334843603e-05,257<=h<=1024,p<100M
6,6,3448507,3446024,2483,292,0.06789728705839607,-0.06559289649749545,0.06781906396938782,7.822308900896673e-05,3,0.06307376039483219,11291.73196460307,6.013009100042237e-06,1025<=h<=8192,p<100M
7,7,30774449,30670319,104130,11972,0.5815960142390235,-0.4807255187057945,0.5814929942676705,0.000103019971359143,3,0.5304686206325692,95934.11101151556,6.06245274081094e-06,h>65536,p<100M
8,8,3452747,3451296,1451,160,0.007255618197114132,-0.006023755560196876,0.007219810078031041,3.580811908313253e-05,3,0.004119564295493995,8633.299435299174,8.404223960364349e-07,1025<=h<=8192,p<100M
9,9,12883477,12871995,11482,1344,0.325649430447613,-0.2995754239579625,0.32557767795417386,7.175249344260443e-05,3,0.3123821178599289,28719.930995492716,1.1338795712939568e-05,8193<=h<=65536,p<100M
10,10,178298621,178254856,43765,4422,0.27599861727771824,0.2616848125272986,0.27577220427013843,0.00022641300758273017,3,0.19170109733883892,75513.32548295001,3.6549657363459032e-06,8193<=h<=65536,100M<=p<500M
12,12,3279709,3278912,797,84,0.06486268758114758,-0.06446463160848909,0.06484216014733656,2.052743381139069e-05,3,0.05771832681069,6354.78315956471,1.0206908080493896e-05,257<=h<=1024,p<100M
14,14,1195669,1195386,205,32,0.22764484851820468,0.21516502478807217,0.2276322656184688,1.2582899736669057e-05,3,0.2213983093631234,2803.974775684992,8.118648230799173e-05,65<=h<=256,p<100M
18,18,3241093,3239129,1964,240,0.23240804344901542,-0.2244737465066515,0.23235661770984395,5.1425739172724815e-05,3,0.2284015686654632,9959.931532590872,2.3334301314073312e-05,1025<=h<=8192,p<100M
19,19,1515197,1513853,1344,180,0.3546452340318081,-0.3213488674034099,0.3546111498795266,3.4084152283816654e-05,3,0.33796784316576417,7424.614187859693,4.776614987102008e-05,1025<=h<=8192,p<100M
21,21,30847123,30831334,15789,1782,0.020925239457351436,-0.01839597431911748,0.020842704952242108,8.253450510947204e-05,3,0.018103869563285947,37366.399083278666,5.600014978889258e-07,8193<=h<=65536,p<100M
24,24,180619079,180557417,61662,6364,1.0597823953188963,0.9705837577851313,1.0597340766130237,4.8318705884475214e-05,3,1.0028109968133978,89755.2548180161,1.180746907206342e-05,8193<=h<=65536,100M<=p<500M
25,25,109813367,109790208,23159,2424,0.06459157552382738,0.03348237193676811,0.06439569987113725,0.00019587565269101598,3,0.0486997120343757,52164.39294669296,1.2382311357449096e-06,8193<=h<=65536,100M<=p<500M
27,27,1192781,1192323,458,60,0.05666889860613998,0.05394456863903824,0.05664866579689014,2.0232809250144095e-05,3,0.0540107189447453,4189.669828156048,1.3525862640847052e-05,257<=h<=1024,p<100M
28,28,109670797,109660803,9994,1004,0.2706515709324506,-0.22576814792122735,0.2706214904028736,3.008052957955344e-05,3,0.24807248817644734,34262.81003604829,7.899281192864654e-06,8193<=h<=65536,100M<=p<500M
29,29,3456977,3455716,1261,160,0.005365184835629715,-0.0029470449048498797,0.005353447768439431,1.1737067190325103e-05,3,0.004119564295493995,8049.543999669534,6.665203439909114e-07,1025<=h<=8192,p<100M
30,30,4994789,4991760,3029,378,0.2723492372136162,-0.24803856470260816,0.2722953237774739,5.391343614457904e-05,3,0.2597324706481048,13092.975670345444,2.0801171870384342e-05,1025<=h<=8192,p<100M
31,31,7108243,7105465,2778,342,0.21319012027405404,-0.19333751722618425,0.21315364399271836,3.6476281337151954e-05,3,0.203250013126063,13119.040415432122,1.6250435513810547e-05,1025<=h<=8192,p<100M
32,32,3293113,3292080,1033,122,0.13916399578519556,0.1328617746948399,0.139120178241168,4.3817544028746135e-05,3,0.13574772111357467,7238.654174546005,1.9225120088558956e-05,1025<=h<=8192,p<100M
36,36,39707851,39704004,3847,388,0.19295390188150052,-0.16128148160277161,0.1928738025762742,8.009930522732282e-05,3,0.17665661008323968,18988.52495688672,1.0161605618108868e-05,1025<=h<=8192,p<100M
39,39,39690667,39682692,7975,870,0.6839299036244106,0.6601663728779319,0.6838702396187024,5.9664005713141945e-05,3,0.6720443135876952,27338.45670681034,2.5017136517952583e-05,1025<=h<=8192,p<100M
40,40,30417481,30409154,8327,940,0.9367048228432294,-0.889490259131318,0.9366353010422057,6.952180102827689e-05,3,0.9130913291249163,27092.02425604648,3.45749292851077e-05,8193<=h<=65536,p<100M
41,41,604672261,604520611,151650,14840,1.0889442849063622,1.0882532967950644,1.0886237251534387,0.00032055975294022925,3,1.062354856037372,159217.93201370913,6.839331921561454e-06,h>65536,p>=500M
42,42,7117417,7115469,1948,232,0.16783058089279412,0.15755396472294325,0.16781305961343299,1.752127936230573e-05,3,0.16069329843820016,10987.564348763462,1.527459367386383e-05,1025<=h<=8192,p<100M
43,43,12781267,12779528,1739,194,0.0261254898842803,0.023519343095251336,0.026097817874888494,2.7672009391992415e-05,3,0.02278280606949126,11166.105385346242,2.3397137124073627e-06,1025<=h<=8192,p<100M
44,44,109588091,109577354,10737,1092,0.4010182899949623,-0.32270601603192045,0.400905612359398,0.00011267763556666354,3,0.3614493596500791,35510.71249892,1.1292882112888008e-05,8193<=h<=65536,100M<=p<500M
