block_id,p_star,y,h,D_start,D_end,DeltaD,exc_abs,exc_t,exc_signed,Q_exc,Q_DeltaD,Q_DeltaD_log1,Q_delayed_proxy,sampled_points,sampled_offset_min,sampled_offset_max,is_tail,h_bin,p_scale_bin,mu_bin_if_available,depth_bin,recovery_position
5,356077,355293,784,-445.57865085028266,-1064.0627175890131,-618.4840667387305,58.866313727122474,355941,-58.866313727122474,0.012866187364944506,0.13517972132212755,1.7279891677066,0.14804590868707207,37,0.0,784.0,False,257<=h<=1024,p<100M,0.10-0.25,0.65-0.70,0.18840579710144928
27,1192781,1192323,458,-623.3057979417131,-948.8325897505176,-325.52679180880466,50.44514412859007,1192436,-50.44514412859007,0.012040362653300515,0.07769748098553032,1.0871274678691998,0.08973784363883083,35,0.0,458.0,False,257<=h<=1024,p<100M,0.25-0.50,0.55-0.60,0.10196078431372549
14,1195669,1195386,205,-686.8422426041038,-868.601622871141,-181.7593802670372,35.651017552909366,1195534,35.651017552909366,0.01271445729899623,0.06482204542037459,0.9071337323567435,0.07753650271937082,32,0.0,205.0,False,65<=h<=256,p<100M,0.50-1.00,0.60-0.65,0.3293838862559242
56,1511527,1511046,403,-710.2584342675988,-1040.2049989253685,-329.9465646577695,31.371536904404707,1511174,31.371536904404707,0.007718928919738007,0.08118295535426816,1.1551223116607796,0.08890188427400617,35,0.0,403.0,False,257<=h<=1024,p<100M,0.10-0.25,0.55-0.60,0.14107142857142857
19,1515197,1513853,1344,-753.3241327486062,-1758.088336176791,-1004.7642034281848,76.78974942550394,1514743,-76.78974942550394,0.010342591208451771,0.1353288100910507,1.9258718777253407,0.14567140129950246,37,0.0,1344.0,False,1025<=h<=8192,p<100M,0.10-0.25,0.55-0.60,0.07053941908713693
18,3241093,3239129,1964,-1080.182066429391,-2475.688277714416,-1395.5062112850246,81.42228980252094,3240710,-81.42228980252094,0.008174984891822905,0.14011202855347463,2.100478431947236,0.14828701344529754,39,0.0,1964.0,False,1025<=h<=8192,p<100M,0.10-0.25,0.55-0.60,0.02385685884691849
12,3279709,3278912,797,-1129.0381509763808,-1595.281448924815,-466.2432979484343,72.48431875885103,3279010,-72.48431875885103,0.01140626154171027,0.07336887604837976,1.1007727089553627,0.08477513759009003,37,0.0,797.0,False,257<=h<=1024,p<100M,0.25-0.50,0.60-0.65,0.0860091743119266
88,3290641,3290318,323,-968.6745457375904,-1187.291206905305,-218.61666116771448,31.763224857564865,3290350,-31.763224857564865,0.007848002333847626,0.05401542427621544,0.8105874844104126,0.06186342661006307,35,0.0,323.0,False,257<=h<=1024,p<100M,0.25-0.50,0.50-0.55,0.10277777777777777
60,3291137,3290975,8,-997.1631099024464,-1040.539142616886,-43.37603271443948,13.100680718981152,3290980,13.100680718981152,0.020567236449224698,0.06809761570439705,1.0219234624432072,0.08866485215362176,9,0.0,8.0,False,5<=h<=16,p<100M,0.50-1.00,0.55-0.60,0.352
32,3293113,3292080,1033,-1036.8409135045636,-1739.9792047404453,-703.1382912358818,44.40858594402789,3292775,-44.40858594402789,0.006134922994413269,0.09713660499328679,1.4577624340798636,0.10327152798770006,37,0.0,1033.0,False,1025<=h<=8192,p<100M,0.10-0.25,0.55-0.60,0.01619047619047619
96,3438637,3438262,375,-985.655207590264,-1254.5709637484956,-268.9157561582316,40.185015993486104,3438398,-40.185015993486104,0.009160975209349569,0.06130470561386328,0.9226717274879209,0.07046568082321285,36,0.0,375.0,False,257<=h<=1024,p<100M,0.25-0.50,0.50-0.55,0.09420289855072464
48,3440807,3439819,811,-1059.9835425069589,-1751.6610990375343,-691.6775565305757,57.48108875473781,3440485,57.48108875473781,0.008909869588272725,0.1072136412049886,1.6136957356999113,0.11612351079326132,37,0.0,811.0,False,257<=h<=1024,p<100M,0.10-0.25,0.55-0.60,0.10990990990990991
78,3441797,3441229,568,-997.2058860575942,-1392.208998971388,-395.00311291379376,29.338135801005592,3441362,29.338135801005592,0.005433735996818713,0.07315879400290866,1.1011499008112113,0.07859252999972738,38,0.0,568.0,False,257<=h<=1024,p<100M,0.10-0.25,0.50-0.55,0.030716723549488054
6,3448507,3446024,2483,-1269.9908564127795,-2957.528938594951,-1687.5380821821711,86.25508396793089,3447295,86.25508396793089,0.007638782450585998,0.14944900281659243,2.249723381637474,0.15708778526717843,40,0.0,2483.0,False,1025<=h<=8192,p<100M,0.10-0.25,0.65-0.70,0.03159126365054602
8,3452747,3451296,1451,-1239.2532286860674,-2145.539374150402,-906.2861454643348,65.98354433162308,3451634,-65.98354433162308,0.007642911592042622,0.10497564138210953,1.5803747627123184,0.11261855297415216,36,0.0,1451.0,False,1025<=h<=8192,p<100M,0.25-0.50,0.65-0.70,0.055338541666666664
29,3456977,3455716,1261,-1076.8098138024425,-2022.1132362822227,-945.3034224797802,62.47652506736517,3456171,-62.47652506736517,0.007761498672462699,0.11743564884154789,1.7680999802888882,0.1251971475140106,37,0.0,1261.0,False,1025<=h<=8192,p<100M,0.10-0.25,0.55-0.60,0.08623188405797101
50,3457967,3457512,455,-1032.5412923104789,-1300.260569031474,-267.71927672099514,30.359882641400645,3457702,30.359882641400645,0.006278619086263076,0.05536606911282309,0.8336021337440823,0.06164468819908617,35,0.0,455.0,False,257<=h<=1024,p<100M,0.25-0.50,0.55-0.60,0.06378600823045268
99,4991101,4990677,357,-1187.829339260422,-1454.0770886755686,-266.2477494151465,32.04545306747309,4990889,32.04545306747309,0.007129928605419145,0.05923858965846139,0.913646666162806,0.06636851826388053,34,0.0,357.0,False,257<=h<=1024,p<100M,0.25-0.50,0.50-0.55,0.061946902654867256
30,4994789,4991760,3029,-1282.5533183929576,-3575.231370335033,-2292.6780519420754,74.79600740040587,4992724,-74.79600740040587,0.005712682073473406,0.17510748585096741,2.700841353845106,0.18082016792444083,37,0.0,3029.0,False,1025<=h<=8192,p<100M,0.05-0.10,0.55-0.60,0.023533204384268213
31,7108243,7105465,2778,-1580.4968693296976,-3707.454245328314,-2126.957375998616,89.51022293063807,7107680,-89.51022293063807,0.00682292455059029,0.16212751151346744,2.557847755295885,0.16895043606405774,38,0.0,2778.0,False,1025<=h<=8192,p<100M,0.10-0.25,0.55-0.60,0.07090301003344482
54,7112297,7110038,2259,-1488.4660516560812,-3170.0701790061385,-1681.6041273500573,36.23123036355423,7110425,36.23123036355423,0.003062369762677568,0.14213410863272255,2.2424975627649113,0.14519647839540012,39,0.0,2259.0,False,1025<=h<=8192,p<100M,0.10-0.25,0.55-0.60,0.02376836646499568
42,7117417,7115469,1948,-1505.373515836785,-2935.478994847477,-1430.1054790106923,83.96168172265811,7116001,-83.96168172265811,0.007641518998895068,0.13015673297709843,2.053620148368301,0.1377982519759935,39,0.0,1948.0,False,1025<=h<=8192,p<100M,0.10-0.25,0.55-0.60,0.03944773175542406
175,12776941,12776609,332,-1883.618079285617,-2159.0713721740294,-275.4532928884128,36.60171411558758,12776811,-36.60171411558758,0.007502368993893705,0.05646053180203018,0.9238722988767963,0.06396290079592389,36,0.0,332.0,False,257<=h<=1024,p<100M,0.25-0.50,0.50-0.55,0.2905982905982906
43,12781267,12779528,1739,-2025.7534664814043,-3255.654084869332,-1229.9006183879278,59.990640028518555,12780269,-59.990640028518555,0.005372566168616574,0.1101458902583867,1.8023712994914896,0.11551845642700327,37,0.0,1739.0,False,1025<=h<=8192,p<100M,0.10-0.25,0.55-0.60,0.06303879310344827
82,12782599,12782006,494,-1913.6440995584924,-2237.438634810692,-323.79453525219947,64.68278396224969,12782349,-64.68278396224969,0.010868453870075753,0.05440622301948226,0.8902814180600027,0.06527467688955801,36,0.0,494.0,False,257<=h<=1024,p<100M,0.50-1.00,0.50-0.55,0.10151515151515152
154,12801751,12800706,1045,-1866.3131855344056,-2649.979196511098,-783.6660109766922,43.333099842119736,12800849,-43.333099842119736,0.005005237417988441,0.09051820561273757,1.4813388092717834,0.09552344303072602,38,0.0,1045.0,False,1025<=h<=8192,p<100M,0.10-0.25,0.50-0.55,0.03952205882352941
235,12805417,12804850,567,-1837.6669933460464,-2261.2276249081365,-423.5606315620903,33.06833922147416,12805245,-33.06833922147416,0.00518523839410864,0.06641587998415201,1.0869210370979738,0.07160111837826065,37,0.0,567.0,False,257<=h<=1024,p<100M,0.10-0.25,0.50-0.55,0.055
47,12807413,12805898,1515,-2004.667713167148,-3002.6634605183744,-997.9957473512264,69.99762783200504,12806707,-69.99762783200504,0.006714545286013088,0.09573306765367763,1.5667228408034608,0.10244761293969072,37,0.0,1515.0,False,1025<=h<=8192,p<100M,0.25-0.50,0.55-0.60,0.02384020618556701
246,12808469,12808371,16,-1918.8696589913725,-1980.9002777768744,-62.0306187855017,12.237202579598716,12808378,12.237202579598716,0.011422400501544017,0.05790037114428769,0.9475753070324243,0.06932277164583171,15,0.0,16.0,False,5<=h<=16,p<100M,0.50-1.00,0.50-0.55,0.644927536231884
116,12830269,12829371,898,-1886.385366561933,-2552.943113018573,-666.5577464566404,36.110070122254,12830110,-36.110070122254,0.004498162477209614,0.08303182557811953,1.3590082686852758,0.08752998805532915,37,0.0,898.0,False,257<=h<=1024,p<100M,0.10-0.25,0.50-0.55,0.07039337474120083
135,12831293,12830878,349,-1899.40298613106,-2171.3561073319847,-271.95312120092467,15.264779876245939,12830879,-15.264779876245939,0.0030501315616617577,0.054340305264288055,0.8894093771262729,0.05739043682594981,35,0.0,349.0,False,257<=h<=1024,p<100M,0.25-0.50,0.50-0.55,0.2049808429118774
45,12836777,12833438,3339,-2020.026918484228,-4509.468817140625,-2489.441898656397,94.22200439377093,12834759,94.22200439377093,0.0060864238556851925,0.16080955459196564,2.6321026176982314,0.16689597844765083,36,0.0,3339.0,False,1025<=h<=8192,p<100M,0.10-0.25,0.55-0.60,0.02368421052631579
51,12842173,12840082,2091,-1989.409656565634,-3458.407842659707,-1468.9981860940732,61.318915110934995,12841763,-61.318915110934995,0.0050051051752984955,0.11990574866534746,1.9626466804954907,0.12491085384064596,40,0.0,2091.0,False,1025<=h<=8192,p<100M,0.10-0.25,0.55-0.60,0.023809523809523808
72,12843647,12843190,457,-1931.943547177705,-2181.9040251642987,-249.96047798659333,46.755326686867875,12843324,-46.755326686867875,0.008163241924206479,0.04364182645884409,0.7143451199967644,0.051805068383050566,35,0.0,457.0,False,257<=h<=1024,p<100M,0.50-1.00,0.50-0.55,0.07862903225806452
70,12847921,12847029,892,-1942.7981056797248,-2512.496857466349,-569.6987517866241,62.281139991531745,12847258,62.281139991531745,0.007782984081841725,0.07119260047589483,1.1653297901876836,0.07897558455773655,36,0.0,892.0,False,257<=h<=1024,p<100M,0.25-0.50,0.50-0.55,0.024070021881838075
9,12883477,12871995,11482,-2412.5263892811627,-11055.629614520863,-8643.103225239702,112.55777793578727,12878725,112.55777793578727,0.00391915210219175,0.30094442868251126,4.926898531493355,0.304863580784703,39,0.0,11482.0,False,8193<=h<=65536,p<100M,0.05-0.10,0.65-0.70,0.01577232984741985
55,12895717,12894136,1581,-2000.69471701668,-3100.31873499209,-1099.6240179754095,87.99334457305758,12894688,87.99334457305758,0.008255794795351922,0.1031699645978112,1.6891405266327413,0.11142575939316313,37,0.0,1581.0,False,1025<=h<=8192,p<100M,0.10-0.25,0.55-0.60,0.03948967193195626
117,17992327,17991472,705,-2229.4969708850413,-2786.1105119843705,-556.6135410993293,32.2099139247739,17991574,-32.2099139247739,0.004346886882147871,0.07511774498625995,1.2548761797210037,0.07946463186840783,35,0.0,705.0,False,257<=h<=1024,p<100M,0.25-0.50,0.50-0.55,0.09427966101694915
133,30343471,30342328,1143,-2896.614921368081,-3678.3217433544,-781.7068219863181,47.24085235041639,30342953,-47.24085235041639,0.004707824326423419,0.07790160866235708,1.342096075434068,0.0826094329887805,39,0.0,1143.0,False,1025<=h<=8192,p<100M,0.25-0.50,0.50-0.55,0.03949579831932773
104,30358319,30357034,1285,-2935.4561349279857,-3791.182012375946,-855.725877447961,37.779926243971204,30357888,37.779926243971204,0.003550671683798583,0.08042370497303525,1.3855863267115682,0.08397437665683383,37,0.0,1285.0,False,1025<=h<=8192,p<100M,0.25-0.50,0.50-0.55,0.016079632465543645
