block_id,p_star,y,h,R_pp,R_bdy,R_leak_plus,R_o2p4_total,Q_pp,Q_bdy,Q_leak_plus,Q_o2p4_total,O2_subtotal_before_o2p4,O2_total_with_o2p4,O2_margin_remaining,dominant_component,is_tail,h_bin,p_scale_bin,mu_bin_if_available,depth_bin_if_available,shell_pattern,boundary_local_proxy,Q_leak_plus_diagnostic
1,180530237,179845447,684790,28.51268430669916,0.0,0.0,28.51268430669916,9.5330264469676e-05,0.0,0.0,9.5330264469676e-05,0.0301511056,0.030246435864469675,0.9697535641355304,pp,False,h>65536,100M<=p<500M,0.006-0.01,>=0.70,11111,False,0.0017142315325792293
2,24317,24178,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301511056,0.0301511056,0.9698488944,none,False,h<=4,p<100M,0.25-0.50,>=0.70,11100,True,0.10817190462226592
3,30974597,30910184,64413,8.623892810068382,0.0,0.0,8.623892810068382,0.0001142102173859,0.0,0.0,0.0001142102173859,0.0301511056,0.0302653158173859,0.9697346841826141,pp,False,8193<=h<=65536,p<100M,0.018-0.05,>=0.70,11111,False,0.0009258770287407116
4,59921,59920,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301511056,0.0301511056,0.9698488944,none,False,h<=4,p<100M,0.25-0.50,>=0.70,10000,True,0.07778927864481809
5,356077,355293,784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301511056,0.0301511056,0.9698488944,none,False,257<=h<=1024,p<100M,0.10-0.25,0.65-0.70,11111,False,0.005772838581830112
6,3448507,3446024,2483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301511056,0.0301511056,0.9698488944,none,False,1025<=h<=8192,p<100M,0.10-0.25,0.65-0.70,11111,False,0.012467901955213202
7,30774449,30670319,104130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301511056,0.0301511056,0.9698488944,none,False,h>65536,p<100M,0.01-0.018,0.65-0.70,11111,False,0.003946862139423397
8,3452747,3451296,1451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301511056,0.0301511056,0.9698488944,none,False,1025<=h<=8192,p<100M,0.25-0.50,0.65-0.70,11111,False,0.005595536607892002
9,12883477,12871995,11482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301511056,0.0301511056,0.9698488944,none,False,8193<=h<=65536,p<100M,0.05-0.10,0.65-0.70,11111,False,0.003423658332923057
10,178298621,178254856,43765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301511056,0.0301511056,0.9698488944,none,False,8193<=h<=65536,100M<=p<500M,0.05-0.10,0.60-0.65,11111,False,0.007399973009039729
