block_id,p_star,y,h,R_pp,R_bdy,R_leak_plus,R_o2p4_total,Q_pp,Q_bdy,Q_leak_plus,Q_o2p4_total,O2_subtotal_before_o2p4,O2_total_with_o2p4,O2_margin_remaining,dominant_component,is_tail,h_bin,p_scale_bin,mu_bin_if_available,depth_bin_if_available,shell_pattern,boundary_local_proxy,Q_leak_plus_diagnostic
680,604865039,604864888,3,0.0,13.990035387645454,0.0,13.990035387645454,0.0,0.019754849314279888,0.0,0.019754849314279888,0.0301511056,0.04990595491427989,0.9500940450857202,bdy,True,h<=4,p>=500M,>=1.00,0.50-0.55,10100,True,0.026982417331682686
608,604715411,604715326,3,0.0,13.277690159980471,0.0,13.277690159980471,0.0,0.01874942984978795,0.0,0.01874942984978795,0.0301511056,0.04890053544978795,0.951099464550212,bdy,True,h<=4,p>=500M,0.50-1.00,0.50-0.55,10100,True,0.026983077621651214
350,178894987,178894798,3,0.0,11.610182363046729,0.0,11.610182363046729,0.0,0.018563746874519164,0.0,0.018563746874519164,0.0301511056,0.04871485247451916,0.9512851475254809,bdy,False,h<=4,100M<=p<500M,>=1.00,0.50-0.55,10100,True,0.030552907379639706
559,179412683,179412616,3,0.0,11.32186424801846,0.0,11.32186424801846,0.0,0.01809724491802191,0.0,0.01809724491802191,0.0301511056,0.04824835051802191,0.9517516494819781,bdy,False,h<=4,100M<=p<500M,0.50-1.00,0.50-0.55,10100,True,0.030543617157515822
327,109497203,109497076,3,0.0,10.439260685639727,0.0,10.439260685639727,0.0,0.017588553985587244,0.0,0.017588553985587244,0.0301511056,0.04773965958558724,0.9522603404144128,bdy,False,h<=4,100M<=p<500M,0.50-1.00,0.50-0.55,10100,True,0.032194845121995434
635,109814437,109814320,3,0.0,10.16375609912765,0.0,10.16375609912765,0.0,0.017119019784247874,0.0,0.017119019784247874,0.0301511056,0.04727012538424787,0.9527298746157521,bdy,False,h<=4,100M<=p<500M,0.50-1.00,0.50-0.55,10100,True,0.03218478453339318
370,179411909,179411668,3,0.0,10.640693313350678,0.0,10.640693313350678,0.0,0.017008446329552483,0.0,0.017008446329552483,0.0301511056,0.047159551929552485,0.9528404480704475,bdy,False,h<=4,100M<=p<500M,0.25-0.50,0.50-0.55,10100,True,0.03054363102401855
411,179436077,179435746,3,0.0,10.581867456172755,0.0,10.581867456172755,0.0,0.016914177320963245,0.0,0.016914177320963245,0.0301511056,0.04706528292096324,0.9529347170790368,bdy,False,h<=4,100M<=p<500M,0.25-0.50,0.50-0.55,10100,True,0.030543198077839295
243,30781319,30781182,7,0.0,13.247973291973452,0.0,13.247973291973452,0.0,0.016842403132266606,0.0,0.016842403132266606,0.0301511056,0.046993508732266605,0.9530064912677334,bdy,False,5<=h<=16,p<100M,0.50-1.00,0.50-0.55,11111,True,0.026017601768539678
453,180641999,180641716,3,0.0,10.539210483934557,0.0,10.539210483934557,0.0,0.016834125977533268,0.0,0.016834125977533268,0.0301511056,0.04698523157753327,0.9530147684224667,bdy,False,h<=4,100M<=p<500M,0.25-0.50,0.50-0.55,10100,True,0.03052168048360668
486,179621809,179621500,3,0.0,10.527949989374736,0.0,10.527949989374736,0.0,0.01682616312005311,0.0,0.01682616312005311,0.0301511056,0.04697726872005311,0.9530227312799469,bdy,False,h<=4,100M<=p<500M,0.25-0.50,0.50-0.55,10100,True,0.030539873121559986
458,109709861,109709668,3,0.0,9.98275505198269,0.0,9.98275505198269,0.0,0.016815886718691983,0.0,0.016815886718691983,0.0301511056,0.04696699231869198,0.953033007681308,bdy,False,h<=4,100M<=p<500M,0.50-1.00,0.50-0.55,10100,True,0.0321880972648142
520,179378513,179378386,3,0.0,10.51858342024398,0.0,10.51858342024398,0.0,0.016813591102437513,0.0,0.016813591102437513,0.0301511056,0.04696469670243751,0.9530353032975625,bdy,False,h<=4,100M<=p<500M,0.25-0.50,0.50-0.55,10100,True,0.03054422939196673
537,109705961,109705906,3,0.0,9.904742779653931,0.0,9.904742779653931,0.0,0.016684539621930006,0.0,0.016684539621930006,0.0301511056,0.046835645221930004,0.95316435477807,bdy,False,h<=4,100M<=p<500M,0.50-1.00,0.50-0.55,10100,True,0.03218822087896959
288,108533687,108533470,3,0.0,9.873322358346556,0.0,9.873322358346556,0.0,0.01665093106902291,0.0,0.01665093106902291,0.0301511056,0.04680203666902291,0.9531979633309771,bdy,False,h<=4,100M<=p<500M,0.50-1.00,0.50-0.55,10100,True,0.032225610460249784
329,109452269,109452148,3,0.0,9.7811789357628,0.0,9.7811789357628,0.0,0.016480517948922104,0.0,0.016480517948922104,0.0301511056,0.0466316235489221,0.9533683764510779,bdy,False,h<=4,100M<=p<500M,0.50-1.00,0.50-0.55,10100,True,0.03219627287298955
356,33821677,33821502,7,0.0,12.8660260475813,0.0,12.8660260475813,0.0,0.016179568040214136,0.0,0.016179568040214136,0.0301511056,0.046330673640214134,0.9536693263597859,bdy,False,5<=h<=16,p<100M,0.25-0.50,0.50-0.55,11111,True,0.025735650145384415
487,109567891,109567750,3,0.0,9.585070705904588,0.0,9.585070705904588,0.0,0.016148248843456822,0.0,0.016148248843456822,0.0301511056,0.04629935444345682,0.9537006455565432,bdy,False,h<=4,100M<=p<500M,0.25-0.50,0.50-0.55,10100,True,0.03219260043051507
345,31018529,31018450,3,0.0,8.207681074553186,0.0,8.207681074553186,0.0,0.015924904927554863,0.0,0.015924904927554863,0.0301511056,0.04607601052755486,0.9539239894724452,bdy,False,h<=4,p<100M,>=1.00,0.50-0.55,10100,True,0.037075099256162036
173,30850439,30850276,3,0.0,7.958157611780894,0.0,7.958157611780894,0.0,0.015450500734561442,0.0,0.015450500734561442,0.0301511056,0.04560160633456144,0.9543983936654385,bdy,False,h<=4,p<100M,0.50-1.00,0.50-0.55,10100,True,0.03709846750292079
151,39670973,39670780,3,0.0,7.979588752032139,0.0,7.979588752032139,0.0,0.015049978252669868,0.0,0.015049978252669868,0.0301511056,0.04520108385266987,0.9547989161473301,bdy,False,h<=4,p<100M,0.50-1.00,0.50-0.55,10100,True,0.03603971183058613
197,30786629,30786460,3,0.0,7.732952632858868,0.0,7.732952632858868,0.0,0.015016878524742311,0.0,0.015016878524742311,0.0301511056,0.04516798412474231,0.9548320158752577,bdy,False,h<=4,p<100M,0.50-1.00,0.50-0.55,10100,True,0.037107377682071584
