candidate_id,x,source,selected_block_id,y,h,right_endpoint,post_P0_flag,finite_certificate_flag,right_endpoint_control_flag,containing_block_control_flag,x_minus_right_endpoint,partial_interval_used_flag,x_inside_full_block_flag,finite_certificate_outside_block_flag,partial_length,remainder_length,remainder_over_h,E_theta_partial,E_theta_full,E_theta_remainder,theta_additivity_delta,partial_sign,full_sign,sign_known_flag,sign_preserved_flag,sign_mismatch_flag,Q_R2Q_full,channel_full,positive_harmless_flag,negative_transfer_flag,near_forbidden_flag,forbidden_flag,boundary_slack_proxy,O2p4_Q_bdy,O2p4_boundary_local_proxy,boundary_repaid_flag,dangerous_sign_mismatch_flag,invalid_interval_flag,missing_selected_block_flag,missing_y_h_flag,missing_E_theta_flag,partial_full_additivity_failure_flag,boundary_repayment_unknown_for_mismatch_flag,near_forbidden_partial_full_unresolved_flag,forbidden_partial_full_unresolved_flag,partial_full_pass_flag,status
cand_00000,180530237,theta,theta_local:1:179845447:684790,179845447.0,684790.0,180530237.0,False,True,True,True,0.0,False,True,False,684790.0,0.0,0.0,-3089.9881332697114,-3089.9881332697114,0.0,0.0,negative,negative,True,True,False,1.8193520399038576,negative_transferred_repaid,False,True,True,True,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00001,24181,theta,theta_local:2:24178:3,24178.0,3.0,24181.0,False,True,True,True,0.0,False,True,False,3.0,0.0,0.0,17.186562246627208,17.186562246627208,0.0,0.0,positive,positive,True,True,False,0.1157979799474991,positive_harmless,True,False,False,False,0.0,0.0,True,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00002,30974597,theta,theta_local:3:30910184:64413,30910184.0,64413.0,30974597.0,False,True,True,True,0.0,False,True,False,64413.0,0.0,0.0,-1027.9446158131832,-1027.9446158131832,0.0,0.0,negative,negative,True,True,False,0.6812241515207513,negative_transferred_repaid,False,True,False,False,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00003,59921,theta,theta_local:4:59920:1,59920.0,1.0,59921.0,False,True,True,True,0.0,False,True,False,1.0,0.0,0.0,10.0007823069704,10.0007823069704,0.0,0.0,positive,positive,True,True,False,0.0921982535693211,positive_harmless,True,False,False,False,0.0,0.0,True,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00004,356077,theta,theta_local:5:355293:784,355293.0,784.0,356077.0,False,True,True,True,0.0,False,True,False,784.0,0.0,0.0,-4.315460261267276,-4.315460261267276,0.0,0.0,negative,negative,True,True,False,0.1566810093663226,negative_transferred_repaid,False,True,False,False,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00005,3448507,theta,theta_local:6:3446024:2483,3446024.0,2483.0,3448507.0,False,True,True,True,0.0,False,True,False,2483.0,0.0,0.0,-285.247239607314,-285.247239607314,0.0,0.0,negative,negative,True,True,False,0.1786966438467436,negative_transferred_repaid,False,True,False,False,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00006,30774449,theta,theta_local:7:30670319:104130,30670319.0,104130.0,30774449.0,False,True,True,True,0.0,False,True,False,104130.0,0.0,0.0,-928.3530182520336,-928.3530182520336,0.0,0.0,negative,negative,True,True,False,0.862526348366495,negative_transferred_repaid,False,True,True,False,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00007,3452747,theta,theta_local:8:3451296:1451,3451296.0,1451.0,3452747.0,False,True,True,True,0.0,False,True,False,1451.0,0.0,0.0,-246.6432758578178,-246.6432758578178,0.0,0.0,negative,negative,True,True,False,0.1383470038914393,negative_transferred_repaid,False,True,False,False,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00008,12883477,theta,theta_local:9:12871995:11482,12871995.0,11482.0,12883477.0,False,True,True,True,0.0,False,True,False,11482.0,0.0,0.0,-480.68150179983786,-480.68150179983786,0.0,0.0,negative,negative,True,True,False,0.3212949859833325,negative_transferred_repaid,False,True,False,False,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00009,178298621,theta,theta_local:10:178254856:43765,178254856.0,43765.0,178298621.0,False,True,True,True,0.0,False,True,False,43765.0,0.0,0.0,-1758.548029879923,-1758.548029879923,0.0,0.0,negative,negative,True,True,False,0.4625799992422776,negative_transferred_repaid,False,True,False,False,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
