regime_field,regime_value,rows,positive_rows,negative_rows,zero_rows,unknown_rows,Q_min,Q_max,Q_mean,Q_median,Q_q90,Q_q95,Q_q99,E_theta_norm_min,E_theta_norm_max,E_theta_norm_mean,near_forbidden_count,forbidden_count,cap_0p25_fail_count,cap_0p50_fail_count,cap_0p75_fail_count,cap_1p00_fail_count,positive_Qmax,positive_tail_Qmax,pass_cap_0p25,pass_cap_0p50,pass_cap_0p75,pass_cap_1p00
post_P0_flag,False,1326,1200,126,0,0,0.0519436214565968,0.2157084836048593,0.06071812261112572,0.0580394136574902,0.07122659473522022,0.07793649505936039,0.10874384066706176,0.0002487940109059,0.1638184076850698,0.05558437927758233,0,0,0,0,0,0,0.2157084836048593,,True,True,True,True
post_P0_flag,True,142,120,22,0,0,0.0489909092562281,0.0585344103602869,0.04998167621469551,0.049916660467031054,0.050304442433725186,0.05045060587909455,0.056234009578331016,0.0445631600411676,0.0528697920195814,0.04708718821624307,0,0,0,0,0,0,0.0585344103602869,0.0585344103602869,True,True,True,True
tail_flag,False,1468,1320,148,0,0,0.0489909092562281,0.2157084836048593,0.05974208202963205,0.057717756889844846,0.07069750815334401,0.07588258117850578,0.10698189098852476,0.0002487940109059,0.1638184076850698,0.05481190736291513,0,0,0,0,0,0,0.2157084836048593,0.0585344103602869,True,True,True,True
finite_certificate_flag,False,142,120,22,0,0,0.0489909092562281,0.0585344103602869,0.04998167621469551,0.049916660467031054,0.050304442433725186,0.05045060587909455,0.056234009578331016,0.0445631600411676,0.0528697920195814,0.04708718821624307,0,0,0,0,0,0,0.0585344103602869,0.0585344103602869,True,True,True,True
finite_certificate_flag,True,1326,1200,126,0,0,0.0519436214565968,0.2157084836048593,0.06071812261112572,0.0580394136574902,0.07122659473522022,0.07793649505936039,0.10874384066706176,0.0002487940109059,0.1638184076850698,0.05558437927758233,0,0,0,0,0,0,0.2157084836048593,,True,True,True,True
source,theta,1468,1320,148,0,0,0.0489909092562281,0.2157084836048593,0.05974208202963205,0.057717756889844846,0.07069750815334401,0.07588258117850578,0.10698189098852476,0.0002487940109059,0.1638184076850698,0.05481190736291513,0,0,0,0,0,0,0.2157084836048593,0.0585344103602869,True,True,True,True
scale_bin,100M<=p<500M,530,475,55,0,0,0.0519436214565968,0.0638594994842023,0.05403519666779102,0.0537885048618473,0.05507437958142342,0.05526986735835676,0.06280355223090758,0.0468319996160824,0.0573481948942701,0.05058792493432109,0,0,0,0,0,0,0.0638594994842023,,True,True,True,True
scale_bin,p<100M,796,725,71,0,0,0.0547061389693303,0.2157084836048593,0.06509659133262086,0.0598206042552528,0.0739040977783892,0.08476889177062334,0.12455793505392568,0.0002487940109059,0.1638184076850698,0.058857918330063826,0,0,0,0,0,0,0.2157084836048593,,True,True,True,True
scale_bin,p>=500M,142,120,22,0,0,0.0489909092562281,0.0585344103602869,0.04998167621469551,0.049916660467031054,0.050304442433725186,0.05045060587909455,0.056234009578331016,0.0445631600411676,0.0528697920195814,0.04708718821624307,0,0,0,0,0,0,0.0585344103602869,0.0585344103602869,True,True,True,True
depth_bin,0.50-0.55,1408,1296,112,0,0,0.0489909092562281,0.2157084836048593,0.05906270281791577,0.057631622775218605,0.06876771510857904,0.072517324301685,0.09527296643361699,0.0002487940109059,0.1638184076850698,0.054470759792632356,0,0,0,0,0,0,0.2157084836048593,0.0585344103602869,True,True,True,True
depth_bin,0.55-0.60,44,17,27,0,0,0.0713499660129912,0.1389495863976313,0.09058248425921947,0.0917954514179663,0.10617996400788744,0.1258037042804357,0.13632040997419217,0.0023682517122969,0.1167037763024239,0.06860550159696492,0,0,0,0,0,0,0.1389495863976313,,True,True,True,True
depth_bin,0.60-0.65,7,5,2,0,0,0.0899443884131837,0.1912764152417241,0.1132773922343863,0.0943896668138165,0.1534957577614076,0.1723860865015658,0.18749834949369243,0.0067422977497207,0.1519376986384418,0.08227761227902602,0,0,0,0,0,0,0.1912764152417241,,True,True,True,True
depth_bin,0.65-0.70,5,0,5,0,0,,,,,,,,,,,0,0,0,0,0,0,,,True,True,True,True
depth_bin,>=0.70,4,2,2,0,0,0.0921982535693211,0.1157979799474991,0.1039981167584101,0.1039981167584101,0.1134380073096813,0.1146179936285902,0.11556198268371733,0.082639338604307,0.0972921006486078,0.0899657196264574,0,0,0,0,0,0,0.1157979799474991,,True,True,True,True
mu_bin,0.006-0.01,1,0,1,0,0,,,,,,,,,,,0,0,0,0,0,0,,,True,True,True,True
mu_bin,0.01-0.018,1,0,1,0,0,,,,,,,,,,,0,0,0,0,0,0,,,True,True,True,True
mu_bin,0.018-0.05,6,0,6,0,0,,,,,,,,,,,0,0,0,0,0,0,,,True,True,True,True
mu_bin,0.05-0.10,14,0,14,0,0,,,,,,,,,,,0,0,0,0,0,0,,,True,True,True,True
mu_bin,0.10-0.25,74,15,59,0,0,0.0519436214565968,0.1225172337511368,0.0663638744124661,0.0572404470284414,0.09010629209836328,0.10345708571734585,0.1187052041443786,0.0023682517122969,0.0766406167450937,0.04992532398608565,0,0,0,0,0,0,0.1225172337511368,,True,True,True,True
mu_bin,0.25-0.50,196,137,59,0,0,0.0489909092562281,0.1707575979731007,0.06123605604990353,0.0574062037622427,0.07329137821260319,0.08149502980577393,0.10810121965014312,0.0002487940109059,0.1450570376438435,0.05423770147772594,0,0,0,0,0,0,0.1707575979731007,0.049249868910108,True,True,True,True
mu_bin,0.50-1.00,579,571,8,0,0,0.0492944218218632,0.2157084836048593,0.06009068061115936,0.0576533742965644,0.0708017239099497,0.07793774809956386,0.11619091411178607,0.0059596707112021,0.1638184076850698,0.055510345741412635,0,0,0,0,0,0,0.2157084836048593,0.0575299398750813,True,True,True,True
mu_bin,>=1.00,597,597,0,0,0,0.0499151844057618,0.1648068982246287,0.05889945034358215,0.0579407179303479,0.06819284965231016,0.07279020876036817,0.09410886871769421,0.0470088824812508,0.135776208151487,0.054398434402783254,0,0,0,0,0,0,0.1648068982246287,0.0585344103602869,True,True,True,True
spf_class,not_available,1468,1320,148,0,0,0.0489909092562281,0.2157084836048593,0.05974208202963205,0.057717756889844846,0.07069750815334401,0.07588258117850578,0.10698189098852476,0.0002487940109059,0.1638184076850698,0.05481190736291513,0,0,0,0,0,0,0.2157084836048593,0.0585344103602869,True,True,True,True
channel_full,negative_transferred_repaid,148,0,148,0,0,,,,,,,,,,,0,0,0,0,0,0,,,True,True,True,True
channel_full,positive_harmless,1320,1320,0,0,0,0.0489909092562281,0.2157084836048593,0.05974208202963205,0.057717756889844846,0.07069750815334401,0.07588258117850578,0.10698189098852476,0.0002487940109059,0.1638184076850698,0.05481190736291513,0,0,0,0,0,0,0.2157084836048593,0.0585344103602869,True,True,True,True
channel_inferred,negative_transfer,3,0,3,0,0,,,,,,,,,,,0,0,0,0,0,0,,,True,True,True,True
channel_inferred,neutral,145,0,145,0,0,,,,,,,,,,,0,0,0,0,0,0,,,True,True,True,True
channel_inferred,positive_harmless,1320,1320,0,0,0,0.0489909092562281,0.2157084836048593,0.05974208202963205,0.057717756889844846,0.07069750815334401,0.07588258117850578,0.10698189098852476,0.0002487940109059,0.1638184076850698,0.05481190736291513,0,0,0,0,0,0,0.2157084836048593,0.0585344103602869,True,True,True,True
schur_projection_sign,not_available,1468,1320,148,0,0,0.0489909092562281,0.2157084836048593,0.05974208202963205,0.057717756889844846,0.07069750815334401,0.07588258117850578,0.10698189098852476,0.0002487940109059,0.1638184076850698,0.05481190736291513,0,0,0,0,0,0,0.2157084836048593,0.0585344103602869,True,True,True,True
