extreme_set,rank_in_set,candidate_id,block_id,x,y,h,p_star,E_theta,E_theta_normalized,E_theta_sign,Q_R2Q,post_P0_flag,tail_flag,finite_certificate_flag,source,scale_bin,depth_bin,mu_bin,spf_class,channel_full,channel_inferred,status
top25_global_positive_Q,1,cand_00033,34.0,127,126.0,1.0,127.0,3.844187086458591,0.1638184076850698,positive,0.2157084836048593,False,False,True,theta,p<100M,0.50-0.55,0.50-1.00,not_available,positive_harmless,positive_harmless,pass
top25_global_positive_Q,2,cand_00010,11.0,211,210.0,1.0,211.0,4.351858133476067,0.1519376986384418,positive,0.1912764152417241,False,False,True,theta,p<100M,0.60-0.65,0.50-1.00,not_available,positive_harmless,positive_harmless,pass
top25_global_positive_Q,3,cand_00058,59.0,293,292.0,1.0,293.0,4.680172609017068,0.1450570376438435,positive,0.1707575979731007,False,False,True,theta,p<100M,0.50-0.55,0.25-0.50,not_available,positive_harmless,positive_harmless,pass
top25_global_positive_Q,4,cand_00105,106.0,479,478.0,1.0,479.0,5.171700597410915,0.135776208151487,positive,0.1648068982246287,False,False,True,theta,p<100M,0.50-0.55,>=1.00,not_available,positive_harmless,positive_harmless,pass
top25_global_positive_Q,5,cand_00201,202.0,673,672.0,1.0,673.0,5.511745329644728,0.1299853261832927,positive,0.1551610461475472,False,False,True,theta,p<100M,0.50-0.55,0.50-1.00,not_available,positive_harmless,positive_harmless,pass
top25_global_positive_Q,6,cand_00036,37.0,1657,1656.0,1.0,1657.0,6.412764017426562,0.1167037763024239,positive,0.1389495863976313,False,False,True,theta,p<100M,0.55-0.60,0.50-1.00,not_available,positive_harmless,positive_harmless,pass
top25_global_positive_Q,7,cand_00075,76.0,2879,2878.0,1.0,2879.0,6.965198290612176,0.1097843161595848,positive,0.1282261417306278,False,False,True,theta,p<100M,0.50-0.55,>=1.00,not_available,positive_harmless,positive_harmless,pass
top25_global_positive_Q,8,cand_00136,137.0,2819,2818.0,1.0,2819.0,6.944137491114112,0.1100334695184228,positive,0.1252023670442801,False,False,True,theta,p<100M,0.50-0.55,0.50-1.00,not_available,positive_harmless,positive_harmless,pass
top25_global_positive_Q,9,cand_00047,48.0,3440630,3439819.0,811.0,3440807.0,46.90968440981942,0.0072712465886281,positive,0.1225172337511368,False,False,True,theta,p<100M,0.55-0.60,0.10-0.25,not_available,positive_harmless,positive_harmless,pass
top25_global_positive_Q,10,cand_01135,1136.0,5897,5896.0,1.0,5897.0,7.682199026000504,0.1019121772932965,positive,0.1166604661931528,False,False,True,theta,p<100M,0.50-0.55,0.50-1.00,not_available,positive_harmless,positive_harmless,pass
