gap_start,gap_end,gap_size
604141169,604141326,157
604141327,604141552,225
604141553,604141756,203
604141757,604142790,1033
604143557,604143750,193
604143751,604143796,45
604143797,604150566,6769
604150567,604150626,59
604150627,604150726,99
604150727,604150786,59
604150787,604150828,41
604150829,604150990,161
604150991,604157050,6059
604157051,604160736,3685
604160737,604161649,912
604167899,604170576,2677
604170577,604170642,65
604170643,604176892,6249
604176893,604193620,16727
604193621,604203810,10189
604203811,604205268,1457
604205269,604205662,393
604205663,604205808,145
604205809,604206345,536
604206971,604207242,271
604207243,604207847,604
604208350,604322440,114090
604322441,604325296,2855
604325297,604325338,41
604325339,604335487,10148
604356173,604356978,805
604356979,604357392,413
604357393,604357542,149
604357543,604358714,1171
604360789,604361010,221
604361011,604361110,99
604361111,604363228,2117
604365031,604365196,165
604365197,604365232,35
604365233,604365312,79
604365313,604410439,45126
604432601,604432650,49
604432651,604432680,29
604432681,604432770,89
604432771,604433380,609
604434563,604435092,529
604435093,604435456,363
604435457,604435822,365
604435823,604520611,84788
604672261,604672806,545
604672807,604672950,143
604672951,604673086,135
604673087,604674856,1769
604674857,604675732,875
604675733,604676122,389
604676123,604676182,59
604676183,604676356,173
604676357,604676710,353
604676711,604678228,1517
604678229,604678930,701
604681513,604682818,1305
604685377,604685566,189
604685567,604685980,413
604685981,604686096,115
604686097,604687002,905
604687003,604687078,75
604687079,604691158,4079
604691159,604691686,527
604691687,604691862,175
604691863,604692162,299
604692163,604692298,135
604692299,604692526,227
604692527,604692972,445
604692973,604693020,47
604693021,604693458,437
604693459,604693498,39
604693499,604693768,269
604693769,604698078,4309
604698079,604700469,2390
604702619,604704593,1974
604708931,604711166,2235
604711937,604712202,265
604712203,604712502,299
604712503,604713502,999
604713503,604713540,37
604713541,604715326,1785
604715329,604715536,207
604715537,604715860,323
604715861,604718720,2859
604724143,604724506,363
604724507,604757400,32893
604810421,604810680,259
604810681,604810752,71
604810753,604810846,93
604810847,604811016,169
604811017,604811068,51
604811069,604811166,97
604811167,604811352,185
604811353,604812190,837
604813747,604813788,41
604813789,604813830,41
604813831,604814008,177
604814009,604814238,229
604814239,604814332,93
604814333,604814518,185
604814519,604814920,401
604814921,604819805,4884
604822567,604828962,6395
604828963,604829736,773
604829737,604830076,339
604830077,604838292,8215
604838293,604844050,5757
604848841,604848940,99
604848941,604849312,371
604849313,604849350,37
604849351,604863730,14379
604863731,604864228,497
604864229,604864276,47
604864277,604864888,611
604864891,604866090,1199
604866091,604866190,99
604866191,604866472,281
604866473,604869251,2778
604870961,604871020,59
604871021,604871248,227
604871249,604872087,838
604872091,604872286,195
604872287,604872472,185
604872473,604872550,77
604872551,604872576,25
604872577,604872720,143
604872721,604872760,39
604872761,604872802,41
604872803,604872870,67
604872871,604873176,305
604873177,604873348,171
604873349,604874232,883
604874233,604874692,459
604874693,604879711,5018
604883911,604884126,215
604884127,604884330,203
