candidate_id,block_id,x,y,h,p_star,E_theta_sign,DeltaD_sign,post_P0_flag,finite_zone_flag,finite_certificate_flag,E_theta,Q_R2Q,Q_delta_D,DeltaD,Q_exc,epsilon,abs_epsilon,Q_reconstructed,formula_residual,abs_formula_residual,near_forbidden_flag,forbidden_flag,threshold_relevant_flag,positive_harmless_flag,negative_transfer_flag,channel_compatible_flag,O2_repaid_flag,B3_no_accumulation_flag,primitive_available_flag,row_regime,failure_type,component_bound_status,status
hexc_00000,1,180530237,179845447,684790,180530237,negative,negative,False,True,True,-3089.9881332697114,1.8193520399038576,1.8091175489119344,-541095.7142812033,0.0022301154184481,0.0080043755734753,0.0080043755734753,1.8193520399038579,-2.220446049250313e-16,2.220446049250313e-16,True,True,True,False,True,True,True,True,True,forbidden_negative,,pass,pass
hexc_00001,2,24181,24178,3,24317,positive,negative,False,True,True,17.186562246627208,0.1157979799474991,0.1106139903704657,-19.53986210777775,0.0184358992034248,-0.0132519096263914,0.0132519096263914,0.11579797994749909,1.3877787807814457e-17,1.3877787807814457e-17,False,False,False,True,False,True,False,True,True,positive_harmless,,pass,pass
hexc_00002,3,30974597,30910184,64413,30974597,negative,negative,False,True,True,-1027.9446158131832,0.6812241515207513,0.6643586881865706,-50165.02240775837,0.0022416133345536,0.014623849999627,0.014623849999627,0.6812241515207512,1.1102230246251565e-16,1.1102230246251565e-16,False,False,False,False,True,True,True,True,True,subthreshold_negative,,pass,pass
hexc_00003,4,59921,59920,1,59921,positive,negative,False,True,True,10.0007823069704,0.0921982535693211,0.0882306914983774,-10.677432241970394,2.348567539256741e-16,0.0039675620709434,0.0039675620709434,0.09219825356932103,6.938893903907228e-17,6.938893903907228e-17,False,False,False,True,False,True,False,True,True,positive_harmless,,pass,pass
hexc_00004,5,356077,355293,784,356077,negative,negative,False,True,True,-4.315460261267276,0.1566810093663226,0.1351797213221275,-618.4840667387305,0.0128661873649445,0.0086351006792505,0.0086351006792505,0.15668100936632248,1.1102230246251565e-16,1.1102230246251565e-16,False,False,False,False,True,True,True,True,True,subthreshold_negative,,pass,pass
hexc_00005,6,3448507,3446024,2483,3448507,negative,negative,False,True,True,-285.247239607314,0.1786966438467436,0.1494490028165924,-1687.5380821821711,0.0076387824505859,0.0216088585795651,0.0216088585795651,0.1786966438467434,1.942890293094024e-16,1.942890293094024e-16,False,False,False,False,True,True,True,True,True,subthreshold_negative,,pass,pass
hexc_00006,7,30774449,30670319,104130,30774449,negative,negative,False,True,True,-928.3530182520336,0.862526348366495,0.8528427097579773,-81816.70719328354,0.0037875901851982,0.0058960484233194,0.0058960484233194,0.8625263483664949,1.1102230246251565e-16,1.1102230246251565e-16,True,False,True,False,True,True,True,True,True,threshold_relevant_negative,,pass,pass
hexc_00007,8,3452747,3451296,1451,3452747,negative,negative,False,True,True,-246.6432758578178,0.1383470038914393,0.1049756413821095,-906.2861454643348,0.0076429115920426,0.0257284509172871,0.0257284509172871,0.1383470038914392,1.1102230246251565e-16,1.1102230246251565e-16,False,False,False,False,True,True,True,True,True,subthreshold_negative,,pass,pass
hexc_00008,9,12883477,12871995,11482,12883477,negative,negative,False,True,True,-480.68150179983786,0.3212949859833325,0.3009444286825112,-8643.103225239702,0.0039191521021917,0.0164314051986295,0.0164314051986295,0.3212949859833324,1.1102230246251565e-16,1.1102230246251565e-16,False,False,False,False,True,True,True,True,True,subthreshold_negative,,pass,pass
hexc_00009,10,178298621,178254856,43765,178298621,negative,negative,False,True,True,-1758.548029879923,0.4625799992422776,0.437251926315424,-33018.34702990349,0.0025143310542018,0.0228137418726517,0.0228137418726517,0.46257999924227744,1.6653345369377348e-16,1.6653345369377348e-16,False,False,False,False,True,True,True,True,True,subthreshold_negative,,pass,pass
hexc_00010,11,211,210,1,211,positive,negative,False,True,True,4.351858133476067,0.1912764152417241,0.1755617761599286,-5.028508068476066,0.0,0.0157146390817954,0.0157146390817954,0.191276415241724,8.326672684688674e-17,8.326672684688674e-17,False,False,False,True,False,True,False,True,True,positive_harmless,,pass,pass
hexc_00011,12,3279709,3278912,797,3279709,negative,negative,False,True,True,-166.86828088206357,0.1060058846880691,0.0733688760483797,-466.2432979484343,0.0114062615417102,0.021230747097979,0.021230747097979,0.1060058846880689,1.942890293094024e-16,1.942890293094024e-16,False,False,False,False,True,True,True,True,True,subthreshold_negative,,pass,pass
hexc_00012,13,42899,42898,1,42899,positive,negative,False,True,True,9.666603794621116,0.0968247715409328,0.0909085751563544,-10.343253729621123,0.0,0.0059161963845783,0.0059161963845783,0.09682477154093269,1.1102230246251565e-16,1.1102230246251565e-16,False,False,False,True,False,True,False,True,True,positive_harmless,,pass,pass
hexc_00013,14,1195591,1195386,205,1195669,positive,negative,False,True,True,18.90523282037472,0.0899443884131837,0.0648220454203745,-181.7593802670372,0.0127144572989962,0.0124078856938128,0.0124078856938128,0.0899443884131835,1.942890293094024e-16,1.942890293094024e-16,False,False,False,True,False,True,False,True,True,positive_harmless,,pass,pass
hexc_00014,15,43133,43132,1,43133,positive,negative,False,True,True,9.672043644375696,0.0943896668138165,0.0908636843222885,-10.34869357937572,0.0,0.0035259824915279,0.0035259824915279,0.0943896668138164,9.71445146547012e-17,9.71445146547012e-17,False,False,False,True,False,True,False,True,True,positive_harmless,,pass,pass
