block_id,p_star_proj,depth_bin,y,h,D_y,D_y_plus_h,observed_delta,denom_sqrt_h_logB,Q_max,is_tail,mu_bin,scale_bin,hi,p_star_fcl,theta_local_sign,near_forbidden_R2Q,forbidden_R2Q,finite_certificate_flag,covered_flag,B3_block_pass,positive_harmless_flag,negative_transfer_flag,O2_B3_repaid_flag,Q_R2Q,E_theta_local,x,post_P0,source_coordinate,side,p_star,right_endpoint,E_theta,E_theta_sign,post_P0_flag,finite_zone_flag,near_forbidden_flag,forbidden_flag,D_start,D_end,DeltaD,DeltaD_sign,Q_delta_D,bridge_excursion_raw,bridge_excursion_signed,bridge_excursion_argmax,bridge_path_n_samples,Q_exc,candidate_id,right_endpoint_hexc,C_minus_flag,O2_applicable_flag,B3_applicable_flag,coordinate_available_flag,endpoint_exclusion_flag,endpoint_exclusion_Q,endpoint_exclusion_harmful_flag,Q_formula_sum,formula_residual,abs_formula_residual,formula_residual_frac,primitive_available_flag,instrumentation_gap_flag,threshold_relevant_flag,pos_harm_antecedent,pos_harm_consequent,pos_harm_prim_violation,pos_harm_instrumentation_gap,neg_transfer_antecedent,neg_transfer_consequent,neg_transfer_prim_violation,sign_consistent,sign_inconsistent_flag,sign_inconsistent_positive_harmless,sign_inconsistent_threshold_relevant,sign_inconsistent_forbidden,formula_residual_cap_violation,threshold_relevant_missing_primitives,positive_missing_primitive_rows_flag,row_status
1,180530237,>=0.70,179845447,684790,-9765.168998323748,-550860.8832795271,-541095.7142812033,299093.72920882725,1.8193520399038576,False,0.006-0.01,100M<=p<500M,180530237,180530237,negative,True,True,True,True,True,False,True,True,1.8193520399038576,-3089.9881332697114,180530237,False,theta_local,negative,180530237,180530237,-3089.9881332697114,negative,False,True,True,True,-9765.168998323748,-550860.8832795271,-541095.7142812033,negative,1.8091175489119342,667.0135370697717,667.0135370697717,179860179,41,0.0022301154184481845,hexc_00000,180530237,True,True,True,True,True,0.0,False,1.8113476643303823,0.00800437557347533,0.00800437557347533,0.004399574902446211,True,False,True,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,primitive_negative_transfer_verified
2,24317,>=0.70,24178,3,-123.17681954167884,-142.7166816494566,-19.53986210777775,176.64910236341098,0.1157979799474991,False,0.25-0.50,p<100M,24181,24317,positive,False,False,True,True,True,True,False,False,0.1157979799474991,17.186562246627208,24181,False,theta_local,positive,24317,24181,17.186562246627208,positive,False,True,False,False,-123.17681954167884,-142.7166816494566,-19.53986210777775,negative,0.1106139903704657,3.2566850455473286,3.2566850455473286,24180,4,0.01843589920342488,hexc_00001,24181,False,True,True,True,False,0.0,False,0.12904988957389057,-0.013251909626391473,0.013251909626391473,0.11443990329019271,True,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,sign_inconsistent_positive_harmless
3,30974597,>=0.70,30910184,64413,-4189.11794672998,-54354.14035448835,-50165.02240775837,75508.94313535435,0.6812241515207513,False,0.018-0.05,p<100M,30974597,30974597,negative,False,False,True,True,True,False,True,True,0.6812241515207513,-1027.9446158131832,30974597,False,theta_local,negative,30974597,30974597,-1027.9446158131832,negative,False,True,False,False,-4189.11794672998,-54354.14035448835,-50165.02240775837,negative,0.6643586881865706,169.26185381026153,-169.26185381026153,30957127,41,0.0022416133345536226,hexc_00002,30974597,True,True,True,True,True,0.0,False,0.6666003015211243,0.01462384999962707,0.01462384999962707,0.021467016351344965,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,primitive_full_verified
4,59921,>=0.70,59920,1,-239.1624278487056,-249.839860090676,-10.677432241970394,121.017211365353,0.0921982535693211,False,0.25-0.50,p<100M,59921,59921,positive,False,False,True,True,True,True,False,False,0.0921982535693211,10.0007823069704,59921,False,theta_local,positive,59921,59921,10.0007823069704,positive,False,True,False,False,-239.1624278487056,-249.839860090676,-10.677432241970394,negative,0.08823069149837741,2.842170943040401e-14,2.842170943040401e-14,59921,2,2.348567539256741e-16,hexc_00003,59921,False,True,True,True,False,0.0,False,0.08823069149837764,0.003967562070943453,0.003967562070943453,0.04303294170274454,True,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,sign_inconsistent_positive_harmless
5,356077,0.65-0.70,355293,784,-445.57865085028266,-1064.0627175890131,-618.4840667387305,4575.2725385852,0.1566810093663226,False,0.10-0.25,p<100M,356077,356077,negative,False,False,True,True,True,False,True,True,0.1566810093663226,-4.315460261267276,356077,False,theta_local,negative,356077,356077,-4.315460261267276,negative,False,True,False,False,-445.57865085028266,-1064.0627175890131,-618.4840667387305,negative,0.13517972132212755,58.866313727122474,-58.866313727122474,355941,37,0.012866187364944506,hexc_00004,356077,True,True,True,True,True,0.0,False,0.14804590868707207,0.008635100679250524,0.008635100679250524,0.05511261839692088,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,primitive_full_verified
6,3448507,0.65-0.70,3446024,2483,-1269.9908564127795,-2957.528938594951,-1687.5380821821711,11291.73196460307,0.1786966438467436,False,0.10-0.25,p<100M,3448507,3448507,negative,False,False,True,True,True,False,True,True,0.1786966438467436,-285.247239607314,3448507,False,theta_local,negative,3448507,3448507,-285.247239607314,negative,False,True,False,False,-1269.9908564127795,-2957.528938594951,-1687.5380821821711,negative,0.14944900281659243,86.25508396793089,86.25508396793089,3447295,40,0.007638782450585998,hexc_00005,3448507,True,True,True,True,True,0.0,False,0.15708778526717843,0.021608858579565182,0.021608858579565182,0.12092481489522368,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,primitive_full_verified
7,30774449,0.65-0.70,30670319,104130,-3672.24244464055,-85488.94963792409,-81816.70719328354,95934.11101151556,0.862526348366495,False,0.01-0.018,p<100M,30774449,30774449,negative,True,False,True,True,True,False,True,True,0.862526348366495,-928.3530182520336,30774449,False,theta_local,negative,30774449,30774449,-928.3530182520336,negative,False,True,True,False,-3672.24244464055,-85488.94963792409,-81816.70719328354,negative,0.8528427097579773,363.3590972929378,363.3590972929378,30684688,41,0.003787590185198272,hexc_00006,30774449,True,True,True,True,True,0.0,False,0.8566302999431755,0.005896048423319478,0.005896048423319478,0.006835789346593033,True,False,True,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,primitive_negative_transfer_verified
8,3452747,0.65-0.70,3451296,1451,-1239.2532286860674,-2145.539374150402,-906.2861454643348,8633.299435299174,0.1383470038914393,False,0.25-0.50,p<100M,3452747,3452747,negative,False,False,True,True,True,False,True,True,0.1383470038914393,-246.6432758578178,3452747,False,theta_local,negative,3452747,3452747,-246.6432758578178,negative,False,True,False,False,-1239.2532286860674,-2145.539374150402,-906.2861454643348,negative,0.10497564138210953,65.98354433162308,-65.98354433162308,3451634,36,0.007642911592042622,hexc_00007,3452747,True,True,True,True,True,0.0,False,0.11261855297415216,0.02572845091728715,0.02572845091728715,0.1859704235985929,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,primitive_full_verified
9,12883477,0.65-0.70,12871995,11482,-2412.5263892811627,-11055.629614520863,-8643.103225239702,28719.93099549272,0.3212949859833325,False,0.05-0.10,p<100M,12883477,12883477,negative,False,False,True,True,True,False,True,True,0.3212949859833325,-480.68150179983786,12883477,False,theta_local,negative,12883477,12883477,-480.68150179983786,negative,False,True,False,False,-2412.5263892811627,-11055.629614520863,-8643.103225239702,negative,0.3009444286825112,112.55777793578727,112.55777793578727,12878725,39,0.003919152102191749,hexc_00008,12883477,True,True,True,True,True,0.0,False,0.30486358078470294,0.016431405198629567,0.016431405198629567,0.051141181516856794,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,primitive_full_verified
10,178298621,0.60-0.65,178254856,43765,-8710.023780257156,-41728.370810160646,-33018.34702990349,75513.32548295001,0.4625799992422776,False,0.05-0.10,100M<=p<500M,178298621,178298621,negative,False,False,True,True,True,False,True,True,0.4625799992422776,-1758.548029879923,178298621,False,theta_local,negative,178298621,178298621,-1758.548029879923,negative,False,True,False,False,-8710.023780257156,-41728.370810160646,-33018.34702990349,negative,0.43725192631542403,189.86549926782936,189.86549926782936,178261863,40,0.0025143310542018005,hexc_00009,178298621,True,True,True,True,True,0.0,False,0.4397662573696258,0.022813741872651783,0.022813741872651783,0.04931847877128605,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,primitive_full_verified
11,211,0.60-0.65,210,1,-6.690759694963868,-11.719267763439934,-5.028508068476066,28.642385480853928,0.1912764152417241,False,0.50-1.00,p<100M,211,211,positive,False,False,True,True,True,True,False,False,0.1912764152417241,4.351858133476067,211,False,theta_local,positive,211,211,4.351858133476067,positive,False,True,False,False,-6.690759694963868,-11.719267763439934,-5.028508068476066,negative,0.1755617761599286,0.0,0.0,210,2,0.0,hexc_00010,211,False,True,True,True,False,0.0,False,0.1755617761599286,0.01571463908179549,0.01571463908179549,0.08215670009256623,True,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,sign_inconsistent_positive_harmless
12,3279709,0.60-0.65,3278912,797,-1129.0381509763808,-1595.281448924815,-466.2432979484343,6354.78315956471,0.1060058846880691,False,0.25-0.50,p<100M,3279709,3279709,negative,False,False,True,True,True,False,True,True,0.1060058846880691,-166.86828088206357,3279709,False,theta_local,negative,3279709,3279709,-166.86828088206357,negative,False,True,False,False,-1129.0381509763808,-1595.281448924815,-466.2432979484343,negative,0.07336887604837976,72.48431875885103,-72.48431875885103,3279010,37,0.01140626154171027,hexc_00011,3279709,True,True,True,True,True,0.0,False,0.08477513759009003,0.021230747097979064,0.021230747097979064,0.20027894829095816,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,primitive_full_verified
13,42899,0.60-0.65,42898,1,-121.0460264651359,-131.38928019475702,-10.343253729621123,113.7764365114256,0.0968247715409328,False,>=1.00,p<100M,42899,42899,positive,False,False,True,True,True,True,False,False,0.0968247715409328,9.666603794621116,42899,False,theta_local,positive,42899,42899,9.666603794621116,positive,False,True,False,False,-121.0460264651359,-131.38928019475702,-10.343253729621123,negative,0.09090857515635443,0.0,0.0,42898,2,0.0,hexc_00012,42899,False,True,True,True,False,0.0,False,0.09090857515635443,0.005916196384578368,0.005916196384578368,0.06110209495384441,True,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,sign_inconsistent_positive_harmless
14,1195669,0.60-0.65,1195386,205,-686.8422426041038,-868.601622871141,-181.7593802670372,2803.974775684992,0.0899443884131837,False,0.50-1.00,p<100M,1195591,1195669,positive,False,False,True,True,True,True,False,False,0.0899443884131837,18.90523282037472,1195591,False,theta_local,positive,1195669,1195591,18.90523282037472,positive,False,True,False,False,-686.8422426041038,-868.601622871141,-181.7593802670372,negative,0.06482204542037459,35.651017552909366,35.651017552909366,1195534,32,0.01271445729899623,hexc_00013,1195591,False,True,True,True,True,0.0,False,0.07753650271937082,0.012407885693812876,0.012407885693812876,0.13795063719610745,True,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,sign_inconsistent_positive_harmless
15,43133,0.60-0.65,43132,1,-145.4789301390939,-155.82762371846962,-10.34869357937572,113.8925155474597,0.0943896668138165,False,0.50-1.00,p<100M,43133,43133,positive,False,False,True,True,True,True,False,False,0.0943896668138165,9.672043644375696,43133,False,theta_local,positive,43133,43133,9.672043644375696,positive,False,True,False,False,-145.4789301390939,-155.82762371846962,-10.34869357937572,negative,0.09086368432228856,0.0,0.0,43132,2,0.0,hexc_00014,43133,False,True,True,True,False,0.0,False,0.09086368432228856,0.0035259824915279403,0.0035259824915279403,0.0373555984521371,True,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,sign_inconsistent_positive_harmless
