block_id,y,h,p_star,E_theta,E_theta_sign,delta_D_raw,Q_delta_D_best,Q_exc_best,Q_R2Q,Q_R2Q_formula,formula_residual,sign_consistent,sign_inconsistent_flag,sign_inconsistent_positive_harmless,neg_transfer_antecedent,neg_transfer_prim_pass,neg_transfer_prim_violation,pos_harm_antecedent,pos_harm_prim_pass,pos_harm_prim_violation,pos_harm_instrumentation_gap,route_A_alpha,primitive_full_available,row_status,channel
1,179845447,684790,180530237,-3089.9881332697114,negative,-541095.7142812033,1.8091175489119342,0.0022301154184481845,1.8193520399038576,1.8113476643303823,0.00800437557347533,1.0,False,,True,1.0,False,False,,False,False,176.10319615781995,True,primitive_full_pass,negative_transferred_repaid
2,24178,3,24317,17.186562246627208,positive,,,,0.1157979799474991,,,,False,,False,,False,False,,False,True,,False,instrumentation_gap,positive_harmless
3,30910184,64413,30974597,-1027.9446158131832,negative,-50165.02240775837,0.6643586881865706,0.0022416133345536226,0.6812241515207513,0.6666003015211243,0.01462384999962707,1.0,False,,False,1.0,False,False,,False,False,50.04016260050996,True,primitive_full_pass,negative_transferred_repaid
4,59920,1,59921,10.0007823069704,positive,,,,0.0921982535693211,,,,False,,False,,False,False,,False,True,,False,instrumentation_gap,positive_harmless
5,355293,784,356077,-4.315460261267276,negative,-618.4840667387305,0.13517972132212755,0.012866187364944508,0.1566810093663226,0.14804590868707207,0.008635100679250524,1.0,False,,False,1.0,False,False,,False,False,166.11398925523508,True,primitive_full_pass,negative_transferred_repaid
6,3446024,2483,3448507,-285.247239607314,negative,-1687.5380821821711,0.14944900281659243,0.007638782450585998,0.1786966438467436,0.15708778526717843,0.021608858579565182,1.0,False,,False,1.0,False,False,,False,False,7.073844458825842,True,primitive_full_pass,negative_transferred_repaid
7,30670319,104130,30774449,-928.3530182520336,negative,-81816.70719328354,0.8528427097579773,0.003787590185198272,0.862526348366495,0.8566302999431755,0.005896048423319478,1.0,False,,True,1.0,False,False,,False,False,89.1317169521867,True,primitive_full_pass,negative_transferred_repaid
8,3451296,1451,3452747,-246.6432758578178,negative,-906.2861454643348,0.10497564138210953,0.007642911592042622,0.1383470038914393,0.11261855297415216,0.02572845091728715,1.0,False,,False,1.0,False,False,,False,False,4.842585334699434,True,primitive_full_pass,negative_transferred_repaid
9,12871995,11482,12883477,-480.68150179983786,negative,-8643.103225239702,0.3009444286825112,0.00391915210219175,0.3212949859833325,0.30486358078470294,0.016431405198629567,1.0,False,,False,1.0,False,False,,False,False,19.196848208403896,True,primitive_full_pass,negative_transferred_repaid
10,178254856,43765,178298621,-1758.548029879923,negative,-33018.34702990349,0.43725192631542403,0.0025143310542018005,0.4625799992422776,0.4397662573696258,0.022813741872651783,1.0,False,,False,1.0,False,False,,False,False,19.863520046745627,True,primitive_full_pass,negative_transferred_repaid
