field,value
total_rows,1468
primitive_full_available,166
primitive_partial_available_Q_delta_D_only,166
primitive_unavailable,1302
formula_rows_with_residual,166
max_abs_formula_residual,0.02572845
max_frac_formula_residual,0.305629
mean_abs_formula_residual,0.00998078
sign_consistency_rows_checked,166
sign_consistency_count,148
sign_consistency_frac,0.891566
neg_transfer_antecedent_count,2
neg_transfer_prim_violation_count,0
neg_transfer_prim_pass,True
pos_harmlessness_antecedent_count,1320
pos_harmlessness_prim_violation_count,1302
pos_harmlessness_prim_pass,False
route_A_alpha_rows,148
route_A_alpha_min,3.2741
route_A_alpha_max,419.0985
route_A_alpha_mean,23.0664
primitive_formula_grade,proof_grade_partial
raw_coordinate_formula_available,True
export_patch_applied,True
