field,value
total_rows,1468
primitive_full_available,166
primitive_partial_available,166
primitive_unavailable_gap,1302
formula_rows_with_residual,166
max_abs_formula_residual,0.02572845
max_frac_formula_residual,0.305629
mean_abs_formula_residual,0.00998078
sign_consistency_rows_checked,166
sign_consistency_consistent,148
sign_inconsistent_count,18
sign_inconsistent_positive_harmless,18
biconditional_DeltaD_iff_Etheta,FALSE_globally_18_exceptions
neg_transfer_antecedent_count,2
neg_transfer_prim_violation_count,0
neg_transfer_prim_pass,True
pos_harm_antecedent_prim_available,18
pos_harm_prim_violation_count,0
pos_harm_prim_pass,True
pos_harm_instrumentation_gap_count,1302
pos_harm_note,pass evaluated only on primitive-available positive rows; 1302 gap rows not evaluated
route_A_alpha_rows,148
route_A_alpha_min,3.2741
route_A_alpha_max,419.0985
route_A_alpha_mean,23.0664
route_A_alpha_universal,False
global_proof_grade,proof_grade_partial
export_patch_version,v2_corrected
recommended_next_file,Prime_Mesh_R2Q_RawR2Q_FullPrimitiveExport_Patch_Spec_v1.md
