field,value
rows,1468
primitive_full_rows,1468
missing_epsilon_rows,0
missing_component_rows,0
post_P0_rows,142
finite_zone_rows,1326
positive_rows,1320
negative_rows,148
threshold_relevant_rows,3
forbidden_rows,1
abs_epsilon_max,0.0257284509172872
abs_epsilon_mean,0.003016362868409504
abs_epsilon_q95,0.01139000746469617
abs_epsilon_q99,0.016417639920660736
epsilon_min,-0.015568303370353805
epsilon_max,0.0257284509172872
epsilon_positive_count,1401
epsilon_negative_count,67
epsilon_zero_count,0
epsilon_positive_frac,0.9543596730245232
epsilon_negative_frac,0.04564032697547684
threshold_relevant_abs_epsilon_max,0.008682176944156815
forbidden_abs_epsilon_max,0.008004375573475095
positive_abs_epsilon_max,0.023054924971393997
negative_abs_epsilon_max,0.0257284509172872
post_P0_abs_epsilon_max,0.016410860007631298
finite_abs_epsilon_max,0.0257284509172872
abs_epsilon_above_0p025_count,1
abs_epsilon_above_0p03_count,0
threshold_relevant_above_0p03_count,0
forbidden_above_0p03_count,0
formula_reconstruction_error_max,1.3877787807814457e-17
formula_reconstruction_error_mean,1.559833098289772e-19
formula_reconstruction_failures,0
residual_bound_failures,0
corr_epsilon_h,0.09679671764142675
corr_abs_epsilon_h,0.09849231891302322
corr_epsilon_p_star,-0.018285634189081173
corr_abs_epsilon_p_star,-0.07968437351992687
corr_epsilon_log_pstar,-0.09904714316506731
corr_abs_epsilon_log_pstar,-0.18164988826841688
corr_epsilon_inv_log_pstar,0.14845001333988514
corr_abs_epsilon_inv_log_pstar,0.2164647025564021
corr_epsilon_sqrt_h_over_sqrt_x,0.43433361494280204
corr_abs_epsilon_sqrt_h_over_sqrt_x,0.48017291110486265
corr_epsilon_rho_proxy,nan
corr_abs_epsilon_rho_proxy,nan
corr_epsilon_Q_delta_D,0.24349729871301076
corr_abs_epsilon_Q_delta_D,0.2815840802288292
corr_epsilon_Q_exc,-0.1674840483921903
corr_abs_epsilon_Q_exc,0.7595362158498448
corr_epsilon_E_theta_normalized,-0.5719310888181022
corr_abs_epsilon_E_theta_normalized,-0.5426181582245084
pass_residual_cap_0p03,True
pass_formula_reconstruction,True
pass_residual_epsilon_bound_empirical,True
recommended_theorem_form,abs_epsilon_le_0p03
recommended_next_file,Prime_Mesh_R2Q_Residual_Epsilon_Bound_Theorem_Target_v1.md
